year,bucket,match_via,apn_key,pdf_address,ckan_address,pdf_co_units,ckan_co_units,pdf_co_dates,ckan_co_dates,delta_co
2018,CKAN_ONLY,,052-1448-005-00,,3232 Idaho St,,1,,2018-02-22,-1
2018,CKAN_ONLY,,062-2874-017-00,,825 Peralta Ave,,1,,2018-04-26,-1
2018,CKAN_ONLY,,057-2094-016-00,,905 Hearst Ave,,1,,2018-03-21,-1
2018,CKAN_ONLY,,055-1910-015-00,,2434 Mcgee Ave,,1,,2018-02-28,-1
2018,CKAN_ONLY,,059-2286-047-00,,1538 Acton St,,1,,2018-12-18,-1
2018,CKAN_ONLY,,057-2082-023-01,,1815 Curtis St,,1,,2018-09-27,-1
2018,CKAN_ONLY,,053-1688-028-00,,2224 Stuart St,,1,,2018-07-02,-1
2018,CKAN_ONLY,,058-2127-019-00,,1737 Tenth St,,1,,2018-07-03,-1
2018,CKAN_ONLY,,056-1974-002-00,,1004 Addison St,,1,,2018-04-11,-1
2018,CKAN_ONLY,,064-4245-012-00,,123 Parkside Dr,,1,,2018-06-14,-1
2018,CKAN_ONLY,,056-1988-002-03,,1234 Allston Way,,1,,2018-04-26,-1
2018,CKAN_ONLY,,060-2417-063-00,,1357 Northside Ave,,1,,2018-11-15,-1
2018,CKAN_ONLY,,059-2326-016-00,,1449 Fifth St,,1,,2018-07-06,-1
2018,CKAN_ONLY,,059-2284-039-00,,1517 Holly St,,1,,2018-01-05,-1
2018,CKAN_ONLY,,058-2162-014-00,,1729 Virginia St,,1,,2018-07-13,-1
2018,CKAN_ONLY,,052-1577-028-00,,2300 Ashby Ave,,1,,2018-03-20,-1
2018,CKAN_ONLY,,060-2465-003-00,,2374 Eunice St,,1,,2018-10-17,-1
2018,CKAN_ONLY,,052-1563-037-00,,2712 Prince St,,1,,2018-06-11,-1
2018,CKAN_ONLY,,052-1564-022-00,,2751 Prince St,,1,,2018-07-24,-1
2018,CKAN_ONLY,,053-1703-004-00,,3040 Tremont St,,1,,2018-03-22,-1
2018,CKAN_ONLY,,059-2261-004-03,,1444 Walnut St,,1,,2018-12-24,-1
2018,CKAN_ONLY,,060-2485-011-00,,110 Fairlawn Dr,,1,,2018-10-17,-1
2018,CKAN_ONLY,,061-2560-012-00,,1157 Amador Ave,,1,,2018-10-24,-1
2018,CKAN_ONLY,,052-1516-033-00,,1342 Haskell St,,1,,2018-03-21,-1
2018,CKAN_ONLY,,054-1802-010-00,,1531 Derby St,,1,,2018-11-20,-1
2018,CKAN_ONLY,,056-1969-030-00,,2223 Seventh St,,1,,2018-09-18,-1
2018,CKAN_ONLY,,052-1565-039-00,,2915 Pine Ave,,1,,2018-11-27,-1
2018,CKAN_ONLY,,052-1564-034-00,,3011 College Ave,,1,,2018-06-14,-1
2018,CKAN_ONLY,,063-2967-017-03,,901 Grizzly Peak Blvd,,1,,2018-08-10,-1
2018,CKAN_ONLY,,063-2985-049-00,,1169 Cragmont Ave,,1,,2018-07-16,-1
2018,CKAN_ONLY,,060-2489-032-00,,122 Avenida Dr,,1,,2018-05-29,-1
2018,CKAN_ONLY,,056-1943-023-00,,2411 Fifth St,,2,,2018-10-30,-2
2018,CKAN_ONLY,,053-1659-030-00,,2817 Eighth St,,4,,2018-09-06,-4
2018,CKAN_ONLY,,056-1960-014-04,,2001 Fourth Street,,152,,2018-07-31,-152
2018,CKAN_ONLY,,060-2391-029-00,,1444 Neilson St,,1,,2018-12-11,-1
2018,CKAN_ONLY,,059-2251-005-00,,1518 Hawthorne Ter,,1,,2018-02-26,-1
2019,CKAN_ONLY,,056-1987-028-00,,2233 Curtis,,1,,2019-01-08,-1
2019,CKAN_ONLY,,054-1802-002-00,,2630 California,,1,,2019-08-21,-1
2019,CKAN_ONLY,,056-1936-001-00,,926 Channing,,1,,2019-07-31,-1
2019,CKAN_ONLY,,054-1782-023-00,,1214 Dwight,,1,,2019-09-06,-1
2019,CKAN_ONLY,,058-2181-006-00,,1734 Spruce; 2013 Second,,19,,2019-01-11,-19
2019,CKAN_ONLY,,059-2290-043-00,,1619 Cornell; 1736 Dwight,,1,,2019-10-24,-1
2019,CKAN_ONLY,,052-1567-076-00,,2740 Elmwood,,1,,2019-05-24,-1
2019,CKAN_ONLY,,060-2417-037-01,,1340 Peralta,,1,,2019-01-09,-1
2019,CKAN_ONLY,,058-2171-019-00,,1915 Virginia,,1,,2019-01-23,-1
2019,CKAN_ONLY,,052-1582-005-00,,2152 Russell,,1,,2019-01-11,-1
