na,delta,city,ours,keys,sks,yrs
1655 10TH,1.0,1.0,0.0,058-2128-016-00,,2024
1710 CHESTNUT,1.0,1.0,0.0,058-2133-009-00,,2020
1712 MARIN,1.0,1.0,0.0,061-2615-023-00,,2020
1729 VIRGINIA,1.0,1.0,0.0,058-2162-014-00,,2018
1775 SONOMA,1.0,1.0,0.0,061-2608-011-00,,2021
1805 FRANKLIN,1.0,1.0,0.0,057-2078-024-00,,2018
1813 PARKER,1.0,1.0,0.0,054-1813-013-00,,2022
0 LATHAM,1.0,1.0,0.0,063-2969-034-37,,2022
1825 SONOMA,1.0,1.0,0.0,061-2609-014-00,,2022
1835 MONTEREY,1.0,1.0,0.0,061-2604-007-00,,2018
1839 BERKELEY,1.0,4.0,3.0,057-2063-007-00,B2022-01345,"2021,2024"
1854 SAN RAMON,1.0,1.0,0.0,062-2911-011-00,,2021
1884 THOUSAND OAKS,1.0,1.0,0.0,062-2899-030-00,,2023
1891 SAN JUAN,1.0,1.0,0.0,062-2911-022-00,,2018
1904 SACRAMENTO,1.0,1.0,0.0,057-2075-002-01,,2022
1912 MONTEREY,1.0,1.0,0.0,061-2573-018-00,,2024
1915 VIRGINIA,1.0,1.0,0.0,058-2171-019-00,,2019
2425 OREGON,1.0,1.0,0.0,053-1692-020-00,,2019
2000 UNIVERSITY,1.0,82.0,81.0,057-2025-013-00,B2022-01111,2024
2414 DANA,1.0,1.0,0.0,055-1883-005-00,,2018
2543 PIEDMONT,1.0,1.0,0.0,055-1851-018-00,,2022
2432 OREGON,1.0,1.0,0.0,053-1691-024-00,,2023
605 NEILSON,1.0,2.0,1.0,062-2868-001-00,B2020-00481,"2023,2025"
3021 DANA,1.0,1.0,0.0,052-1574-033-00,,2020
3038 BENVENUE,1.0,1.0,0.0,052-1561-013-00,,2023
3040 TREMONT,1.0,1.0,0.0,053-1703-004-00,,2018
3046 TELEGRAPH,1.0,1.0,0.0,052-1576-032-00,,2019
3108 DEAKIN,1.0,1.0,0.0,052-1556-003-00,,2022
3124 LEWISTON,1.0,1.0,0.0,052-1563-071-00,,2019
3130 LEWISTON,1.0,1.0,0.0,052-1563-072-00,,2021
3139 ETON,1.0,1.0,0.0,052-1563-168-00,,2023
450 ARLINGTON,1.0,1.0,0.0,062-2923-005-00,,2019
483 BOYNTON,1.0,1.0,0.0,062-2942-030-00,,2024
6450 MYSTIC,1.0,1.0,0.0,064-4295-046-00,,2023
2434 MCGEE,1.0,1.0,0.0,055-1910-015-00,,2018
655 SAN LUIS,1.0,1.0,0.0,062-2915-031-00,,2025
770 PAGE,1.0,1.0,0.0,059-2325-003-00,,2022
773 NEILSON,1.0,1.0,0.0,062-2869-025-00,,2021
828 CHANNING,1.0,1.0,0.0,056-1940-002-00,,2022
840 DELAWARE,1.0,1.0,0.0,057-2095-004-00,,2021
842 THE ALAMEDA,1.0,1.0,0.0,061-2602-027-00,,2023
844 MIRAMAR,1.0,1.0,0.0,062-2874-008-00,,2024
85 HAZEL,1.0,1.0,0.0,064-4237-009-00,,2024
901 CRAGMONT,1.0,1.0,0.0,063-2972-070-00,,2019
926 CHANNING,1.0,1.0,0.0,056-1936-001-00,,2019
3020 HARPER,1.0,1.0,0.0,053-1602-008-00,,2022
3019 BATEMAN,1.0,2.0,1.0,052-1560-032-00,B2023-03857,2025
3011 COLLEGE,1.0,1.0,0.0,052-1564-034-00,,2018
30 ALAMO,1.0,1.0,0.0,063-2958-004-00,,2023
2435 BYRON,1.0,1.0,0.0,056-1929-022-00,,2018
2449 VIRGINIA,1.0,1.0,0.0,058-2194-008-00,,2019
2501 MABEL,1.0,2.0,1.0,054-1783-020-00,B2020-03502,2025
2504 GRANT,1.0,1.0,0.0,054-1807-002-00,,2018
2524 DWIGHT,1.0,1.0,0.0,055-1842-002-00,,2020
1639 JULIA,1.0,1.0,0.0,053-1609-008-00,,2022
26 ROCK,1.0,1.0,0.0,063-2961-047-00,,2024
2630 CALIFORNIA,1.0,1.0,0.0,054-1802-002-00,,2019
2633 ETNA,1.0,1.0,0.0,055-1849-022-00,,2023
2702 SHASTA,1.0,1.0,0.0,060-2469-068-00,,2021
2704 SHASTA,1.0,1.0,0.0,060-2469-069-03,,2021
2707 HILLEGASS,1.0,1.0,0.0,054-1710-025-00,,2019
2723 FOREST,1.0,1.0,0.0,054-1708-009-00,,2024
2801 ASHBY,1.0,1.0,0.0,052-1566-014-00,,2020
2801 COLLEGE,1.0,1.0,0.0,053-1696-001-00,,2022
2810 ASHBY,1.0,1.0,0.0,052-1566-030-00,,2018
2819 BENVENUE,1.0,1.0,0.0,053-1695-021-01,,2024
2823 CHERRY,1.0,1.0,0.0,053-1697-014-00,,2022
2915 PINE,1.0,1.0,0.0,052-1565-039-00,,2018
2921 OTIS,1.0,1.0,0.0,053-1598-027-00,,2021
2954 RUSSELL,1.0,1.0,0.0,052-1565-013-00,,2018
1642 ASHBY,1.0,1.0,0.0,053-1607-032-00,,2019
961 THE ALAMEDA,1.0,1.0,0.0,061-2574-024-00,,2022
1635 WOOLSEY,1.0,1.0,0.0,052-1545-008-00,,2022
1233 EVELYN,1.0,1.0,0.0,060-2409-051-00,,2018
1234 BURNETT,1.0,1.0,0.0,053-1628-037-00,,2019
1275 HEARST,1.0,1.0,0.0,057-2080-014-00,,2022
1284 HEARST,1.0,2.0,1.0,057-2081-007-00,B2020-00906,"2019,2021"
1302 CHANNING,1.0,1.0,0.0,056-1920-002-00,,2019
131 AVENIDA,1.0,1.0,0.0,060-2487-031-00,,2023
1311 SPRUCE,1.0,1.0,0.0,060-2462-018-00,,2020
1316 CARLETON,1.0,1.0,0.0,054-1792-026-00,,2019
1316 MILVIA,1.0,1.0,0.0,060-2451-009-00,,2021
1319 BLAKE,1.0,1.0,0.0,054-1783-011-00,,2019
1030 GRAYSON,1.0,4.0,3.0,053-1661-003-03,"B2017-00518,B2017-03295",2018
1340 PERALTA,1.0,1.0,0.0,060-2417-037-01,,2019
1341 ADDISON,1.0,1.0,0.0,056-1995-010-01,,2024
1342 HASKELL,1.0,1.0,0.0,052-1516-033-00,,2018
1350 CARLOTTA,1.0,1.0,0.0,060-2438-020-00,,2018
1355 ACTON,1.0,1.0,0.0,060-2428-027-00,,2025
1027 HEINZ,1.0,1.0,0.0,053-1660-024-00,,2024
1404 BLAKE,1.0,1.0,0.0,054-1795-018-00,,2023
1406 FAIRVIEW,1.0,1.0,0.0,052-1537-016-00,,2019
1407 CYPRESS,1.0,1.0,0.0,059-2282-029-00,,2019
1407 KAINS,1.0,1.0,0.0,060-2397-019-00,,2022
