block,n_sfr,lat,lon,market_ref_av_sqft,median_av_sqft,av_sqft_max_over_min,median_discount,share_under_25pct,share_near_market,share_hoex,benefit_usd_total,median_county_av_tax,median_city_sqft_tax,county_tax_max_over_min,city_tax_max_over_min
56-1936,11,37.861297,-122.292678,761,154,15.8,0.798,0.636,0.182,0.727,112184,3796,3079,18.2,2.3
56-1938,19,37.862746,-122.29421,1274,363,58.0,0.716,0.474,0.158,0.842,294132,7458,2716,61.7,5.8
56-1939,12,37.86152,-122.293787,1010,441,24.0,0.563,0.417,0.167,0.75,136112,9733,3576,24.4,3.2
56-1940,11,37.861373,-122.294814,700,402,23.8,0.426,0.182,0.364,0.909,56133,5683,2358,15.3,2.7
56-1941,14,37.862649,-122.295341,949,432,67.2,0.545,0.286,0.429,0.857,124894,10306,2986,50.0,2.2
56-1942,9,37.86211,-122.296486,991,517,24.4,0.478,0.222,0.222,0.889,73869,7620,2153,53.5,3.6
56-1965,16,37.866089,-122.296465,1256,535,27.0,0.574,0.25,0.188,0.5,271697,9957,2733,24.5,5.0
56-1968,8,37.86639,-122.295463,894,451,8.6,0.495,0.25,0.25,0.75,64075,10249,3112,8.7,2.4
56-1969,11,37.864284,-122.294889,518,443,8.6,0.144,0.091,0.636,0.909,37137,7619,3663,10.1,2.3
56-1971,18,37.866348,-122.294301,554,186,55.9,0.664,0.222,0.333,0.833,101260,3264,3320,46.7,2.8
56-1973,8,37.867906,-122.293411,967,133,12.5,0.862,0.625,0.25,0.5,111714,4172,3336,10.4,2.9
56-1974,20,37.866703,-122.293205,1113,408,115.9,0.633,0.35,0.1,0.7,275290,7727,3451,85.3,3.0
56-1975,17,37.865201,-122.292635,1084,188,22.2,0.826,0.824,0.176,0.647,257408,3702,3284,36.0,3.1
56-1976,8,37.865282,-122.291724,577,367,21.4,0.365,0.375,0.5,0.625,55541,7399,4087,21.5,3.4
56-1982,9,37.86777,-122.290665,1113,189,32.4,0.83,0.667,0.333,0.556,135929,4295,3210,69.3,2.7
56-1983,16,37.86627,-122.290253,967,413,50.8,0.573,0.438,0.188,0.625,142603,8921,2736,38.5,2.7
56-1984,21,37.865752,-122.289333,874,318,33.9,0.636,0.476,0.286,0.714,217644,6150,2918,55.3,3.5
56-1985,17,37.86754,-122.289589,874,423,28.5,0.517,0.353,0.235,0.647,144928,6454,2974,45.2,4.0
56-1986,10,37.867097,-122.288523,992,176,8.4,0.823,0.9,0.1,0.8,163480,3702,3558,7.8,2.5
56-1987,26,37.865728,-122.288198,1463,520,41.7,0.644,0.346,0.115,0.654,437715,11124,2806,32.7,3.3
56-1988,24,37.866029,-122.28717,1153,438,35.6,0.62,0.333,0.125,0.708,319629,7200,2777,29.4,2.6
56-1989,22,37.867811,-122.287691,915,410,38.9,0.552,0.364,0.318,0.864,206876,8114,2987,28.9,3.9
56-1994,33,37.867714,-122.284639,1162,398,36.5,0.658,0.394,0.212,0.818,304410,6877,2430,47.7,2.2
56-1995,8,37.869353,-122.284875,719,154,15.6,0.786,0.625,0.25,0.875,72947,3561,3476,25.6,2.2
56-1997,33,37.868057,-122.282878,1208,413,48.8,0.659,0.273,0.152,0.636,372453,6666,2594,40.2,2.7
56-1998,34,37.86632,-122.282778,1220,582,32.9,0.523,0.235,0.206,0.794,355856,8736,2366,31.9,3.6
56-1999,17,37.867072,-122.28107,1171,526,32.6,0.55,0.235,0.235,0.882,147331,6895,2362,36.3,2.9
56-2000,32,37.868462,-122.281239,1083,642,14.2,0.407,0.219,0.344,0.688,242323,9961,2537,15.9,2.5
56-2001,26,37.86681,-122.27992,1226,483,33.5,0.606,0.385,0.231,0.615,313136,9767,2917,39.8,2.1
56-2002,17,37.868715,-122.280211,1420,280,31.7,0.803,0.647,0.235,0.824,247401,3923,2651,45.5,2.1
56-2007,21,37.867261,-122.278796,907,320,52.0,0.647,0.286,0.19,0.762,196697,5917,3141,40.5,2.3
56-2008,27,37.867223,-122.27769,945,193,33.4,0.796,0.593,0.111,0.852,363056,3871,3230,32.2,2.7
56-2009,18,37.867547,-122.276547,1079,349,38.4,0.676,0.333,0.222,0.944,252772,8253,3294,24.2,2.8
56-2010,15,37.869188,-122.276718,857,483,62.8,0.437,0.333,0.333,0.533,108562,7197,2943,50.6,2.3
56-2012,20,37.86924,-122.27563,713,286,32.1,0.599,0.25,0.2,0.7,187486,6220,3859,53.9,3.3
57-2013,18,37.86766,-122.275402,1022,207,64.3,0.798,0.667,0.111,0.611,312478,4382,4135,37.3,3.0
57-2014,11,37.867727,-122.274298,969,397,24.0,0.59,0.273,0.364,0.545,116990,15786,3838,18.6,4.1
57-2015,11,37.869542,-122.274543,988,227,19.2,0.771,0.545,0.273,0.727,167324,5478,4089,13.5,2.0
57-2018,11,37.86785,-122.273203,711,144,33.4,0.798,0.545,0.182,0.818,137283,4699,4192,32.9,2.3
57-2061,8,37.871658,-122.277054,1141,721,4.8,0.368,0.25,0.375,0.625,66044,11784,3042,7.0,1.9
57-2062,14,37.872469,-122.276859,1313,356,37.3,0.729,0.429,0.214,0.929,205896,5941,2868,24.4,3.3
57-2063,13,37.872656,-122.274874,1066,245,45.2,0.77,0.538,0.308,0.692,185944,4513,3191,66.7,2.2
57-2064,8,37.873724,-122.274565,427,221,7.6,0.483,0.25,0.25,0.875,33058,4484,3862,21.4,2.6
57-2065,9,37.873444,-122.276727,1533,270,42.6,0.824,0.556,0.111,0.778,177840,4397,2767,50.2,3.4
57-2066,11,37.873182,-122.278745,765,298,12.1,0.61,0.273,0.364,0.727,89279,8593,3776,17.1,2.8
57-2068,16,37.871898,-122.280779,671,271,31.1,0.596,0.312,0.25,0.625,110651,4442,3021,36.2,3.7
57-2069,15,37.871949,-122.278776,779,190,35.0,0.756,0.533,0.2,0.867,181099,4164,3938,21.3,2.7
57-2074,27,37.87109,-122.285539,961,421,30.1,0.562,0.185,0.296,0.63,212854,7849,2486,26.6,2.6
57-2075,25,37.871328,-122.283521,844,441,56.8,0.478,0.24,0.28,0.76,199535,8160,2548,30.0,3.5
57-2076,21,37.872386,-122.28288,1163,357,41.9,0.693,0.476,0.19,0.619,292902,6251,2970,25.5,3.3
57-2077,20,37.87225,-122.283948,1069,373,26.7,0.651,0.35,0.3,0.8,190296,7021,2982,36.4,2.0
57-2078,21,37.872113,-122.2851,1104,425,45.0,0.615,0.381,0.238,0.857,221830,4840,2790,70.2,4.8
57-2080,21,37.871833,-122.287571,1445,733,32.6,0.493,0.143,0.286,0.667,208615,9427,2283,27.4,2.6
57-2081,16,37.870886,-122.287384,943,515,60.2,0.454,0.312,0.125,0.812,172253,8015,3001,29.5,3.9
57-2082,15,37.871528,-122.288743,1178,504,6.5,0.572,0.2,0.2,0.933,148357,7800,2387,5.6,2.3
57-2083,11,37.870633,-122.288747,661,284,19.3,0.57,0.273,0.364,0.818,61719,3396,2467,23.9,3.2
57-2086,18,37.871425,-122.29029,1287,399,32.5,0.69,0.444,0.111,0.667,310088,7865,3293,22.2,3.3
57-2090,9,37.870694,-122.294513,1124,307,16.2,0.727,0.333,0.222,0.778,117112,4076,2881,11.5,2.3
57-2091,8,37.870438,-122.295663,914,237,13.2,0.741,0.5,0.25,0.625,128939,7917,4535,6.7,2.5
57-2094,9,37.870141,-122.296721,1170,322,25.1,0.725,0.444,0.222,0.667,158395,4696,3528,16.6,2.7
58-2119,16,37.871741,-122.298209,711,345,36.8,0.515,0.062,0.188,0.875,110258,4454,2280,17.2,3.9
58-2120,18,37.87335,-122.298785,1086,232,25.2,0.787,0.556,0.111,0.667,233122,4038,2593,43.9,4.1
58-2121,18,37.873448,-122.297739,999,404,123.2,0.596,0.333,0.278,0.778,181383,5356,2793,43.4,4.1
58-2123,16,37.872175,-122.296112,1073,534,70.1,0.502,0.25,0.25,0.812,165212,9413,3360,40.2,2.8
58-2124,28,37.873792,-122.296661,1219,547,43.7,0.551,0.25,0.179,0.679,284870,9664,2289,43.6,3.8
58-2125,28,37.873923,-122.29551,1165,307,45.8,0.736,0.5,0.179,0.821,287168,4110,2288,37.4,2.5
58-2126,16,37.87219,-122.295042,837,131,56.2,0.843,0.625,0.125,0.875,171046,2427,3253,57.1,2.7
58-2127,10,37.872542,-122.294075,1249,639,4.2,0.488,0.1,0.1,0.6,130309,10517,3070,3.5,2.4
58-2128,13,37.874324,-122.294675,1221,713,3.8,0.416,0.0,0.231,0.692,122103,9167,2540,3.4,4.0
58-2130,21,37.872366,-122.291374,1057,579,65.6,0.453,0.381,0.286,0.714,283318,10562,3489,47.9,2.6
58-2133,15,37.873582,-122.289209,1022,168,30.6,0.835,0.533,0.133,0.867,185142,2830,2804,58.5,2.5
58-2134,20,37.872662,-122.28907,1197,550,40.5,0.54,0.4,0.25,0.7,207882,8389,2520,59.5,3.5
58-2135,17,37.872813,-122.287703,894,356,27.3,0.602,0.353,0.235,0.824,165957,7965,3082,32.1,2.2
58-2136,12,37.873661,-122.287795,1038,600,29.7,0.422,0.167,0.25,0.833,83434,9257,2408,29.4,1.9
58-2137,9,37.874707,-122.287981,539,106,20.4,0.803,0.556,0.111,0.778,60630,2189,3135,39.1,3.4
58-2138,12,37.875437,-122.288111,1313,287,32.1,0.781,0.583,0.167,0.833,162624,4575,2631,33.3,2.3
58-2139,19,37.875141,-122.286572,1286,300,25.0,0.766,0.526,0.211,0.632,309601,6925,2939,32.2,2.1
58-2140,13,37.873892,-122.286399,1286,648,35.1,0.496,0.154,0.385,0.692,143786,11652,2846,33.8,2.4
58-2141,10,37.87306,-122.286298,803,251,17.6,0.687,0.5,0.2,0.8,86516,4438,2678,26.7,1.9
58-2142,14,37.873243,-122.285173,832,543,22.7,0.348,0.286,0.214,0.571,92037,8180,2690,31.3,1.9
58-2143,15,37.874021,-122.285296,1391,738,33.1,0.469,0.4,0.2,0.6,167199,9605,2478,36.7,2.3
58-2144,19,37.875605,-122.285414,1631,561,50.9,0.656,0.368,0.158,0.684,408220,13689,3274,38.9,4.6
58-2145,67,37.875515,-122.283762,942,323,32.4,0.657,0.418,0.299,0.746,760996,6914,3586,30.8,2.7
58-2150,10,37.873669,-122.2807,1071,182,14.1,0.83,0.8,0.1,0.4,148921,3058,2555,15.4,2.1
58-2151,10,37.874536,-122.281755,1090,712,23.4,0.347,0.3,0.4,0.8,86163,10348,2756,21.4,1.7
58-2152,13,37.874636,-122.280664,1086,372,45.4,0.658,0.308,0.231,0.769,132662,5169,2364,34.4,2.1
58-2153,23,37.875506,-122.281345,1185,314,31.0,0.735,0.478,0.13,0.87,308347,6129,2625,27.8,2.3
58-2154,30,37.876349,-122.281443,1082,358,26.7,0.67,0.333,0.2,0.9,358728,5998,2936,33.9,2.8
58-2155,27,37.876686,-122.279281,1029,312,37.3,0.697,0.37,0.148,0.778,328819,5082,3036,30.3,2.5
58-2156,27,37.875761,-122.279144,1071,377,43.8,0.648,0.444,0.111,0.778,376951,6445,3309,62.3,3.3
58-2157,22,37.874775,-122.279232,976,302,25.8,0.69,0.409,0.318,0.727,255270,8465,3738,71.9,2.6
58-2158,27,37.873883,-122.278813,1311,678,49.9,0.483,0.333,0.259,0.704,335677,10993,2831,47.9,2.3
58-2159,21,37.874172,-122.276649,1173,385,28.9,0.672,0.333,0.143,0.81,316024,8683,3268,33.9,3.1
58-2160,23,37.875112,-122.277086,1165,290,53.0,0.751,0.522,0.13,0.826,343638,4806,3055,50.9,2.2
58-2161,12,37.875936,-122.277489,1174,260,42.3,0.779,0.5,0.167,0.917,214657,4826,3682,31.5,1.9
58-2162,10,37.87614,-122.276442,1119,522,37.4,0.533,0.3,0.3,0.9,136780,11157,3724,75.1,2.2
58-2163,8,37.876795,-122.277631,1203,340,37.9,0.717,0.5,0.125,1.0,104350,5196,2899,43.4,1.7
58-2164,13,37.877005,-122.27646,1223,290,53.9,0.763,0.538,0.231,0.769,203670,6421,3346,66.7,2.9
58-2165,21,37.876689,-122.275266,712,335,36.1,0.529,0.238,0.238,0.762,189915,7078,4037,24.9,2.8
58-2166,23,37.876961,-122.274206,838,370,28.8,0.559,0.174,0.217,0.739,229666,9275,4043,45.4,3.0
58-2167,16,37.875402,-122.274676,1178,303,44.9,0.743,0.5,0.375,0.875,243604,8136,3771,42.9,2.6
58-2168,10,37.874528,-122.274628,1064,201,16.7,0.812,0.6,0.2,0.8,131995,5420,3205,29.0,2.4
58-2170,10,37.875669,-122.272371,967,506,7.0,0.477,0.3,0.1,0.6,120435,11279,3538,8.3,2.5
58-2171,12,37.876909,-122.272861,858,224,22.8,0.739,0.5,0.167,0.5,147593,6963,3906,23.3,2.2
58-2182,17,37.876965,-122.264827,875,302,27.2,0.655,0.412,0.176,0.647,382952,12949,6432,26.3,3.4
58-2183,10,37.877776,-122.265954,739,273,10.1,0.63,0.2,0.2,0.8,175996,14748,6853,7.9,2.7
58-2184,19,37.878297,-122.26507,1117,251,31.5,0.775,0.526,0.211,0.632,462456,7107,5501,33.3,2.9
58-2196,15,37.879277,-122.259623,963,492,24.6,0.49,0.333,0.2,0.8,260995,14808,5044,32.6,2.9
58-2208,12,37.878832,-122.256136,1062,489,30.1,0.539,0.25,0.333,0.75,217776,13424,4907,30.9,5.3
58-2211,11,37.879544,-122.256513,903,501,5.6,0.445,0.273,0.364,0.636,152625,13549,5069,5.4,2.8
58-2232,27,37.881497,-122.254036,718,433,18.1,0.397,0.074,0.37,0.704,263374,14476,5629,24.2,4.1
