project_key,address,apn,units_best,units_source,planning_records,planning_status,planning_filed,building_records,building_status,building_filed,first_bp_issued,last_finaled,status_asof,v2_project_id,v2_match_basis,v2_units,v2_status,v2_bp_issued,v2_co,not_in_v2,needs_status_refresh,possible_v2_match,units_disagree,n_records,address_missing,address_borrowed
apn|057-2024-013-00,2099 M L KING JR Way,057-2024-013-00,72,cpra_UnitsAdded,ZP2019-0081,Approved,2019-05-02,B2021-03950,Finaled,2021-09-02,2023-07-17,2024-05-17,2026-07-08,96,address+apn+permit,72,Completed,2023-07-17,2024-05-17,0,1,,0,2,0,0
addr|2631|durant,2631 DURANT Ave,,71,description,DRCF2016-0006;ZP2021-0011,Withdrawn,2021-01-21,,,,,,2026-09-21,894,address,56,Completed,,2020-08-12,0,0,,1,2,0,0
apn|055-1884-018-00,2334 DURANT,055-1884-018-00,70,description,PLN2024-0023,Pending,2024-03-25,,,,,,2026-09-21,23;24,address~10,70,In Review,,,0,0,,0,1,0,0
apn|055-1839-020-00,2539 TELEGRAPH Ave,055-1839-020-00,70,cpra_UnitsAdded,,,,B2016-03471,Finaled,2016-07-22,2017-07-12,2019-09-30,2026-07-08,890,address+apn+permit,70,Completed,,2019-09-30,0,0,,0,1,0,0
apn|055-1886-001-00,2300 ELLSWORTH St,055-1886-001-00,69,cpra_UnitsAdded,PLN2022-0084,Closed,2022-09-26,B2024-05944,Issued,2024-12-17,2025-09-04,,2026-09-21,147,address+apn+permit,69,Under Construction,2025-09-04,,0,0,,0,2,0,0
apn|055-1886-002-00,2310 ELLSWORTH,055-1886-002-00,69,description,ZP2023-0024,Approved,2023-02-17,,,,,,2026-07-08,147;704,address~10,69,Under Construction,2025-09-04,,0,1,,0,1,0,0
apn|057-2046-010-00,2111 UNIVERSITY AVE,057-2046-010-00,68,cpra_UnitsAdded,,,,B2015-03005,Finaled,2015-06-23,2018-06-27,2022-03-04,2026-07-08,902,address+permit,68,Completed,,2022-03-04,0,0,,0,1,0,0
apn|055-1890-007-00,2159 DWIGHT,055-1890-007-00,68,description,PLN2022-0109;DRCP2023-0004;ZP2023-0057,Approved,2023-04-26,,,,,,2026-07-08,,,,,,,1,1,"144(58u,block);914(100u,block);66(2u,street)",0,3,0,0
apn|055-1884-017-00,2330 DURANT Ave,055-1884-017-00,68,description,PLN2025-0053;PLN2025-0038;PLN2025-0100,Pending,2025-11-14,,,,,,2026-09-21,24,address+apn,68,In Review,,,0,0,,0,3,0,0
apn|055-1875-029-00,2455 TELEGRAPH AVE,055-1875-029-00,68,description,PLN2025-0066;ZP2026-0015,Pending Final Action,2026-02-10,,,,,,2026-09-21,25,address+apn+permit,68,In Review,,,0,0,,0,2,0,0
addr|1201|san pablo,1201 SAN PABLO Ave,,66,description,ZP2018-0136;PLN2021-0012;DRCP2021-0007;ZP2021-0070,Approved,2021-05-06,,,,,,2026-09-21,,,,,,,1,0,,0,4,0,0
apn|057-2023-025-00,2072 ADDISON St,057-2023-025-00,66,cpra_UnitsAdded,,,,B2018-04293,Finaled,2018-10-26,2020-01-29,2023-07-18,2026-07-08,182,address+apn+permit,66,Completed,,2023-07-18,0,0,,0,1,0,0
apn|057-2029-015-00,2138 KITTREDGE St,057-2029-015-00,66,description,PLN2024-0011;ZP2024-0114;DRCP2024-0015;DRCF2026-0002,Approved,2026-04-02,B2025-00984,Issued,2025-03-11,,,2026-07-08,113,address+apn,73,Permitted,,,0,1,,1,5,0,0
apn|055-1878-020-00,2462 BANCROFT,055-1878-020-00,66,description,PLN2022-0104;DRCP2023-0013;ZP2023-0107;PLN2023-0080,Closed,2023-11-16,,,,,,2026-07-08,116,address+apn+permit,66,Entitled,,,0,1,,0,4,0,0
apn|057-2046-006-00,1900 WALNUT ST,057-2046-006-00,65,cpra_UnitsAdded,,,,B2015-03000,Finaled,2015-06-23,2018-06-27,2022-10-25,2026-07-08,,,,,,,1,0,"178(205u,block);916(44u,block);900(35u,block)",0,1,0,0
apn|056-1983-038-01,2201 SAN PABLO,056-1983-038-01,65,description,PLN2022-0112;PLN2026-0141,Under Review,2026-06-03,,,,,,2026-07-08,149,address~10,100,Entitled,,,0,1,,1,2,0,0
apn|052-1554-004-00,3120 Shattuck,052-1554-004-00,65,description,PLN2026-0184,Pending,2026-09-17,,,,,,2026-09-21,,,,,,,1,0,"188(1u,block)",0,1,0,0
apn|055-1887-003-00,2372 ELLSWORTH St,055-1887-003-00,63,description,PLN2024-0054;ZP2024-0169,Approved,2024-11-19,B2025-05654,Approved w/Conditions,2025-12-08,,,2026-07-08,28,address+apn,63,Entitled,,,0,1,,0,3,0,0
apn|054-1781-015-01,2527 SAN PABLO Ave,054-1781-015-01,63,cpra_UnitsAdded,PLN2015-0054;ZP2016-0207,Approved,2016-10-21,B2018-03255,Finaled,2018-08-17,2023-07-21,2024-04-30,2026-07-08,228,apn+permit,63,Completed,,2024-04-30,0,0,,0,3,0,0
apn|054-1714-005-01,2712 TELEGRAPH Ave,054-1714-005-01,60,description,PLN2022-0061;DRCP2022-0021;ZP2022-0179;PLN2023-0018;ZP2025-0105;ZP2026-0076,Under Review,2026-08-11,B2025-05635,Under Review,2025-12-08,,,2026-07-08,31,address+apn+permit,57,In Review,,,0,1,,1,7,0,0
apn|057-2023-013-00,2001 CENTER STREET,057-2023-013-00,58,description,PLN2025-0039;ZP2025-0107,Corrections Pending Applicant,2025-11-26,,,,,,2026-09-21,30,address+apn+permit,58,In Review,,,0,0,,0,2,0,0
addr|2127|dwight,2127 DWIGHT Way,,58,description,DRCF2024-0002,Approved,2024-03-28,,,,,,2026-09-21,144,address,58,Withdrawn,,,0,0,,0,1,0,0
