project_id,address,units,v2_status,flag,reason,co_evidence_date,n_census_building_permits,new_construction_permits,latest_building_status,planning_records,planning_statuses,live_planning,assessor_imps,apn,years_since_filing,address_matched_census
169,3020 SAN PABLO Ave,29,In Review,ok,,,5,B2015-00694;B2024-03696,Closed Expired,DRCF2015-0001;ZCBP2015-0706;ZCBP2015-0988,Approved;Closed,1,0,053-1634-004-01,,1
134,2480 Bancroft Way,28,Completed,ok,,2025-07-14,14,B2022-05880;B2022-05880-REV01;B2022-05880-DEF02;B2024-02120,Finaled,ZCBP2015-1261;ZCBP2015-1593;DRCP2022-0017;ZP2022-0148,Approved;Closed,3,22258000.0,055-1878-022-00,3,1
174,1773 OXFORD St,24,Completed,ok,,2025-05-21,14,B2023-02354;B2023-02354-REV01;B2023-02354-DEF02;B2023-02354-DEF03,Finaled,ZP2022-0062,Approved,1,6389279.0,058-2181-027-00,4,1
117,2317 CHANNING Way,22,Entitled,ok,,,7,B2022-04242,Issued,ZP2024-0033,Approved,1,0,055-1884-006-00,2,1
917,2711 Shattuck Ave,22,Completed,ok,,,4,B2016-05441;B2016-05441-REV01;B2016-05441-REV03,Closed Expired,DRCF2015-0002;ZP2015-0206,Approved,2,3751784.0,054-1719-038-00,,1
912,2001 Addison St,21,Completed,ok,,,4,,Issued,ZCBL2019-0512;ZCBL2019-0535;ZCBL2019-0534,Approved,3,7931259.0,057-2025-010-01,,1
146,2800 TELEGRAPH Ave,18,Under Construction,ok,,,2,B2025-05618,Under Review,DRCP2022-0009;ZP2022-0107,Approved,2,400000.0,053-1689-001-00,2,1
160,2344 FULTON St,18,In Review,ok,,,1,,Finaled,,,0,589050.0,055-1892-004-00,1,1
428,1717 University Ave,15,Completed,ok,,2023-04-04,13,B2020-00206;B2020-00206-REV01;B2020-00206-REV02;B2020-00206-DEF03,Issued,,,0,18300393.0,057-2061-010-00,,1
905,2340 FIFTH St,14,Completed,ok,,2022-05-13,1,B2018-02291,Finaled,,,0,,056-1945-006-00,,1
42,1740 UNIVERSITY Ave,12,Entitled,ok,,,2,,Under Review,,,0,350000.0,056-2011-022-00,1,1
148,2018 BLAKE St,12,Permitted,ok,,,4,,Closed Expired,DRCF2023-0004,Approved,1,0,055-1821-021-00,2,1
161,2555 COLLEGE Ave,12,Completed,ok,,2025-07-25,9,B2023-02975;B2023-02975-DEF01;B2023-02975-REV02;B2023-02975-REV03,Finaled,,,0,4181999.0,055-1847-020-00,4,1
898,2597 TELEGRAPH Ave,10,Completed,ok,,2021-11-10,10,B2017-01850;B2017-01850-DEF01;B2017-01850-DEF02;B2017-01850-REV03,Issued,DRCP2015-0002;ZP2015-0018,Approved;Withdrawn,1,1329192.0,055-1837-003-00,,1
44,2428 MILVIA St,8,In Review,ok,,,1,,Finaled,,,0,618436.0,055-1898-001-00,2,1
45,2200 FIFTH St,8,Withdrawn,ok,,,0,,,,,0,3426.0,056-1958-003-01,1,0
907,2714 9th St,7,Completed,ok,,,0,,,,,0,421887.0,054-1746-032-00,,0
46,1745 CEDAR St,6,In Review,ok,,,14,,Under Review,,,0,106120.0,059-2275-016-00,1,1
47,1850 BERRYMAN St,6,In Review,ok,,,1,B2025-05624,Corrections List Issued,ZP2023-0063,Incomplete Pending Applicant,1,0,060-2447-036-00,1,1
889,2002 ADDISON St,6,Completed,ok,,,3,,Issued,ZP2015-0135;PLN2018-0012;DRSA2021-0006,Approved;Closed,2,13649815.0,057-2023-017-01,,1
49,1618 SIXTH St,4,In Review,ok,,,3,,Under Review,,,0,865936.0,057-2117-004-02,1,1
50,2420 ASHBY Ave,4,In Review,ok,,,0,,,,,0,481676.0,052-1573-078-02,2,0
52,2437 WARRING St,4,In Review,ok,,,7,,Finaled,,,0,1711886.0,055-1865-014-01,1,1
299,2737 DURANT Ave,4,Completed,ok,,,4,B2021-04892;B2021-04892-REV01,Issued,PLN2016-0007,Closed,0,2994000.0,055-1870-003-00,,1
381,2980 College Ave,4,Completed,ok,,,6,,Finaled,ZP2020-0075,Approved,1,457980.0,052-1573-093-00,,1
465,739 Channing Way,4,Completed,ok,,,3,B2019-02824;B2018-02291-REV01,Issued,ZP2017-0039,Approved,1,7260730.0,056-1945-012-00,,1
487,1444 Walnut St,4,Completed,ok,,,4,,Finaled,,,0,4420726.0,059-2261-004-03,,1
513,2817 Eighth St,4,Completed,ok,,,7,B2016-05831,Finaled,,,0,1092297.0,053-1659-035-00,,1
53,2641 COLLEGE Ave,3,Completed,ok,,,5,,Issued,,,0,1499400.0,055-1848-018-00,1,1
54,2205 BLAKE St,3,In Review,ok,,,0,,,,,0,991900.0,055-1830-014-00,2,0
56,1650 FIFTH St,3,In Review,ok,,,4,B2026-00649;B2026-00648;B2026-00647,Under Review,,,0,617610.0,057-2116-022-00,1,1
57,3101 SACRAMENTO St,3,In Review,ok,,,1,,Corrections List Issued,DRSL2024-0004,Approved,1,99032.0,052-1542-017-00,1,1
58,1449 CORNELL Ave,3,In Review,ok,,,4,B2026-01959;B2026-01958;B2026-01957,Under Review,,,0,448800.0,060-2392-051-00,1,1
59,1514 WALNUT St,3,In Review,ok,,,6,,Issued,ZCBP2015-0823;ZCBP2015-0865,Approved,2,1901670.0,059-2260-005-00,1,1
60,1464 SIXTH St,3,Permitted,ok,,,9,,Under Review,,,0,142796.0,059-2326-011-00,1,1
61,2812 EIGHTH St,3,In Review,ok,,,1,,Finaled,,,0,397950.0,053-1658-005-03,1,1
62,2201 BLAKE St,3,Entitled,ok,,,2,,Corrections List Issued,,,0,991900.0,055-1830-014-00,2,1
129,1614 Sixth St,3,Completed,ok,,,11,B2024-04504;B2024-06099,Under Review,,,0,764694.0,057-2117-004-01,2,1
202,1027 HEINZ,3,Completed,ok,,2024-11-07,3,B2022-02577;B2022-02577-REV01,Finaled,,,0,1844286.0,053-1660-024-00,,1
