project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
518,1417 Josephine St,1,Completed,2018-06-27,2018-06-27,agrees,0,1,1,0,B2017-00828=2018-06-27,Approved
529,3030 Hillegass Ave,1,Completed,2018-05-30,2018-05-30,agrees,0,1,1,0,B2017-00955=2018-05-30,Approved
500,1729 Virginia St,1,Completed,2018-07-13,2018-07-13,agrees,0,1,1,0,B2017-01113=2018-07-13,Approved
519,1835 Monterey Ave,1,Completed,2018-04-30,2018-04-30,agrees,0,1,1,0,B2017-01124=2018-04-30,Approved;Disapproved
531,825 Peralta Ave,1,Completed,2018-04-26,2018-04-26,agrees,0,1,1,0,B2017-01223=2018-04-26,Approved
514,1444 Neilson St,1,Completed,2018-12-11,2018-12-11,agrees,0,1,1,0,B2017-01227=2018-12-11,Approved;Cancelled;Disapproved;Site Cancellation
507,2374 Eunice St,1,Completed,2018-10-17,2018-10-17,agrees,0,1,1,0,B2017-01320=2018-10-17,Approved;Disapproved;Rescheduled
493,1737 Tenth St,1,Completed,2018-07-03,2018-07-03,agrees,0,1,1,0,B2017-01412=2018-07-03,Approved;Partially Approved
606,1302 Channing,1,Completed,2019-09-05,2019-09-05,agrees,0,1,1,0,B2017-01506=2019-09-05,Approved;Disapproved;Site Cancellation
731,1505 Arch,1,Completed,2021-01-11,2021-01-11,agrees,0,1,1,0,B2017-01520=2021-01-11,Approved;Partially Approved
700,2909 Pine,1,Completed,2020-07-16,2020-07-16,agrees,0,1,1,0,B2017-01537=2020-07-16,Approved;Disapproved
568,2630 California,1,Completed,2019-08-21,2019-08-21,agrees,0,1,1,0,B2017-01609=2019-08-21,Approved;Cancelled;Disapproved
489,1157 Amador Ave,1,Completed,2018-10-24,2018-10-24,agrees,0,1,1,0,B2017-01688=2018-10-24,Approved;Cancelled;Disapproved
571,1319 Blake St,1,Completed,2019-06-04,2019-06-04,agrees,0,1,1,0,B2017-01805=2019-06-04,Approved;Disapproved
503,1211 Haskell St,1,Completed,2018-03-14,2018-03-14,agrees,0,1,1,0,B2017-02125=2018-03-14,Approved;Disapproved
607,1365 Curtis,1,Completed,2019-03-21,2019-03-21,agrees,0,1,1,0,B2017-02359=2019-03-21,Approved;Disapproved
573,1626 Sixty-Second,1,Completed,2019-10-17,2019-10-17,agrees,0,2,1,0,B2017-02517=2019-10-17,Approved;Disapproved
555,2740 Elmwood,1,Completed,2019-05-24,2019-05-24,agrees,0,1,1,0,B2017-02662=2019-05-24,Approved;Disapproved;Partially Approved
523,2075 Eunice St,1,Completed,2018-10-31,2018-10-31,agrees,0,1,1,0,B2017-02712=2018-10-31,Approved;Cancelled;Disapproved
648,1133 Carleton,1,Completed,2020-09-29,2020-09-29,agrees,0,1,1,0,B2017-02775=2020-09-29,Approved;Disapproved
781,50 Northgate,1,Completed,2021-01-29,2021-01-29,agrees,0,1,1,0,B2017-02783=2021-01-29,Approved;Disapproved
