record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
ZP2019-0217,Planning,census,Zoning Permit,screen,17,description,capdetail,2317 CHANNING Way,,2019-12-20,,,Withdrawn,2026-09-21,"To demolish an existing 2,215 sq. ft. commercial building on a 6,500 sq. ft. residential parcel, and construct a new 4-story residential apartment building with",Planning_2019-12-18_2019-12-21
ZP2019-0213,Planning,census,Zoning Permit,screen,10,description,capdetail,1862 ARCH St,,2019-12-20,,,Approved,2026-09-21,"to add 15 bedrooms to an existing 10-unit, 10-bedroom multi-family residential building, for a total of 25 bedrooms on the parcel.",Planning_2019-12-18_2019-12-21
ZP2019-0212,Planning,census,Zoning Permit,screen,10,description,capdetail,1850 ARCH St,,2019-12-20,,,Approved,2026-09-21,"to add 18 bedrooms to an existing 10-unit, 12-bedroom multi-family residential building, for a total of 30 bedrooms on the parcel.",Planning_2019-12-18_2019-12-21
PLN2020-0001,Planning,census,Pre-Application,screen,27,description,capdetail,1650 ALCATRAZ Ave,,2020-01-03,,,Closed,2026-09-21,"demolish existing commercial building and construct a new 4-story market-rate, mixed-use building with 27 residential units over commercial and parking. Request",Planning_2020-01-03_2020-01-06
DRSL2020-0001,Planning,census,Design Review Staff Level,screen,2,description,census,2327 Fifth Street,056-1942-022-00,2020-01-23,,,Approved,2026-07-08,"Construct a new 1,680 square foot live/work building at the rear of a lot with an existing 2-story, 2-unit live/work building.",Planning_2020-01-23_2020-01-26
ZP2020-0009,Planning,census,Zoning Permit,screen,2,description,census,2327 Fifth Street,056-1942-022-00,2020-01-23,,,Approved,2026-07-08,"Construct a new 1,680 square foot live/work building at the rear of a lot with an existing 2-story, 2-unit live/work building.",Planning_2020-01-23_2020-01-26
ZP2020-0016,Planning,census,Zoning Permit,screen,4,description,capdetail,2737 DURANT Ave,,2020-02-05,,,Approved,2026-09-21,New 3 story residential building with 4 new units.,Planning_2020-02-04_2020-02-07
DRCF2020-0002,Planning,census,Design Review Committee Final,screen,37,description,capdetail,2028 BANCROFT Way,,2020-03-05,,,Approved,2026-09-21,Construction of new 6-story 37 unit apartment building,Planning_2020-03-03_2020-03-06
DRSL2020-0007,Planning,census,Design Review Staff Level,screen,4,description,capdetail,2421 FIFTH St,,2020-05-13,,,Approved,2026-09-21,Demo existing SFR and construct new 4-unit residential building in MU-R.,Planning_2020-05-10_2020-05-13
ZP2020-0043,Planning,census,Zoning Permit,screen,4,description,capdetail,2421 FIFTH St,,2020-05-13,,,Approved,2026-09-21,Demo existing SFR and construct new 4-unit residential building in MU-R.,Planning_2020-05-10_2020-05-13
DRCP2020-0003,Planning,census,Design Review Committee Preliminary,screen,3,description,capdetail,1652 UNIVERSITY Ave,,2020-05-11,,,Withdrawn,2026-09-21,"Construction of a 3-story, 4,196 square-foot building with 3 dwelling units and 5 commercial parking spaces",Planning_2020-05-10_2020-05-13
ZP2020-0041,Planning,census,Zoning Permit,screen,3,description,capdetail,1652 UNIVERSITY Ave,,2020-05-11,,,Withdrawn,2026-09-21,"construct a new 3-story, 4,196 square-foot building containing 3 dwelling units and 5 commercial parking spaces located on the ground floor to serve the existin",Planning_2020-05-10_2020-05-13
ZP2020-0052,Planning,census,Zoning Permit,screen,20,description,capdetail,2328 CHANNING Way,,2020-06-05,,,Approved,2026-09-21,"Restoration and relocation of (e) potentially historic SFR; construction of new, detached 20-unit, 5-story housing development with Density Bonus to permit a 5t",Planning_2020-06-03_2020-06-06
PLN2020-0025,Planning,census,Pre-Application,screen,110,description,capdetail,3031 TELEGRAPH Ave COM,,2020-06-18,,,Pending,2026-09-21,"Demolish one existing commercial building and construct a 6-story, 69'-tall, 110-unit mixed-use residential building with 5,400 sf ground floor commercial space",Planning_2020-06-15_2020-06-18
PLN2020-0023,Planning,census,Pre-Application,screen,168,description,capdetail,2015 BLAKE St,,2020-06-17,,,Closed,2026-09-21,Demolish 3 existing commercial buildings and 1 duplex; restore and relocate 2 residential buildings on the site (includes 7 rent-controlled units); merge and re,Planning_2020-06-15_2020-06-18
ZP2020-0069,Planning,census,Zoning Permit,screen,110,description,capdetail,3031 TELEGRAPH Ave COM,,2020-07-06,,,Approved,2026-09-21,"Demolish an existing commercial building and construct a six-story, 98,338 square-foot mixed-use building with 110 units (including 7 Very Low-Income units), in",Planning_2020-07-05_2020-07-08
ZP2020-0072,Planning,census,Zoning Permit,screen,168,description,capdetail,2015 BLAKE St,,2020-07-10,,,Approved,2026-09-21,Demolish 3 existing commercial buildings and 1 duplex; restore and relocate 2 residential buildings on the site (includes 7 rent-controlled units); merge and re,Planning_2020-07-09_2020-07-12
PLN2020-0030,Planning,census,Pre-Application,screen,40,description,capdetail,1820 SAN PABLO Ave,,2020-08-10,,,Pending,2026-09-21,"Demolish existing building, except the front facade and first floor walls. Construct a 5-story, 40-unit, mixed-use building, with ground-floor commercial. The A",Planning_2020-08-10_2020-08-13
PLN2020-0032,Planning,census,Pre-Application,screen,17,description,capdetail,2317 CHANNING Way,,2020-08-18,,,Pending,2026-09-21,"SB 330 Preliminary Application - Proposed development of 17 dwelling units, 4 stories, plus a basement.",Planning_2020-08-18_2020-08-21
PLN2020-0041,Planning,census,Pre-Application,screen,126,description,capdetail,2136 SAN PABLO Ave,,2020-09-25,,,Pending,2026-09-21,Demolition of the existing building and construction of a new 6 story mixed-use building with 126 dwelling units (of which 3 are live/work) and 10 are provided ,Planning_2020-09-23_2020-09-26
ZP2020-0104,Planning,census,Zoning Permit,screen,257,description,capdetail,1914 FIFTH St,,2020-09-25,,,Under Review,2026-09-21,"demolish an existing parking lot and portions of an existing commercial building and construct a new seven-story mixed-use building with 5,500 square feet of co",Planning_2020-09-23_2020-09-26
DRCP2020-0008,Planning,census,Design Review Committee Preliminary,screen,82,description,capdetail,2000 UNIVERSITY Ave,,2020-09-24,,,Withdrawn,2026-09-21,Construction of new 8-story mixed-use building with 82 dwelling units; ground level commercial.,Planning_2020-09-23_2020-09-26
ZP2020-0102,Planning,census,Zoning Permit,screen,82,description,capdetail,2000 UNIVERSITY Ave,,2020-09-24,,,Withdrawn,2026-09-21,Removal of Existing Commercial Buildings (2000 University and 2001 Milvia). Construction of new 8-story mixed-use building with 82 dwelling units; ground level ,Planning_2020-09-23_2020-09-26
ZP2020-0090,Planning,census,Zoning Permit,screen,17,description,capdetail,2317 CHANNING Way,,2020-10-02,,,Approved,2026-09-21,Demolition of existing Medical building. Construction of 4-story (plus basement) residential apartment building with 17 dwelling units.,Planning_2020-10-01_2020-10-04
PLN2020-0044,Planning,census,Pre-Application,screen,254,description,capdetail,1914 FIFTH St,,2020-10-09,,,Pending,2026-09-21,SB330 preliminary development project to remove an existing parking lot and portions of an existing commercial building to construct a new 6-story mixed-use bui,Planning_2020-10-09_2020-10-12
DRCP2020-0010,Planning,census,Design Review Committee Preliminary,screen,90,description,census,2801 Adeline,053-1684-001-00,2020-10-16,,,Withdrawn,2026-07-08,"Site: 2801 Adeline and 2900-2920 Shattuck parcels. Demolish three commercial buildings and construct two new buildings: a seven-story, mixed use building with 2",Planning_2020-10-13_2020-10-16
ZP2020-0118,Planning,census,Zoning Permit,screen,90,description,census,2801 Adeline,053-1684-001-00,2020-10-16,,,Withdrawn,2026-07-08,"Site: 2801 Adeline and 2900-2920 Shattuck parcels. Demolish three commercial buildings and construct two new buildings: a seven-story, mixed use building with 2",Planning_2020-10-13_2020-10-16
PLN2020-0045,Planning,census,Pre-Application,screen,82,description,capdetail,2000 University,057-2025-013-00,2020-10-21,,,Pending,2026-09-21,"SB330 Preliminary Application for a Housing Development Project at 2000 University/2001 Milvia. Proposal for 8-story mixed use building with 82 dwelling units, ",Planning_2020-10-21_2020-10-24
DRCP2020-0011,Planning,census,Design Review Committee Preliminary,screen,82,description,census,2000 University,057-2025-013-00,2020-11-04,,,Approved,2026-07-08,"Removal of structures at 2000 University and 2001 Milvia; construction of new, 8-story mixed-use building with 82 dwelling units, ground floor commercial unit.",Planning_2020-11-02_2020-11-05
ZP2020-0134,Planning,census,Zoning Permit,screen,82,description,census,2000 University,057-2025-013-00,2020-11-10,,,Approved,2026-07-08,"Removal of existing structures at 2000 University and 2001 Milvia; Construction of new 8-story mixed-use building with 82 dwelling units, utilizing State Densit",Planning_2020-11-10_2020-11-13
PLN2020-0049,Planning,census,Pre-Application,screen,54,description,capdetail,1740 SAN PABLO Ave,,2020-11-19,,,Closed,2026-09-21,"Construct a 6-story (73'-tall), 54-unit, 100% affordable housing project, under State Density Bonus and SB-35.",Planning_2020-11-18_2020-11-21
PLN2020-0052,Planning,census,Pre-Application,screen,25,description,capdetail,2435 Haste,055-1880-007-00,2020-11-30,,,Pending,2026-09-21,"Demolish existing two-story residential building at 2435 Haste St. (16 Rent controlled units) and construct a 25-unit, five story, residential building. Include",Planning_2020-11-30_2020-12-03
ZP2021-0011,Planning,census,Zoning Permit,screen,56,description,capdetail,2631 DURANT Ave,,2021-01-21,,,Withdrawn,2026-09-21,To convert an existing 56-unit apartment building to a group living accommodation containing 141 beds.,Planning_2021-01-21_2021-01-24
PLN2021-0004,Planning,census,Pre-Application,screen,194,description,capdetail,2601 SAN PABLO Ave,,2021-02-17,,,Pending,2026-09-21,"SB-330 Preliminary Development Application for the construction of a new 7-story mixed-use residential development with 194 dwelling units, ground level lobbies",Planning_2021-02-14_2021-02-17
DRCF2021-0002,Planning,census,Design Review Committee Final,screen,78,description,census,3000 San Pablo Avenue,053-1633-001-01,2021-03-02,,,Approved,2026-07-08,"Final Design Review for a new 6-story mixed use building with 78 dwelling units, ground level lobbies, parking an commercial with State of California Density Bo",Planning_2021-03-02_2021-03-05
PLN2021-0012,Planning,census,Pre-Application,screen,66,description,capdetail,1201 SAN PABLO Ave,,2021-03-16,,,Closed,2026-09-21,"SB330 Preliminary Application for a six-story, mixed-use building with 66 dwelling units, ground-level lobby, commercial space, and parking, with density bonus.",Planning_2021-03-14_2021-03-17
DRCP2021-0003,Planning,census,Design Review Committee Preliminary,screen,85,description,capdetail,1709 SHATTUCK Ave,,2021-03-19,,,Approved,2026-09-21,exterior alterations to existing 85-unit residential building,Planning_2021-03-18_2021-03-21
ZP2021-0048,Planning,census,Zoning Permit,screen,85,description,capdetail,1709 SHATTUCK Ave,,2021-03-19,,,Withdrawn,2026-09-21,"to eliminate 75 dwelling units within an 85-unit residential building through a change of use to GLA's, and reduce the minimum usable open space and site area r",Planning_2021-03-18_2021-03-21
PLN2021-0013,Planning,census,Pre-Application,screen,44,description,capdetail,1820 SAN PABLO Ave,,2021-03-18,,,Pending,2026-09-21,"SB330 Preliminary Application for a 5-story mixed-use building with 44 units and ground floor commercial, incorporating the existing façade",Planning_2021-03-18_2021-03-21
DRCP2021-0002,Planning,census,Design Review Committee Preliminary,screen,126,description,capdetail,2136 SAN PABLO Ave,,2021-03-18,,,Approved,2026-09-21,Demolition of the existing building and construction of a new 6 story mixed-use building with 126 dwelling units (of which 3 are live/work) and 10 are provided ,Planning_2021-03-18_2021-03-21
ZP2021-0046,Planning,census,Zoning Permit,screen,126,description,capdetail,2136 SAN PABLO Ave,,2021-03-18,,,Approved,2026-09-21,Demolition of the existing building and construction of a new 6 story mixed-use building with 126 dwelling units (of which 3 are live/work) and 10 are provided ,Planning_2021-03-18_2021-03-21
ZP2021-0066,Planning,census,Zoning Permit,screen,194,description,capdetail,2601 SAN PABLO Ave,,2021-05-03,,,Withdrawn,2026-09-21,"OUTSTANDING BALANCE IS NOT CORRECT. BALANCE IS ZERO. REFUND IS PROGRESS. Withdrawn Project: Demolition of existing commercial buildings; construction of new, 7-",Planning_2021-05-01_2021-05-04
DRCP2021-0007,Planning,census,Design Review Committee Preliminary,screen,66,description,capdetail,1201 SAN PABLO Ave,,2021-05-06,,,Approved,2026-09-21,"Construct a six-story, mixed-use building with 66 dwelling units (including 5 VLI units), ground-level lobby, commercial space, and parking, with density bonus.",Planning_2021-05-05_2021-05-08
ZP2021-0070,Planning,census,Zoning Permit,screen,66,description,capdetail,1201 SAN PABLO Ave,,2021-05-06,,,Approved,2026-09-21,"Construct a six-story, mixed-use building with 66 dwelling units (including 5 VLI units), ground-level lobby, commercial space, and parking, with density bonus.",Planning_2021-05-05_2021-05-08
DRCP2021-0008,Planning,census,Design Review Committee Preliminary,screen,44,description,capdetail,2147 SAN PABLO Ave,,2021-05-11,,,Withdrawn,2026-09-21,"Demolish commercial building and construct a 42,573 sf, 5-story, mixed-use building with 44 units for student housing, 3,300 SF retail, and 55 ground level park",Planning_2021-05-09_2021-05-12
ZP2021-0073,Planning,census,Zoning Permit,screen,44,description,capdetail,2147 SAN PABLO Ave,,2021-05-11,,,Withdrawn,2026-09-21,"Demolish commercial building and construct a 42,573 sf, 5-story, mixed-use building with 44 units for student housing, 3,300 SF retail, and 55 ground level park",Planning_2021-05-09_2021-05-12
ZP2021-0095,Planning,census,Zoning Permit,screen,12,description,capdetail,2018 BLAKE St,,2021-06-02,,,Approved,2026-09-21,"Demolish fire-damaged SFR and construct a six-story, multi-family residential building with 12 units (including 1 VLI unit), under State Density Bonus.",Planning_2021-06-02_2021-06-05
PLN2021-0024,Planning,census,Pre-Application,screen,40,description,capdetail,2037 DURANT Ave,,2021-06-10,,,Pending,2026-09-21,"SB330 Preliminary Application to demolish a commercial building and construct an eight-story, multifamily, mixed-use building with 40 units, 1,251 SF of commerc",Planning_2021-06-10_2021-06-13
ZP2021-0110,Planning,census,Zoning Permit,screen,50,description,capdetail,130 BERKELEY Sq,,2021-06-23,,,Void,2026-09-21,6-story 50 unit residential building,Planning_2021-06-22_2021-06-25
DRCF2021-0005,Planning,census,Design Review Committee Final,screen,50,description,census,2902 Adeline,053-1598-006-00,2021-07-01,,,Approved,2026-07-08,"Mixed Use Project involving the demolition of an existing house at 1946 Russell Street and an existing building at 2908 Adeline Street, and construction of a ne",Planning_2021-06-30_2021-07-03
DRCF2021-0004,Planning,census,Design Review Committee Final,screen,165,description,capdetail,2176 KITTREDGE St,,2021-07-01,,,Approved,2026-09-21,"Design review of new 75 ft. tall mixed-use building with 165 dwelling units and approximately 20,000 sq. ft. of ground floor commercial space",Planning_2021-06-30_2021-07-03
PLN2021-0031,Planning,census,Pre-Application,screen,189,description,capdetail,2065 KITTREDGE St,,2021-07-22,,,Pending,2026-09-21,"SB330 Preliminary Application for project to demolish the existing commercial building on Unit B of Parcel Map 6889 (condominium) and construct an 8-story, 216,",Planning_2021-07-20_2021-07-23
ZP2021-0193,Planning,census,Zoning Permit,screen,189,description,capdetail,2065 KITTREDGE St,,2021-07-22,,,Approved,2026-09-21,"New multi-family residential apartment building with a total of 189 units. The project unit types include studios, 1 bedroom, 2 bedroom, and 3 bedroom units. Th",Planning_2021-07-20_2021-07-23
PLN2021-0032,Planning,census,Pre-Application,screen,50,description,capdetail,130 BERKELEY Sq,,2021-07-27,,,Pending,2026-09-21,50 unit multi-family mixed-use project,Planning_2021-07-24_2021-07-27
ZP2021-0158,Planning,census,Zoning Permit,screen,50,description,capdetail,130 BERKELEY Sq,,2021-07-27,,,In Review,2026-09-21,50 unit multi-family mixed-use project,Planning_2021-07-24_2021-07-27
PLN2021-0037,Planning,census,Pre-Application,screen,82,description,capdetail,1708 HARMON St,,2021-08-26,,,Pending,2026-09-21,"Demolish three non-residential buildings, and construct a 100% affordable residential, five-story building for seniors, with 82 units, 63 ground-level parking s",Planning_2021-08-25_2021-08-28
DRCP2021-0016,Planning,census,Design Review Committee Preliminary,screen,283,description,capdetail,2128 OXFORD St,,2021-09-01,,,Withdrawn,2026-09-21,"demo two buildings, construct a 17-story mixed use building including 283 dwelling units, 10,164 sq.ft. commercial",Planning_2021-08-29_2021-09-01
ZP2021-0162,Planning,census,Zoning Permit,screen,283,description,capdetail,2128 OXFORD St,,2021-09-01,,,Withdrawn,2026-09-21,"demo two existing buildings construct 17-story mixed-use 283 dwelling units, 10,164 sq.ft. commercial",Planning_2021-08-29_2021-09-01
DRCF2021-0007,Planning,census,Design Review Committee Final,screen,45,description,capdetail,2650 TELEGRAPH Ave,,2021-08-31,,,Approved,2026-09-21,"5 story mixed use Density Bonus project, 45 dwelling units with ground floor lobbies and commercial space",Planning_2021-08-29_2021-09-01
PLN2021-0045,Planning,census,Pre-Application,screen,3,description,capdetail,2225 HEARST Ave,,2021-09-15,,,Pending,2026-09-21,Review proposal to add 3 dwelling units and at least one Accessory Dwelling Unit within existing spaces.,Planning_2021-09-14_2021-09-17
PLN2021-0051,Planning,census,Pre-Application,screen,37,description,capdetail,2435 HASTE St,,2021-10-18,,,Closed,2026-09-21,SB330 Preliminary Application for Density Bonus application. Demolish a two-story apartment building and construct an 8-story all residential apartment building,Planning_2021-10-16_2021-10-19
DRCP2021-0018,Planning,census,Design Review Committee Preliminary,screen,22,description,capdetail,2439 DURANT Ave,,2021-10-25,,,Approved,2026-09-21,"Demolition of a two-story 10,554 sq. ft. commercial building, construction of 37,507 sq. ft. 7-story mixed-use building with 7,799 sq. ft. commercial space, and",Planning_2021-10-24_2021-10-27
ZP2021-0192,Planning,census,Zoning Permit,screen,22,description,capdetail,2439 DURANT Ave,,2021-10-25,,,Approved,2026-09-21,"Use Permit #ZP2021-0192 to demolish a 10,554 square foot, two-story (25 feet) commercial building, and construct a 36,529 square-foot, 7-story (75 feet) mixed-u",Planning_2021-10-24_2021-10-27
PLN2021-0055,Planning,census,Pre-Application,screen,57,description,capdetail,1752 SHATTUCK Ave,,2021-10-28,,,Pending,2026-09-21,"SB330 pre-application to remove an existing one-story commercial building and construct a 7-story mixed-use building containing 57 dwelling units, ground-level ",Planning_2021-10-28_2021-10-31
DRCP2021-0020,Planning,census,Design Review Committee Preliminary,screen,40,description,capdetail,2440 SHATTUCK Ave,,2021-11-05,,,Approved,2026-09-21,"New 8-story, mixed-use building with 40 Dwelling Units. Utilizing State Density Bonus. Demolition of existing commercial structure",Planning_2021-11-05_2021-11-08
DRCP2021-0019,Planning,census,Design Review Committee Preliminary,screen,50,description,capdetail,130 BERKELEY Sq,,2021-11-05,,,In Review,2026-09-21,The proposed project is a privately funded multi-family housing project with 50 units. It is a podium style building with Type IA concrete structure below and T,Planning_2021-11-05_2021-11-08
ZP2021-0201,Planning,census,Zoning Permit,screen,40,description,capdetail,2440 SHATTUCK Ave,,2021-11-09,,,Approved,2026-09-21,"New 8-story, mixed-use building with 40 Dwelling Units. Utilizing State Density Bonus. Demolition of existing commercial structure",Planning_2021-11-09_2021-11-12
ZP2021-0210,Planning,census,Zoning Permit,screen,37,description,capdetail,2435 HASTE St,,2021-11-30,,,Approved,2026-09-21,Demolish 2-story apartment building with 8 units. Construct 8-story residential building with 37 units (Density Bonus).,Planning_2021-11-29_2021-12-02
DRCF2021-0010,Planning,census,Design Review Committee Final,screen,40,description,census,1367 University,057-2073-005-00,2021-11-29,,,Approved,2026-07-08,"New 4-story, 40 unit residential building utilizing Density Bonus",Planning_2021-11-29_2021-12-02
PLN2021-0069,Planning,census,Pre-Application,screen,156,description,capdetail,3000 SHATTUCK Ave,,2021-12-10,,,Closed,2026-09-21,"Removal of existing 1 story commercial structure & construction of a new 9-story mixed-use building with 156-dwelling units, ground level commercial, and lobbie",Planning_2021-12-07_2021-12-10
PLN2021-0067,Planning,census,Pre-Application,screen,11,description,capdetail,2555 COLLEGE Ave,,2021-12-09,,,Pending,2026-09-21,"SB330 pre-application, demolition of two existing one-story commercial buildings and construction of a 4-story residential building with 11 dwelling units under",Planning_2021-12-07_2021-12-10
PLN2021-0066,Planning,census,Pre-Application,screen,22,description,capdetail,2439 Durant,055-1878-004-00,2021-12-08,,,Pending,2026-09-21,"SB330 PreApp for demolition of a two-story 10,554 sq. ft. commercial building, construction of 37,507 sq. ft. 7-story mixed-use building with 7,799 sq. ft. comm",Planning_2021-12-07_2021-12-10
DRCP2022-0001,Planning,census,Design Review Committee Preliminary,screen,68,description,capdetail,1752 SHATTUCK Ave,,2022-01-18,,,Approved,2026-09-21,"demolish existing non-residential building, construct new mixed-use residential development containing 68 dwelling units and 1,200 sq.ft. of commercial space, s",Planning_2022-01-16_2022-01-19
ZP2022-0011,Planning,census,Zoning Permit,screen,68,description,capdetail,1752 SHATTUCK Ave,,2022-01-18,,,Approved,2026-09-21,"demolish existing non-residential building, construct new mixed-use residential development containing 68 dwelling units and 1,200 sq.ft. commercial space, six ",Planning_2022-01-16_2022-01-19
PLN2022-0008,Planning,census,Pre-Application,screen,210,description,capdetail,1598 UNIVERSITY Ave,,2022-01-26,,,Closed,2026-09-21,SB 330 Preliminary Application to demolish a existing two one-story commercial buildings and construct an eight-story mixed-use residential development with 210,Planning_2022-01-24_2022-01-27
PLN2022-0010,Planning,census,Pre-Application,screen,326,description,capdetail,2190 SHATTUCK Ave,,2022-02-04,,,Closed,2026-09-21,SB 330 Preliminary Application to remove an existing structure and construct a new 25-story mixed-use housing development with 326 dwelling units and ground-flo,Planning_2022-02-01_2022-02-04
ZP2022-0019,Planning,census,Zoning Permit,screen,11,description,capdetail,2555 COLLEGE Ave,,2022-02-04,,,Approved,2026-09-21,"Use Permit #ZP2022-0019 to demolish two single-story (11 feet, 9 inches) commercial structures with a combined size of 834 square feet and construct a, four-sto",Planning_2022-02-01_2022-02-04
DRCP2022-0003,Planning,census,Design Review Committee Preliminary,screen,51,description,census,2449 Dwight Avenue Final Design Review,,2022-02-09,,,Approved,2026-07-08,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,2",Planning_2022-02-09_2022-02-12
ZP2022-0021,Planning,census,Zoning Permit,screen,51,description,census,2449 Dwight Avenue Final Design Review,,2022-02-09,,,Approved,2026-07-08,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,2",Planning_2022-02-09_2022-02-12
PLN2022-0014,Planning,census,Pre-Application,screen,8,description,capdetail,2427 SAN PABLO Ave,,2022-02-16,,,Closed,2026-09-21,"SB 330 Preliminary Application for demolition of two apartment buildings (8 units), and construction of a five-story mixed-use building with one retail space, 8",Planning_2022-02-13_2022-02-16
PLN2022-0016,Planning,census,Pre-Application,screen,221,description,capdetail,2920 SHATTUCK Ave,,2022-02-24,,,Closed,2026-09-21,"SB 330 Preliminary Application to demolish existing non-residential structures, construct new 10-story mixed-use residential development with 221 dwelling units",Planning_2022-02-21_2022-02-24
ZP2022-0026,Planning,census,Zoning Permit,screen,326,description,capdetail,2190 SHATTUCK Ave,,2022-02-23,,,Approved,2026-09-21,Use Permit modification of ZP2016-0117 to construct a 25-story mixed-use housing development with 326 dwelling units and ground-floor commercial under Density B,Planning_2022-02-21_2022-02-24
ZP2022-0033,Planning,census,Zoning Permit,screen,4,description,capdetail,2727 SAN PABLO Ave,,2022-03-01,,,Closed,2026-09-21,"Demo existing non-residential building and construct 3-story, 6,928 sq.ft residential building with 4 dwelling units and two off-street parking spaces",Planning_2022-03-01_2022-03-04
PLN2022-0020,Planning,census,Pre-Application,screen,2,description,capdetail,2147 SAN PABLO Ave,,2022-03-11,,,Closed,2026-09-21,"SB 3330 Preliminary Application - Demolish existing commercial building and construct 6-story, mixed-use building with 3,000 SF of retail (2 units),128 GLA unit",Planning_2022-03-09_2022-03-12
PLN2022-0026,Planning,census,Pre-Application,screen,323,description,capdetail,1931 SAN PABLO Ave,,2022-03-17,,,Closed,2026-09-21,"SB 330 Preliminary Application for the construction of a new 7-story mixed-use residential development with up to 323 dwelling units on 59,000 sqft. lot, fronti",Planning_2022-03-17_2022-03-20
DRCF2022-0001,Planning,census,Design Review Committee Final,screen,82,description,census,2000 University,057-2025-013-00,2022-04-04,,,Approved,2026-07-08,"Removal of structures at 2000 University and 2001 Milvia; construction of new, 8-story mixed-use building with 82 dwelling units, ground floor commercial unit.",Planning_2022-04-02_2022-04-05
PLN2022-0031,Planning,census,Pre-Application,screen,112,description,capdetail,2847 SHATTUCK Ave,,2022-04-07,,,Closed,2026-09-21,"SB 330 Preliminary Application to demolish 1-story commercial building ad construct a 9-story mixed use building with 112 dwelling units, utilizing Density bonu",Planning_2022-04-06_2022-04-09
PLN2022-0036,Planning,census,Pre-Application,screen,146,description,capdetail,2420 SHATTUCK Ave,,2022-04-29,,,Closed,2026-09-21,"SB 330 Preliminary Application to demolish existing 2 story commercial structure and construct 16-story mixed-use building with 146 dwelling units, ground level",Planning_2022-04-26_2022-04-29
PLN2022-0039,Planning,census,Pre-Application,screen,257,description,capdetail,1914 FIFTH St,,2022-05-03,,,Closed,2026-09-21,SB 330 Preliminary Application for the removal of the existing parking lot and portions of the existing commercial structure in order to construct a new 7-story,Planning_2022-04-30_2022-05-03
ZP2022-0062,Planning,census,Zoning Permit,screen,22,description,census,1773 Oxford Street,058-2181-027-00,2022-05-10,,,Approved,2026-07-08,"1773 Oxford Street-To demolish an existing four-story 6-unit building and replace it with a 5-story building 20,786 square feet. There will be 22 units and and ",Planning_2022-05-08_2022-05-11
PLN2022-0048,Planning,census,Pre-Application,screen,242,description,capdetail,2601 SAN PABLO Ave,,2022-05-12,,,Closed,2026-09-21,"SB 330 Preliminary Application for the demolition of existing commercial buildings; construction of new, 8-story mixed-use residential development with resident",Planning_2022-05-12_2022-05-15
PLN2022-0047,Planning,census,Pre-Application,screen,26,description,capdetail,1652 UNIVERSITY Ave,,2022-05-12,,,Closed,2026-09-21,"SB 330 Preliminary Application: Demo commercial building and construction 5-story mixed use building with 26 units, and commercial space, using a Density Bonus.",Planning_2022-05-12_2022-05-15
PLN2022-0056,Planning,census,Pre-Application,screen,551,description,capdetail,2128 OXFORD St,,2022-06-06,,,Closed,2026-09-21,SB 330 Preliminary Application to DEMO EXISTING COMMERCIAL BUILDING; CONSTRUCT 25-STORY MIXED USE BUILDING CONTAINING 551 RESIDENTIAL UNITS PER SB 330 AND STATE,Planning_2022-06-05_2022-06-08
PLN2022-0060,Planning,census,Pre-Application,screen,13,description,capdetail,2800 TELEGRAPH Ave,,2022-06-09,,,Closed,2026-09-21,SB 330 Preliminary Application for the removal of existing one - story commercial structure and construction of a new five-story residential building with 13 dw,Planning_2022-06-09_2022-06-12
PLN2022-0061,Planning,census,Pre-Application,screen,35,description,capdetail,2712 TELEGRAPH Ave,,2022-06-13,,,Closed,2026-09-21,"SB 330 Preliminary Application submittal of demolition of 2 commercial buildings and construction of a 5-story, mixed-use building with 35 dwelling units.",Planning_2022-06-13_2022-06-16
ZP2022-0089,Planning,census,Zoning Permit,screen,2,description,census,1341 ADDISON STREET,056-1995-010-01,2022-06-27,,,Approved,2026-07-08,1. Alteration to SFR to develop 2 townhouses of approximately 1700 sq f each. The proposed total floor area to be build is 3580 sq ft and the lot is 8534 sq ft.,Planning_2022-06-25_2022-06-28
DRCF2022-0003,Planning,census,Design Review Committee Final,screen,40,description,capdetail,2440 SHATTUCK Ave,,2022-07-12,,,Approved,2026-09-21,"New 8-story, mixed-use building with 40 Dwelling Units. Utilizing State Density Bonus. Demolition of existing commercial structure",Planning_2022-07-11_2022-07-14
PLN2022-0065,Planning,census,Pre-Application,screen,83,description,census,2538 Durant Ave,055-1876-021-01,2022-07-11,,,Closed,2026-07-08,"SB 330 Preliminary Application for a Density Bonus project that would demolish: a four-story (52 feet), 14,780 square foot residential building that includes 12",Planning_2022-07-11_2022-07-14
PLN2022-0066,Planning,census,Pre-Application,screen,48,description,census,2959 San Pablo,053-1629-019-01,2022-07-15,,,Withdrawn,2026-07-08,SB-330 pre-application for the demolition of a commercial building and construction of a new 6-story mixed-use development consisting of 48 residential units (2,Planning_2022-07-15_2022-07-18
