record,module,source,record_type,role,units,units_source,status_source,address,apn,filed,issued,finaled,status,status_asof,description,production
B2020-03292,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2132 MCGEE Ave,056-2006-010-00,2020-09-29,2022-02-09,2025-02-20,Finaled,2026-07-08,Replace (E) garage carport with (2) ADU's consisting of 850 SF.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2020-04316,Building,cpra,New,new_unit,78,cpra_UnitsAdded,census,3000 SAN PABLO Ave,053-1633-001-01,2020-12-09,2021-09-30,2023-06-05,Finaled,2026-07-08,"Construction of new 6 story mixed-use building with 78 dwelling units, ground level lobby, parking and commercial, with state of California density bonus. Demol",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-00008,Building,cpra,New,new_unit,169,cpra_UnitsAdded,census,2150 KITTREDGE St,057-2029-016-00,2021-01-04,2021-10-27,2024-03-20,Finaled,2026-07-08,169 units of market rate housing and ground floor retail/commercial space.  (5) floors of Type III-A construction over (2) floors + basement Type I construction,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-00200,Building,cpra,Alteration,new_unit,2,cpra_UnitsAdded,census,1817 SIXTH St,057-2095-013-02,2021-01-15,2021-08-25,,Closed Expired,2026-07-08,"Constuct two 599 sqft detached ADUs (total size ~1,198 sqft) in one building structure in the backyard.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-00697,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,2519 COLLEGE Ave,055-1847-028-00,2021-02-19,2021-06-14,2023-05-11,Finaled,2026-07-08,New Duplex: Building 2 new ADUs on an existing multi-family property.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-02307,Building,cpra,Addition/Alteration,new_unit,2,cpra_UnitsAdded,census,2737 FOREST Ave,054-1708-005-00,2021-06-04,2022-11-10,2024-03-11,Finaled,2026-07-08,"Convert (E) Garage 1 & 2 into ADU #1 and #2. ADU #1 add 598SF.  Convert (E) Garage 3 into ADU
#2 add 172SF. (E) Rear deck alteration.",BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-02315,Building,cpra,New,new_unit,2,cpra_UnitsAdded,census,1683 OXFORD St,058-2183-015-00,2021-06-04,2022-08-08,2024-07-24,Finaled,2026-07-08,Construction of two detached ADU units in the rear of existing 4-plex.,BP_Annual Permit Report-2023-2025_rerun-2026-07-07.xlsx
B2021-02404,Building,cpra,New,new_unit,113,cpra_UnitsAdded,census,2000 DWIGHT Way,055-1822-018-00,2021-06-10,2023-08-15,2025-06-17,Finaled,2026-07-08,Construction of new 6 story senior living facility type I-A.  The project includes basement parking with senior amenities and 113 Units.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2021-02423,Building,cpra,New,new_unit,40,cpra_UnitsAdded,census,SAN PABLO Ave,056-1928-019-00,2021-06-11,2022-08-12,2025-03-20,Finaled,2026-07-08,New 4-story group living accommodations with 40 sleeping units and one manager's dwelling unit. Foundation under B2021-04949.,BP_Annual Permit Report-2025-2026-07-07.xlsx
B2021-02905,Building,cpra,New,new_unit,87,cpra_UnitsAdded,census,2001 ASHBY Ave,053-1591-018-03,2021-07-02,2022-02-04,2025-02-24,Finaled,2026-07-08,"New six-story, 103,425 sq ft  multi-family housing consisting of 87 affordable rental units, community amenity spaces, commercial tenant space, structured parki",BP_Annual Permit Report-2025-2026-07-07.xlsx
