owner_class,owner_name,apn,apn_normalized,situs,usecode,zone_class,lot_sqft,lot_acres,bldg_sqft_taxable,imps,has_building,lat,lon
peralta_ccd,PERALTA COMMUNITY COLLEGE DISTRICT,57-2026-14,057-2026-014-00,2048 CENTER ST BERKELEY 94704,0300,C-DMU Core,19250.0,0.442,165690.0,0.0,True,37.86970507,-122.26957549
peralta_ccd,PERALTA COMMUNITY COLLEGE DISTRICT,57-2022-5-1,057-2022-005-01,2118 MILVIA ST BERKELEY 94704,0300,C-DMU Buffer,11338.0,0.26,25906.0,0.0,True,37.87021882,-122.27083168
peralta_ccd,PERALTA COMMUNITY COLLEGE DISTRICT,57-2026-10,057-2026-010-00,2016 CENTER ST BERKELEY 94704,0300,C-DMU Core,9750.0,0.224,0.0,0.0,False,37.86971487,-122.26991005
state_of_california,STATE OF CALIFORNIA,60-2507-4,060-2507-004-00,BAY ST BERKELEY 94710,0300,MULI,38775.0,0.89,0.0,0.0,False,37.84871689,-122.29588676
state_of_california,STATE OF CALIFORNIA,64-4265-8-1,064-4265-008-01,260 TUNNEL RD BERKELEY 94705,0300,R-1H,12700.0,0.292,0.0,0.0,False,37.85243817,-122.23485935
state_of_california,STATE OF CALIFORNIA,53-1641-10,053-1641-010-00,7TH ST BERKELEY 94703,0300,C-W,2100.0,0.048,0.0,0.0,False,37.85095910,-122.29082045
state_of_california,STATE OF CALIFORNIA,64-4231-17-1,064-4231-017-01,TUNNEL RD BERKELEY 94705,0300,R-1H,506.0,0.012,0.0,0.0,False,37.85273683,-122.23462197
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,57-2042-4-10,057-2042-004-10,2594 HEARST AVE BERKELEY 94720,0300,R-5H,17868312.0,410.2,0.0,0.0,False,37.87389318,-122.25275415
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,48H-7690-4,48H-7690-004-00,1 TANGLEWOOD RD BERKELEY 94705,0300,U,1692476.0,38.854,0.0,0.0,False,37.86357895,-122.24674501
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1853-32-6,055-1853-032-06,DWIGHT WAY BERKELEY 94704,0300,R-2AH,395344.0,9.076,0.0,0.0,False,37.86710902,-122.24718750
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,58-2180-1-2,058-2180-001-02,OXFORD ST BERKELEY 94709,0300,R-4,246084.0,5.649,0.0,0.0,False,37.87600749,-122.26709525
uc_regents,REGENTS OF THE UNIVERSITY OF CALIFORNIA,55-1873-1-1,055-1873-001-01,CHANNING WAY BERKELEY 94704,0300,R-SMU,129242.0,2.967,85906.0,0.0,True,37.86686001,-122.25554657
