project_id,address_display,address_normalized,latitude,longitude,data_source,net_units,status,has_official_permit,has_media_coverage,news_urls,primary_news_source,gellerman_original_name,gellerman_match_score
35,2190 SHATTUCK Ave,2190 SHATTUCK AVE,37.86948860426455,-122.26864608441446,both,36.0,Under Review,True,True,https://sfyimby.com/2023/02/new-renderings-meeting-thursday-for-2190-shattuck-avenue-in-downtown-berkeley.html;https://sfyimby.com/2025/11/modified-plans-could-be-potential-tallest-tower-in-berkeley.html;https://sfyimby.com/2021/10/high-rise-at-2190-shattuck-avenue-in-downtown-berkeley-to-undergo-redesign.html;https://www.berkeleyside.org/2023/03/31/first-of-downtown-berkeley-high-rise-apartments-approved,SFYimby,,100.0
36,2733 SAN PABLO Ave,2733 SAN PABLO AVE,37.85634825542909,-122.28761614513743,both,32.0,In Review,True,True,https://sfyimby.com/2023/12/preliminary-permits-filed-for-2601-san-pablo-avenue-berkeley.html;https://sfyimby.com/2023/12/preliminary-application-for-2733-san-pablo-avenue-in-southwest-berkeley.html,SFYimby,,100.0
37,2614 TELEGRAPH Ave,2614 TELEGRAPH AVE,37.86268272962413,-122.25913983449848,both,31.0,Corrections Pending Applicant,True,True,https://sfyimby.com/2023/02/permits-filed-for-a-mixed-use-at-2614-telegraph-avenue-in-berkeley.html;https://sfyimby.com/2025/11/meeting-tomorrow-for-2614-telegraph-avenue-in-south-berkeley.html;https://sfyimby.com/2023/12/preliminary-application-filed-for-2614-telegraph-avenue-in-berkeley.html;https://sfyimby.com/2024/03/permits-filed-for-2614-telegraph-avenue-south-berkeley.html,SFYimby,,100.0
38,2449 DWIGHT Way,2449 DWIGHT WAY,37.86530920217209,-122.25876941598769,both,27.0,In Review,True,True,https://sfyimby.com/2026/02/zoning-adjustments-meeting-scheduled-tomorrow-for-2449-dwight-way-in-berkeley.html;https://sfyimby.com/2022/02/permits-filed-for-renovation-at-2449-dwight-way-in-telegraph-hill-berkeley.html,SFYimby,,97.0
39,1790 UNIVERSITY Ave,1790 UNIVERSITY AVE,37.870939186310096,-122.27560444807996,both,17.0,Under Review,True,True,https://sfyimby.com/2022/08/pre-application-filed-for-1776-university-avenue-central-berkeley.html;https://sfyimby.com/2023/05/renderings-revealed-for-1790-university-avenue-central-berkeley.html,SFYimby,,89.0
40,1710 UNIVERSITY Ave,1710 UNIVERSITY AVE,37.87074957709555,-122.27712191190231,both,16.0,Incomplete Pending Applicant,True,True,https://sfyimby.com/2022/05/2067-university-avenue-tops-out-again-in-downtown-berkeley.html,SFYimby,,95.0
41,2147 SAN PABLO Ave,2147 SAN PABLO AVE,37.867047132190656,-122.29108188862271,both,15.0,Pending Final Action,True,True,https://sfyimby.com/2023/03/new-rendering-for-2147-san-pablo-avenue-southwest-berkeley.html;https://sfyimby.com/2023/07/permit-progress-for-housing-at-2147-san-pablo-avenue-southwest-berkeley.html;https://sfyimby.com/2025/02/meeting-scheduled-today-for-2147-san-pablo-avenue-berkeley.html;https://sfyimby.com/2026/01/plans-shift-for-2147-san-pablo-avenue-west-berkeley.html;https://sfyimby.com/2022/03/expanded-pre-application-filed-for-2147-san-pablo-avenue-southwest-berkeley.html,SFYimby,,94.0
42,1740 UNIVERSITY Ave,1740 UNIVERSITY AVE,37.87075586989641,-122.2766144338354,both,12.0,Corrections Pending Applicant,True,True,https://sfyimby.com/2026/01/zoning-meeting-scheduled-for-conversion-project-1740-university-avenue-in-berkeley.html,SFYimby,,100.0
43,1015 UNIVERSITY Ave,1015 UNIVERSITY AVE,37.86918327203636,-122.29313416355114,official_permit,9.0,Incomplete Pending Applicant,True,False,,,,
44,2428 MILVIA St,2428 MILVIA ST,37.864352295468784,-122.27008426562476,official_permit,8.0,Under Review,True,False,,,,
