"SitusStree","the_geom","DATE_UPDAT","APN","SitusStr_1","SitusUnit","SitusCity","SitusZip","UseCode","BuildingAr","LotSize","SitusAddre","Longitude","Latitude","PARCELID","EXT_MIN_X","EXT_MIN_Y","EXT_MAX_X","EXT_MAX_Y"
"1941","MULTIPOLYGON (((-122.27243144900287 37.88174947663645, -122.27246350416647 37.88202292787791, -122.27230971634228 37.88204330547274, -122.27227766172273 37.881769855998556, -122.27243144900287 37.88174947663645)))","2019-07-11 14:29:15","60-2451-19","ROSE ST",,"BERKELEY","94709","1100","2,039","4,500","1941 ROSE ST BERKELEY 94709","-122.27237058","37.88189639","060 245101900","563,978.3827","4,192,944.4594","563,994.9446","4,192,977.1438"
"1939","MULTIPOLYGON (((-122.27243144900287 37.88174947663645, -122.27254764450676 37.88173407964806, -122.27257649511233 37.881980183943355, -122.27258611125662 37.88206221930119, -122.27246991523452 37.88207761722271, -122.27246350416647 37.88202292787791, -122.27243144900287 37.88174947663645)))","2019-07-11 14:29:17","60-2451-20","ROSE ST",,"BERKELEY","94709","1100","1,550","4,080","1939 ROSE ST BERKELEY 94709","-122.27250878","37.88190585","060 245102000","563,967.5667","4,192,942.6714","563,981.4382","4,192,980.8409"
"1933","MULTIPOLYGON (((-122.27254764450676 37.88173407964806, -122.27266383883588 37.8817186816362, -122.27269268980571 37.881964787710025, -122.27257649511233 37.881980183943355, -122.27254764450676 37.88173407964806)))","2019-07-11 14:29:20","60-2451-21","ROSE ST",,"BERKELEY","94709","1100","1,614","3,060","1933 ROSE ST BERKELEY 94709","-122.27262017","37.88184943","060 245102100","563,958.2785","4,192,940.8833","563,971.2333","4,192,969.9574"
"1931","MULTIPOLYGON (((-122.27266383883588 37.8817186816362, -122.27278003310958 37.881703284410335, -122.27280888447024 37.88194938955898, -122.27269268980571 37.881964787710025, -122.27266383883588 37.8817186816362)))","2019-07-11 14:29:24","60-2451-22","ROSE ST",,"BERKELEY","94709","2500","1,690","3,060","1931 ROSE ST BERKELEY 94709","-122.27273636","37.88183404","060 245102200","563,948.0737","4,192,939.0953","563,961.0285","4,192,968.1695"
"1929","MULTIPOLYGON (((-122.27278003310958 37.881703284410335, -122.27289281147317 37.88168833914856, -122.27292166320461 37.88193444427397, -122.27280888447024 37.88194938955898, -122.27278003310958 37.881703284410335)))","2019-07-11 14:29:27","60-2451-23","ROSE ST",,"BERKELEY","94709","1100","2,496","2,970","1929 ROSE ST BERKELEY 94709","-122.27285085","37.88181887","060 245102300","563,938.1689","4,192,937.3598","563,950.8237","4,192,966.3814"
"1335","MULTIPOLYGON (((-122.27280888447024 37.88194938955898, -122.27292166320461 37.88193444427397, -122.27293127973601 37.88201647870686, -122.27258611125662 37.88206221930119, -122.27257649511233 37.881980183943355, -122.27269268980571 37.881964787710025, -122.27280888447024 37.88194938955898)))","2019-07-11 14:29:30","60-2451-24","BONITA AVE",,"BERKELEY","94709","2600","2,398","3,030","1335 BONITA AVE BERKELEY 94709","-122.27275389","37.88199833","060 245102400","563,937.2523","4,192,964.6459","563,968.4833","4,192,979.0528"
"1326","MULTIPOLYGON (((-122.27204701680901 37.882466893720405, -122.27250838178398 37.882405757781704, -122.27251294868434 37.88244470280583, -122.2725196021132 37.882501464806495, -122.2725212040437 37.88251513736116, -122.2723729649169 37.882534780521574, -122.27205983838569 37.88257627424332, -122.27205671423688 37.882549628115, -122.27204701680901 37.882466893720405)))","2019-07-11 14:33:07","60-2451-41","MILVIA ST",,"BERKELEY","94709","7390","3,072","5,400","1326 MILVIA ST BERKELEY 94709","-122.27228411","37.88249102","060 245104100","563,972.8828","4,193,017.2224","564,014.6241","4,193,036.4492"
"1228","MULTIPOLYGON (((-122.27225083741844 37.88426453637027, -122.27271044704342 37.88420956809377, -122.27272807358216 37.88436655818966, -122.27227380904658 37.884428327356915, -122.27225083741844 37.88426453637027)))",,"60-2450-14","MILVIA ST",,"BERKELEY","94709","1100","1,376","8,100","1228 MILVIA ST BERKELEY 94709","-122.27248903","37.88431734","060 245001400","563,953.0897","4,193,217.2204","563,995.1446","4,193,241.7916"
"1210","MULTIPOLYGON (((-122.27235651338832 37.88513367685011, -122.27281260908485 37.885076014160155, -122.27282317538219 37.88515620047417, -122.27282540782062 37.885176770878154, -122.2723658368283 37.88523379655214, -122.27235651338832 37.88513367685011)))",,"60-2450-7","MILVIA ST",,"BERKELEY","94709","1100","1,861","5,130","1210 MILVIA ST BERKELEY 94709","-122.27259059","37.88515507","060 245000700","563,943.8298","4,193,313.2844","563,985.0997","4,193,331.097"
"1928","MULTIPOLYGON (((-122.27312658768325 37.885234737137594, -122.27334084379461 37.885208852678886, -122.27336442850793 37.8852538230008, -122.27342194532952 37.88533948508297, -122.27325566047942 37.88541545669588, -122.27312658768325 37.885234737137594)))",,"60-2450-1","YOLO AVE",,"BERKELEY","94707","1100","1,877","3,886","1928 YOLO AVE BERKELEY 94707","-122.2732795","37.88530054","060 245000100","563,891.2322","4,193,327.6612","563,917.2952","4,193,350.6427"
"1933","MULTIPOLYGON (((-122.27273419159768 37.883535553616326, -122.2728878752621 37.88351265843948, -122.27292665155825 37.883830021280325, -122.27276947430691 37.8838515979658, -122.27273419159768 37.883535553616326)))",,"60-2450-20","BERRYMAN ST",,"BERKELEY","94709","2100","2,377","5,170","1933 BERRYMAN ST BERKELEY 94709","-122.27282969","37.88368301","060 245002000","563,936.0913","4,193,139.7752","563,953.2704","4,193,177.4624"
