OBJECTID,APN,ST_NUM,FEANME,FEATYP,DIRPRE,DIRSUF,MUN,UNIT,UNIT_TYP,SRC_DATE,REV_DATE,SPADID,ADDRESS,CITY,ZIPCODE,ADDRESSLOOKUP,X_CORD,Y_CORD,longitude,latitude
480679,057 206200700,1735.0,BERKELEY,WY,,,BE,5,,1138924800000,1679519245000,101570424,1735 Berkeley Way 5,Berkeley,94703,1735 Berkeley Way 5 Berkeley CA 94703,-13611711.3494,4561403.4898,-122.27608348189176,37.87231227280123
480688,055 183102000,2507.0,ELLSWORTH,ST,,,BE,,,1138924800000,1679519245000,101284802,2507 Ellsworth St,Berkeley,94704,2507 Ellsworth St Berkeley CA 94704,-13610210.6887,4560259.3024,-122.26260281746087,37.86419824587735
480690,054 177300101,800.0,DWIGHT,WY,,,BE,B56B,UNIT,1582756247000,1679519245000,101570429,800 Dwight Way Unit B56B,Berkeley,94710,800 Dwight Way Unit B56B Berkeley CA 94710,-13613871.1586,4559581.773,-122.29548537804315,37.85939311193779
480713,055 191001800,1647.0,DWIGHT,WY,,,BE,,,1138924800000,1679519245000,101570441,1647 Dwight Way,Berkeley,94703,1647 Dwight Way Berkeley CA 94703,-13611799.3111,4560083.599,-122.276873655287,37.86295216270298
480719,053 162302000,1315.0,ASHBY,AV,,,BE,,,1138924800000,1682037523000,101570445,1315 Ashby Av,Berkeley,94702,1315 Ashby Av Berkeley CA 94702,-13612495.5637,4558691.0735,-122.28312819880892,37.85307566899318
480728,063 295101900,431.0,SPRUCE,ST,,,BE,,,1138924800000,1679519245000,101284822,431 Spruce St,Berkeley,94708,431 Spruce St Berkeley CA 94708,-13611056.3576,4565831.491,-122.27019959044262,37.903705107524296
480755,059 228801700,1618.0,STANNAGE,AV,,,BE,,,1138924800000,1679519245000,101570457,1618 Stannage Ave,Berkeley,94702,1618 Stannage Ave Berkeley CA 94702,-13613522.5656,4561742.3777,-122.2923539138448,37.87471533133757
480765,058 218302002,1643.0,OXFORD,ST,,,BE,A,,1138924800000,1679519245000,101284846,1643 Oxford St A,Berkeley,94709,1643 Oxford St A Berkeley CA 94709,-13610637.3138,4562190.688,-122.26643525594008,37.8778941851067
480771,057 209901206,725.0,HEARST,AV,,,BE,,,1138924800000,1679519245000,101570466,725 Hearst Ave,Berkeley,94710,725 Hearst Ave Berkeley CA 94710,-13614392.1709,4560943.1351,-122.30016571116622,37.869047766032544
480778,052 154501101,1627.0,WOOLSEY,ST,,,BE,11,,1138924800000,1681682262000,101570468,1627 Woolsey St 11,Berkeley,94703,1627 Woolsey St 11 Berkeley CA 94703,-13611595.1389,4558419.3236,-122.27503954520851,37.851148127219155
480785,058 218202400,2255.0,HEARST,AV,,,BE,34,,1138924800000,1679519245000,101570472,2255 Hearst Ave 34,Berkeley,94709,2255 Hearst Ave 34 Berkeley CA 94709,-13610484.4721,4561717.811,-122.26506225558848,37.874541131181395
