needs_review,,,,,,,,,,,,,
,Permit Number,Address,Description,old_units,new_units,net_unit_change,unit_extraction_status,Record Status,manual_old_units,manual_new_units,manual_net_change,notes,needs_review
Not “Column M”,,,,,,,,,,,,,
,ZP2024-0182,2029 UNIVERSITY Ave,"The project is the construction of a new 23-story (256'-0""), 160-unit student housing development with 189,650  sf of new residential use and parking garage for up to 29 spaces. The project includes removal of existing non-landmarked 2-story commercial structure and surface parking. 15% (12 units) of the base project's units will be affordable to very-low-income households, and 15% (12 units) will be affordable to moderate income households, making the project eligible for a 100% density bonus, waivers, and up to 4 concessions as a State Density Bonus Law development per California Government Code § 65915.",0,160,160,extracted,Pending Final Action,,,,,FALSE
,ZP2025-0010,600 BANCROFT Way,"Demolition of a 47,783 sq ft existing R&D space and existing surface parking to re-build approximately 250,000 sq ft of new R&D space with a parking garage for 524 vehicles.",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0014,1522 JOSEPHINE St,"Use Permit with Public Hearing to demolish a Single-Family Residence and construct a new 2,100 square feet two-story 28 feet tall Single-Family Residence",1,1,0,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0016,1345 PARKER St,Zoning Permit to construct a 290 square feet second story addition approximately 22 feet in average height and alter openings within a nonconforming setback.,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0021,1420 FIFTH St,Administrative Use Permit to allocate the existing Accessory Dwelling Unit to a Single-Family Home and construct a 592 square foot residential addition approximately 22 feet tall,,1,1,extracted,Pending Final Action,,,,,FALSE
,ZP2025-0028,2326 WEBSTER St,Remove a section of the existing retaining wall on the North-East side of the property and construct a concrete parking driveway within the front setback.,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0037,1338 SEVENTH St,"Use Permit with Public Hearing to change 8,000 square feet of protected warehousing use to a martial arts studio, in the MU-LI district.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0038,1855 FRANKLIN St,"Administrative Use Permit to lift the existing single family residence to 23 feet in average height within nonconforming front and side setbacks, create new window openings in a building wall within a nonconforming side setback, add a 499 square foot addition to the rear first floor, expand the building footprint, and demolish the existing garage.",,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2025-0039,1136 FRANCISCO St,Administrative Use Permit to construct a 462 square feet second story addition with an average height of approximately 22 feet that extends a building wall within a nonconforming side setback and construct a first-floor deck,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0040,2061 ALLSTON Way,Use Permit to operate a commercial recreation outdoor pickle ball court by removing 35 parking spaces and replacing with three pickle ball courts to the top level of an existing parking garage,,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2025-0041,2204 PRINCE St,Administrative Use Permit to establish one off street parking space approximately 18 feet in length and 8 feet in width within a required 20 feet front yard setback at a Single-Family residence,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0044,2741 TENTH St 1,"Establish a 3,400 sqft full catering and production space with private parking and incidental use for limited private events.",,,,not_housing,Pending,,,,,FALSE
,ZP2025-0046,1752 SHATTUCK Ave,Use Permit Modification #ZP2025-0046 to modify a State Density Bonus project originally approved under Use Permit #ZP2022-0011 to request a concession to allow an exemption from the Public Art in-lieu fee.,,,,not_housing,Resubmittal Pending Staff,,,,,FALSE
,ZP2025-0049,1600 SACRAMENTO St,"Create a wooden fence, 8 ft in height.",,,,not_housing,Pending,,,,,FALSE
,ZP2025-0052,2401 LE CONTE Ave,Use Permit with Public Hearing to place an approximately 296 square feet HVAC enclosure and a 119 square feet transformer on a lot over maximum allowed lot coverage within a required rear and side setback.,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0053,930 CRAGMONT Ave,"The applicant is seeking approval to replace an existing upper balcony with a larger balcony (214 square feet, 16 feet, 2 inches height).",,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2025-0054,2709 SAN PABLO Ave,"Modification of UPPH ZP#2021-0112 to expand the existing 3176 sq foot veterinary clinic by 1984 sq ft for a total of 5160 sq ft, to add additional examination rooms and expand the reception area, which will expand into Suite B.",,,,not_housing,Pending Final Action,,,,,FALSE
,ZP2025-0055,1287 GILMAN St,"Use Permit Modification to ZP2023-0122 to establish a food service use with incidental beer and wine with a gross floor area of 4,630 square feet",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0056,841 FOLGER Ave,"Demolition of the existing two-story, 6,408-square-foot commercial wood structure, with no current or proposed plans for future building or additional use. The existing foundation will remain for private employee parking use only.",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0061,2221 CARLETON St,Administrative Use Permit to establish one off street parking space within the required 20 front setback with a shared driveway with the neighboring residence at 2227 Carleton St,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0062,2227 CARLETON St,Administrative Use Permit to establish one off street parking space within the required 20 front setback with a shared driveway with the neighboring residence at 2221 Carleton St,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0063,1341 SEVENTH St,Use Permit with Public Hearing to change 1100 square feet protected Wholesale/Warehouse use to a Health and Fitness Facility and Group Instruction facility,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0064,600 GILMAN St,"Proposed car rental, car wash, EV charging, and take out window.",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0066,1921 CAPISTRANO Ave,"Administrative Use Permit to install a hot tub, reconstruct an existing deck, and add a fence over 6 feet tall in a setback, on a lot within an open creek setback and Coast Live Oak trees.",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0067,1916 NAPA Ave,Reconfigure the front windows that lie within a nonconforming front setback as part of a kitchen remodel with no change in building footprint or square footage.,,,,not_housing,Under Review,,,,,FALSE
,ZP2025-0068,3001 BENVENUE Ave,"Administrative Use Permit #ZP2025-0068 to raise an existing approximate 1,860 square-foot, 18 feet, 10 inches in average height, two-story residential dwelling to approximately 21 feet, 4 inches in height resulting in a three-story, single-family dwelling with a basement converted 700 square foot accessory dwelling unit.",1,2,1,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0069,3101 SACRAMENTO St,"Create a first-floor building shell for a future tenant. Remove (e) partial second floor framing (1st floor ceiling frame), fire-damaged framing, and replace in-kind. Remove all interior partitions, doors, electrical components, and plumbing. Install (n) accessible all gender toilets. Accessible upgrade exterior stairs to the 2nd floor. Infill exterior CMU opening. Replace two entries in the storefront system. Extend the scope of work to the second floor - create three living space units. Propose 3 living units on second floor with MEP. Change of use - occupancy: First floor - original M-mercantile (no documents) to B-Business. Second floor - original business (no documents) to R-2 (3 units). Install a 2nd exit, 1-hr rated stairwell (104 sq. ft.) on the south side of the building, per Table 1006.3.4(2).",0,3,3,extracted,Under Review,,,,,FALSE
,ZP2025-0072,65 ARDEN Rd,"Use Permit with Public Hearing to construct a 275 square feet 8 feet in average height addition that extends a nonconforming wall within a required side and front setback, 84 square feet bathroom, 209 square feet deck over 14 feet tall, and install a retaining wall within a required setback in the ES-R Zoning District.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0073,1528 SACRAMENTO St,Hot Tub,,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0074,2906 SACRAMENTO St,Zoning Permit to establish a Karoke club/lounge,,,,not_housing,In Review,,,,,FALSE
,ZP2025-0078,2816 GARBER St,"AUP proposed legalization of an unpermitted conversion of an accessory structure (garage) approximately 177 square feet, to an accessory building (office), 10 feet in maximum height.",,,,not_housing,Resubmittal Pending Review,,,,,FALSE
,ZP2025-0079,1740 UNIVERSITY Ave,"Use Permit with Public Hearing to convert an existing 12,503 SF, 31 feet in maximum height two story commercial building into a mixed-use building with 12 residential apartments and 3 ground floor retail tenant spaces with a proposed total gross area of 9,666 square feet",0,12,12,extracted,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0080,2108 EUNICE St,"Use Permit to construct a second-story addition, approximately 150 square feet, exceeding 14 feet in average height (19 feet) and 20 feet in maximum height, (21 feet), and make an alteration within a nonconforming front setback on a lot nonconforming for density.",,,,not_housing,Corrections Pending Applicant,,,,,FALSE
,ZP2025-0084,2620 TELEGRAPH Ave,Use Permit with Public Hearing to add retail alcohol and nicotine sales to an existing retail store,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0087,2583 CEDAR St,Convert existing attic space into living space with new dormers to create habitable interior height.,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0089,967 TULARE Ave,"New 257 SF, 14' 3"" H (average height is 11' 11"") detached accessory building to be used as a study. Slab on grade, timber framed, with a cathedral ceiling. Electricity provided via the main house service panel, and electric mini split heat pump HVAC. No Plumbing.",,,,not_housing,In Review,,,,,FALSE
,ZP2025-0092,3030 ASHBY Ave 111,Administrative Use Permit to establish a Medical Practitioner use in the C-N Zoning district,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0093,659 GRIZZLY PEAK Blvd,Remodel existing two story one bedroom house of 986 sq. ft. with a basement garage into a two story three-bedroom house of 1610 sq. ft. with a basement garage. Add a 440 sq. ft. one bedroom ADU to the rear of the house.,,1,1,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0096,830 BANCROFT Way,Expand hours of vocational training center to evenings and weekends; existing non-conforming use in the R-1A Zoning District. No new construction or expansion of floor area is proposed.,,,,not_housing,Under Review,,,,,FALSE
,ZP2025-0097,31 SAN MATEO Rd,"The single-family residence includes a 2,634 square foot addition to the existing 4,183 square foot residence. New spaces include a second-floor primary suite, expanded first floor and lower level, elevator, and attached one-car garage. The total square footage will be 6,406 square feet. All additions meet the required setbacks and do not exceed the maximum building height (35’) or maximum average height (28’). Demolition includes removal of all existing finishes and fixtures, 43% of existing exterior walls, and 100% of existing roof structure.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0099,12 E PARNASSUS Ct,Administrative Use Permit for the construction of an 11' unenclosed accessory structure (pergola) and deck at the rear of the property.,,,,not_housing,Under Review,,,,,FALSE
,ZP2025-0102,1492 EUCLID Ave,Installation of new above ground hot tub on concrete pad. Trench and backfill for utilities.,,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0103,1101 UNIVERSITY Ave,"Use Permit to change the use of 5,516 square feet of an existing vacant building, last approved for a cannabis retailer, to a Vehicle Parts Store, on a 13,100 square foot lot within a Designated Node of the C-W zoning district.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0104,635 VINCENTE Ave,"New 269 sf living space addition, convert existing basement to 244sf living space by depressing slab, new 162sf deck and balcony, interior renovation. AUP for addition in hillside overlay over 14' in height. Correction item for BP2025-03486",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0105,2712 TELEGRAPH Ave,"Modification of Use Permit ZP2022-0179 for the demolition of two existing two-story commercial structures & construction, with the state of California density bonus, of a new 6-story residential building, with 50 residential units, 6 ADUs, 1 live-work unit, a ground level lobby, and 1 parking space.",0,57,57,extracted,Under Review,,,,,FALSE
,ZP2025-0107,2001 CENTER St,"To convert the existing 7-story,  ~35,904 sq.ft. office building in Berkeley, converting Levels 2–7 into ~58 residential units and keeping ground-floor retail. The mechanical penthouse (86'-4"") will become a roof garden, with height unchanged at 100'-0"". Includes interior demolition only, 10% very-low-income units (~6), and no on-site parking per AB-2097.",0,58,58,extracted,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0108,769 NEILSON St,"Replace existing garage.  Demolish existing garage (B2025-00053).  New structure: garage/storage/studio; 460 sq ft, height:14' above grade; accessory structure.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,ZP2025-0110,639 CRAGMONT Ave,"New accessory building. No demolition/removal of any existing structure, to be used for storage and as a workspace, 112 total square feet, maximum height 9 feet 9 and 1/4 inches.",,,,not_housing,Incomplete Pending Applicant,,,,,FALSE
,PLN2022-0111,1099 ASHBY Ave,"Misc. Pre-Application meeting for a proposed new building in the existing parking lot of the Berkeley Business Center/Ashby Plaza.

The proposed building is a 3-story, 45-foot tall building with a proposed 51,970 sq footage. 14,700 sq ft of Light Manufacturing Use, 1,470 sq ft of retail, and 35,800 sq ft of Research and Development.",,,,not_housing,Pending,,,,,FALSE
,PLN2023-0032,137 TAMALPAIS Rd,SB 9 Preliminary Eligibility Determination - Urban lot split and housing development,,,,not_housing,Pending,,,,,FALSE
,PLN2023-0065,1740 SAN PABLO Ave,"SB 35 Preliminary Development Application (Modification): Demolition of existing 1 story commercial structure.  Construction of a 6-story, 54 units, Mixed-Use Residential building with 100% affordable housing, processing under SB-35 and State Density Bonus for additional height of 33"" and no density limit.",0,54,54,extracted,Under Review,,,,,FALSE
,PLN2023-0095,621 VISTAMONT Ave,"Misc. Pre-Application meeting for the removal of an 129 sq ft existing workshop for a new accessory structure, 415 sq ft, 13'10"" connected by a walkway and canopy, setback non-conformities and nearby Oak Tree will be including as topics in the meeting.",,,,not_housing,Under Review,,,,,FALSE
,PLN2024-0008,2615 ASHBY Ave,Interdepartmental Meeting request: The proposed buyer of 2615 Ashby Ave seeking clarification of the Use Permit for medical offices at 2615 Ashby related to the proposed renovation and future use as a second-floor medical office and ground-floor surgical center.,,,,not_housing,Under Review,,,,,FALSE
