full_address,street_number,street_name,street_type,city,zipcode,longitude,latitude,address_normalized
,,,,Berkeley,94704,-13609670.9537,4560752.529600002,
,,,,Berkeley,94703,-13610761.2797,4558947.948899999,
,,,,Berkeley,94703,-13611388.2636,4560866.759599999,
,,,,Berkeley,94702,-13613336.5187,4562338.339100003,
,,,,Berkeley,94705,-13608512.986299999,4560358.885799997,
,,,,Berkeley,94709,-13611014.4619,4561641.8605,
,,,,Berkeley,94710,-13613194.3986,4559124.947800003,
,,,,Berkeley,94709,-13610827.2469,4562885.182300001,
,,,,Berkeley,94703,-13611197.186,4558899.104699999,
,,,,Berkeley,94710,-13615765.572,4560474.1686,
,,,,Berkeley,94710,-13613935.0558,4559579.726499997,
,,,,Berkeley,94703,-13611549.109299999,4561215.888700001,
,,,,Berkeley,94704,-13609794.584800001,4560871.451300003,
,,,,Berkeley,94708,-13610247.9461,4562778.832699999,
,,,,Berkeley,94703,-13611285.703,4559328.393600002,
,,,,Berkeley,94703,-13611855.4366,4558921.9925,
,,,,Berkeley,94702,-13612961.1786,4561178.160700001,
,,,,Berkeley,94703,-13611000.4418,4558915.735399999,
,,,,Berkeley,94704,-13609561.7085,4560256.313699998,
,,,,Berkeley,94710,-13614177.2438,4560739.538199998,
,,,,Berkeley,94702,-13612850.184999999,4560427.320699997,
,,,,Berkeley,94704,-13611233.3575,4560218.7236,
,,,,Berkeley,94708,-13609205.0243,4563365.034100004,
,,,,Berkeley,94705,-13609167.7928,4559944.922899999,
,,,,Berkeley,94703,-13612156.3093,4561776.0320999995,
,,,,Berkeley,94703,-13610959.884100001,4558082.838399999,
,,,,Berkeley,94703,-13611330.9258,4557817.608499996,
,,,,Berkeley,94704,-13610063.5131,4560540.577200003,
,,,,Berkeley,94704,-13609565.832899999,4560317.040100001,
,,,,Berkeley,94707,-13611305.331,4565330.066500001,
,,,,Berkeley,94704,-13610939.9205,4561422.483599998,
,,,,Berkeley,94707,-13611856.625599999,4564071.046999998,
,,,,Berkeley,94704,-13610952.6468,4561128.365000002,
,,,,Berkeley,94704,-13610578.1857,4560086.275899999,
,,,,Berkeley,94705,-13609855.1993,4559747.5288999975,
,,,,Berkeley,94702,-13612610.2673,4562155.7346,
,,,,Berkeley,94702,-13613548.9539,4561294.602799997,
,,,,Berkeley,94704,-13610269.404199999,4560274.567599997,
,,,,Berkeley,94702,-13612867.0331,4559071.9727,
,,,,Berkeley,94704,-13609399.5196,4560875.888599999,
,,,,Berkeley,94703,-13611582.6436,4559669.744099997,
,,,,Berkeley,94702,-13612217.8947,4558435.4651999995,
,,,,Berkeley,94704,-13609656.366799999,4560885.359999999,
,,,,Berkeley,94707,-13611441.499,4564734.238700002,
,,,,Berkeley,94704,-13609136.8518,4560967.572999999,
,,,,Berkeley,94703,-13611683.5753,4557791.736400001,
,,,,Berkeley,94704,-13610761.6042,4560896.733099997,
,,,,Berkeley,94704,-13609650.3423,4560882.972999997,
,,,,Berkeley,94709,-13610981.4084,4562214.376000002,
,,,,Berkeley,94703,-13611995.211,4558635.818599999,
,,,,Berkeley,94709,-13610248.478500001,4562171.324199997,
,,,,Berkeley,94709,-13610397.9428,4561906.841700003,
,,,,Berkeley,94702,-13612964.7622,4560712.474799998,
,,,,Berkeley,94708,-13610219.143199999,4564693.1184,
,,,,Berkeley,94705,-13608834.4481,4559115.242600001,
,,,,Berkeley,94703,-13611902.8644,4561245.358400002,
,,,,Berkeley,94702,-13613334.923799999,4561126.4043999985,
,,,,Berkeley,94705,-13609622.3433,4559564.436999999,
,,,,Berkeley,94705,-13610329.7298,4559609.868299998,
,,,,Berkeley,94707,-13612842.767,4564369.432300001,
,,,,Berkeley,94708,-13610055.9353,4563898.136600003,
,,,,Berkeley,94702,-13612678.4489,4559584.0779,
,,,,Berkeley,94709,-13610981.4084,4562214.376000002,
,,,,Berkeley,94709,-13611365.7843,4561897.255000003,
,,,,Berkeley,94707,-13612140.320799999,4565284.909999996,
,,,,Berkeley,94708,-13609902.472,4563378.361699998,
,,,,Berkeley,94710,-13614113.9255,4562579.069499999,
,,,,Berkeley,94708,-13610475.693500001,4562386.647600003,
,,,,Berkeley,94708,-13609156.330699999,4563806.822800003,
,,,,Berkeley,94702,-13612663.2088,4561039.6404,
,,,,Berkeley,94705,-13608970.5607,4559807.4639,
,,,,Berkeley,94710,-13613183.493900001,4559063.5205999985,
,,,,Berkeley,94703,-13611897.3346,4560270.412199996,
,,,,Berkeley,94707,-13612384.9571,4564031.654100001,
,,,,Berkeley,94703,-13611057.3171,4558914.5249999985,
,,,,Berkeley,94709,-13610293.0416,4562021.414499998,
,,,,Berkeley,94704,-13610658.842,4560930.219800003,
,,,,Berkeley,94703,-13611501.184700001,4560298.637699999,
,,,,Berkeley,94709,-13611436.4751,4562518.850599997,
,,,,Berkeley,94705,-13610295.6029,4559224.8671,
,,,,Berkeley,94705,-13607440.9864,4559202.019299999,
,,,,Berkeley,94702,-13612312.3934,4558299.983800001,
,,,,Berkeley,94702,-13612695.2653,4560306.931400001,
,,,,Berkeley,94709,-13610760.4901,4562150.971000001,
,,,,Berkeley,94704,-13610140.6449,4560416.416500002,
,,,,Berkeley,94705,-13610060.3052,4559335.574299999,
,,,,Berkeley,94709,-13610997.7665,4561773.769100003,
,,,,Berkeley,94703,-13611552.6497,4562140.528700002,
,,,,Berkeley,94704,-13611272.901999999,4561134.621100001,
,,,,Berkeley,94704,-13609314.3913,4560070.192699999,
,,,,Berkeley,94705,-13609471.2859,4558977.869499996,
,,,,Berkeley,94704,-13609794.584800001,4560871.451300003,
,,,,Berkeley,94702,-13612442.7311,4560947.6052,
,,,,Berkeley,94710,-13613609.422600001,4560962.243500002,
,,,,Berkeley,94703,-13611822.207,4560172.865099996,
,,,,Berkeley,94705,-13608947.034,4559719.496200003,
,,,,Berkeley,94706,-13613723.799800001,4562770.859200001,
,,,,Berkeley,94705,-13608289.582,4559196.031900004,
,,,,Berkeley,94704,-13610187.074099999,4560115.8785,
,,,,Berkeley,94702,-13612357.964200001,4557856.275899999,
,,,,Berkeley,94708,-13609000.832600001,4563117.287100002,
,,,,Berkeley,94704,-13609552.2703,4560390.915399998,
,,,,Berkeley,94705,-13608340.2534,4559717.868199997,
,,,,Berkeley,94703,-13610956.379099999,4559083.597999997,
,,,,Berkeley,94704,-13611419.078200001,4561321.781499997,
,,,,Berkeley,94705,-13610283.3944,4559822.952399999,
,,,,Berkeley,94709,-13610709.696800001,4562855.236000001,
,,,,Berkeley,94704,-13610770.002799999,4559933.005900003,
,,,,Berkeley,94702,-13613213.7577,4560895.7184000015,
,,,,Berkeley,94702,-13612429.114799999,4561463.553900003,
,,,,Berkeley,94702,-13612830.561900001,4559293.739500001,
,,,,Berkeley,94704,-13609978.1629,4560055.925399996,
,,,,Berkeley,94702,-13612282.4848,4558181.795500003,
