Row,Address,address_normalized,APN,Owner,Num_Permits,Permit_Numbers,Selected_Permit,old_units,new_units,net_unit_change,permit_year,Description,Record_Status,Selection_Method,Cumulative_Units
37,2138 KITTREDGE St,2138 KITTREDGE ST,,,1,PLN2024-0011,PLN2024-0011,3.0,66.0,63.0,2024.0,"SB 330 Pre-Application to demolish an existing 3-unit residential building and construct an 8 story 42,951 square-foot residential building; Density Bonus Project with 66 units total, 5 VLI units",Under Review,single_permit,2398.0
38,2147 SAN PABLO Ave,2147 SAN PABLO AVE,,,1,ZP2024-0096,ZP2024-0096,128.0,141.0,15.0,2024.0,"Use Permit Modification to modify approved Use Permit #ZP2022-0113, to increase the number of Group Living Accommodation (GLA) units from 128 to 141, increase the height from 70 feet to 75 feet, reduce the ground-level commercial space from 1,873 square feet to 1,804 square feet, remove the 14 parking spaces, and increase the number of Very Low Income (VLI) units from 12 to 15, utilizing a State Density Bonus.",Pending Final Action,single_permit,2413.0
39,2190 SHATTUCK Ave,2190 SHATTUCK AVE,,,1,ZP2025-0101,ZP2025-0101,0.0,36.0,36.0,2025.0,"Use Permit Modification (SB330 PLN2025-0082). To modify Use Permit ZP2016-0117, an approved 25-story mixed-use (residential and commercial) building by increasing the State Density Bonus level from 25 to 34 stories",Under Review,single_permit,2449.0
40,2200 FIFTH St,2200 FIFTH ST,,,1,ZP2025-0085,ZP2025-0085,0.0,8.0,8.0,2025.0,"Use Permit with Public Hearing to construct a total of eight three story townhouses 34 feet tall with a gross floor area of 19,064 square feet and 45 feet tall two-unit Research & Development, 3 story building with a gross floor area of 4,956 square feet with 10 proposed off-street shared parking spaces on a split zoned MUR and MU-LI site that is an existing parking lot.",In Review,single_permit,2457.0
41,2201 BLAKE St,2201 BLAKE ST,,,1,PLN2024-0013,PLN2024-0013,4.0,7.0,3.0,2024.0,"SB 330 Pre-App which includes a project scope of: (1)the construction of three units for a total of seven units on a landmarked lot -- Construction of a three story - 3,551 SF duplex, relocation of an existing 371 SF accessory building and conversion to one residential unit; and retaining of four existing residential units in two landmarked buildings; and (2) three new proposed parking spaces (2 car garage and one surface space)",Approved,single_permit,2460.0
42,2204 DWIGHT Way,2204 DWIGHT WAY,,,1,ZP2024-0059,ZP2024-0059,0.0,2.0,2.0,2024.0,SB330. Demolish existing 1-story (4-car) garage and construct a new 3-story residential duplex.,Pending Final Action,single_permit,2462.0
43,2205 BLAKE St,2205 BLAKE ST,,,1,PLN2024-0001,PLN2024-0001,0.0,3.0,3.0,2024.0,"Pre-application meeting for a proposal of a new 3-story duplex and new 371 sq ft residential unit at the rear of the sit at 2201/2205 Blake Street.  The existing property contains two landmarked Victorian homes.  Owner intends to subdivide the lot into two parcels, and wants to discuss methodology for lot split.",Under Review,single_permit,2465.0
44,2221 FIFTH St,2221 FIFTH ST,,,1,ZP2022-0106,ZP2022-0106,0.0,3.0,3.0,2022.0,"To establish three detached dwelling units, totaling 6,790 square feet, on 5,640 square foot vacant lot.",In Review,single_permit,2468.0
45,2276 SHATTUCK Ave,2276 SHATTUCK AVE,,,1,ZP2024-0067,ZP2024-0067,0.0,336.0,336.0,2024.0,"SB330 Preliminary Application: Retaining of the existing east and south facades of the existing morse block building; Reduction of existing 32,350 square feet of commercial space to 7,486 square feet; and addition of 105,237 square feet of multi-family residential space. Through utilizing a 50 percent density bonus, 28 density bonus maximum units will be included and 15 percent of the base project units (56 units) are dedicated to nine Very Low-Income households.",In Review,single_permit,2804.0
46,2298 DURANT Ave,2298 DURANT AVE,,,1,ZP2024-0126,ZP2024-0126,0.0,65.0,65.0,2024.0,"The proposed project entails the demolition of all existing buildings, merger of two lots, and
construction of a new, 8-Story, 79,522sf, 91'-6"" tall building with 65 total units, 5 of which will be
offered at Very Low Income rates. Density bonus.",Pending Final Action,single_permit,2869.0
47,2317 CHANNING Way,2317 CHANNING WAY,,,1,PLN2024-0018,PLN2024-0018,17.0,22.0,5.0,2024.0,"The proposed project is a modification to approved UPPH - ZP2020-0090.  The modification includes raising the building out of the ground, increasing the max building height from 45' to 50', increasing the gross square footage from 15,695 sf to 17,033 sf, and increasing the unit count from 17 to 22 units to meet the new R-SMU requirements for minimum unit count.",Under Review,single_permit,2874.0
