JURS_TRACKING_ID,STREET_ADDRESS,APN,UNIT_CAT,co_units_d5,bp_units_d5
B2024-03711,1701 TACOMA Ave,062 288601600,ADU,0.0,0.0
B2023-03411,1722 CAPISTRANO Ave,062 288602000,SFD,0.0,0.0
B2022-06064,1830 SAN PEDRO Ave,062 288802100,SFD,0.0,0.0
B2024-00598,1856 SAN PEDRO Ave,062 288802600,ADU,0.0,0.0
B2024-04862,690 SANTA ROSA Ave,062 289000100,SFD,0.0,-1.0
B2024-04598,680 VINCENTE Ave,062 289100100,ADU,0.0,0.0
B2024-05693,653 COLUSA Ave,062 289101200,ADU,0.0,0.0
B2023-05944,20 MENLO Pl,062 289401100,ADU,0.0,0.0
B2024-01380,28 VALLEJO St,062 289600200,SFD,0.0,0.0
B2024-04333,560 SANTA CLARA Ave,062 289600902,ADU,0.0,0.0
B2023-05180,575 SANTA CLARA Ave,062 289701500,ADU,0.0,0.0
B2024-04355,1865 YOSEMITE Rd,062 289900700,ADU,0.0,0.0
B2024-00554,1826 YOSEMITE Rd,062 290001700,ADU,0.0,0.0
B2024-05588,567 COLUSA Ave,062 290202200,ADU,0.0,0.0
B2024-04116,559 COLUSA Ave,062 290202300,SFD,0.0,0.0
B2024-02348,1641 VISALIA Ave,062 290302900,ADU,0.0,-1.0
B2024-00921,546 THE ALAMEDA,062 290700400,ADU,0.0,0.0
B2023-02950,89 MENLO Pl,062 290700900,ADU,0.0,0.0
B2024-00760,21 MENLO Pl,062 290702200,SFD,0.0,0.0
B2023-05155,533 VINCENTE Ave,062 290703800,SFD,0.0,0.0
B2024-05784,1849 SAN JUAN Ave,062 291102900,ADU,0.0,-1.0
B2024-02116,670 SPRUCE St,062 291403000,ADU,0.0,0.0
B2024-04913,671 SANTA BARBARA Rd,062 291404700,ADU,-1.0,-1.0
B2024-05112,601 SAN LUIS Rd,062 291500100,SFD,0.0,-1.0
B2024-04336,607 SAN LUIS Rd,062 291504100,ADU,0.0,0.0
B2024-05017,628 SANTA BARBARA Rd,062 291504300,ADU,0.0,0.0
B2024-02774,37 AVIS Rd,062 291600400,ADU,0.0,0.0
B2024-02506,708 ARLINGTON Ave,062 292001100,ADU,0.0,0.0
B2024-04444,748 ARLINGTON Ave,062 292001800,ADU,0.0,0.0
B2023-06240,762 ARLINGTON Ave,062 292002000,ADU,0.0,0.0
B2024-04805,664 ARLINGTON Ave,062 292100600,ADU,0.0,0.0
B2024-03869,1850 SAN ANTONIO Ave,062 292200700,ADU,0.0,0.0
B2024-03981,1835 SAN ANTONIO Ave,062 292303501,ADU,0.0,0.0
B2024-00364,1825 SAN ANTONIO Ave,062 292303700,ADU,0.0,0.0
B2023-04865,458 MICHIGAN Ave,062 293900702,ADU,0.0,0.0
B2022-03939,63 NORTHAMPTON Ave,062 293903402,SFD,0.0,0.0
B2024-01453,438 BOYNTON Ave,062 294000800,ADU,0.0,0.0
B2024-04244,486 BOYNTON Ave,062 294001900,ADU,0.0,0.0
B2024-05734,431 BOYNTON Ave,062 294204500,ADU,0.0,0.0
B2024-03646,400 VERMONT Ave,062 294205600,ADU,0.0,0.0
B2024-04890,491 VERMONT Ave,062 294301800,ADU,0.0,-1.0
B2023-04030,463 VERMONT Ave,062 294302300,SFD,0.0,0.0
B2023-04278,494 KENTUCKY Ave,062 294401800,ADU,0.0,0.0
B2024-03641,460 VASSAR Ave,062 294501000,ADU,0.0,0.0
B2024-05620,470 VASSAR Ave,062 294501200,ADU,0.0,0.0
B2024-04841,411 KENTUCKY Ave,062 294504000,ADU,0.0,0.0
B2024-05622,371 VASSAR Ave,062 294603300,ADU,0.0,0.0
B2024-05629,301 VERMONT Ave,062 294903700,ADU,0.0,0.0
B2024-04076,556 CRAGMONT Ave,063 295201200,ADU,0.0,0.0
B2024-01158,641 SPRUCE St,063 295205200,SFD,0.0,0.0
B2024-04600,601 SPRUCE St,063 295205700,SFD,0.0,-1.0
B2023-06146,584 EUCLID Ave,063 295301800,ADU,0.0,0.0
B2024-00071,5 ACACIA Ave,063 295302500,ADU,0.0,0.0
B2024-04460,567 CRAGMONT Ave,063 295302900,ADU,0.0,0.0
B2024-00403,539 CRAGMONT Ave,063 295303500,SFD,-1.0,-1.0
B2024-03605,680 HILLDALE Ave,063 295501900,ADU,-1.0,-1.0
