id,project_id,permit_number,permit_type,permit_module,address,filed_date,status,status_date,is_primary,source,imported_at,permit_year,permit_sequence,permit_prefix
37,22,ZP2024-0071,Planning,,"2955 SHATTUCK Ave",2024-07-03,"In Review",2025-07-25,0,accela,"2026-03-30 03:27:10",,,
38,11,ZP2024-0074,Planning,,"1581 UNIVERSITY Ave",2024-07-12,"In Review",2024-12-05,0,accela,"2026-03-30 03:17:35",,,
39,9,ZP2024-0075,Planning,,"1899 OXFORD St",2024-07-03,"In Review",2026-02-11,0,accela,"2026-03-30 03:27:10",,,
40,20,ZP2024-0079,Planning,,"2036 BANCROFT Way",2024-07-19,"In Review",2024-11-15,0,accela,"2026-03-30 03:27:10",,,
41,41,ZP2024-0096,Planning,,"2147 SAN PABLO Ave",2024-07-17,"In Review",2025-09-09,0,accela,"2026-03-30 03:27:10",,,
42,82,ZP2024-0112,Planning,,"3035 COLBY St",2024-08-19,"In Review",2024-09-16,0,accela,"2026-03-30 03:27:10",,,
43,29,ZP2024-0114,Planning,,"2138 KITTREDGE St",2024-09-05,"In Review",2025-10-20,0,accela,"2026-03-30 03:27:10",,,
44,131,ZP2024-0116,Planning,,"811 Cedar",2024-09-05,"In Review",2025-07-03,0,accela,"2026-03-30 03:27:10",,,
45,92,ZP2024-0122,Planning,,"3036 REGENT St",2024-10-07,"In Review",2026-03-03,0,accela,"2026-03-30 03:27:10",,,
46,26,ZP2024-0126,Planning,,"2298 DURANT Ave",2024-10-04,"In Review",2025-10-09,0,accela,"2026-03-30 03:27:10",,,
47,132,ZP2024-0129,Planning,,"1627 Jaynes St",2024-09-06,"In Review",2025-05-16,0,accela,"2026-03-30 03:27:10",,,
48,12,ZP2024-0131,Planning,,"2113-15 Kittredge",2024-09-17,"In Review",2024-10-16,0,accela,"2026-03-30 03:27:10",,,
49,94,ZP2024-0138,Planning,,"2145 GRANT St",2024-09-24,"In Review",2026-03-26,0,accela,"2026-03-30 03:27:10",,,
