"beso_id","property_building_name","building_address","alternate_addresses","beso_property_type","floor_area","_2024_benchmark_status","_2024_energy_star_score","_2024_site_eui_kbtu_ft2_","_2024_source_eui_kbtu_ft2_","_2024_natural_gas_use_therms_","_2024_electricity_use_grid_purchase_kwh_","_2023_benchmark_status","_2023_energy_star_score","_2023_site_eui_kbtu_ft2_","_2023_source_eui_kbtu_ft2_","_2023_natural_gas_use_kbtu_","_2023_electricity_use_grid_purchase_kwh_","_2022_benchmark_status","_2022_energy_star_score","_2022_site_eui_kbtu_ft2","_2022_source_eui_kbtu_ft2","_2022_natural_gas_use_kbtu_","_2022_electricity_use_grid_purchase_kwh_","_2021_benchmark_status","_2021_energy_star_score","_2021_site_eui_kbtu_ft2","_2021_source_eui_kbtu_ft2","_2021_natural_gas_use_kbtu_","_2021_electricity_use_grid_purchase_kwh_","assessment_requirement","assessment_first_cycle_due_date","assessment_first_cycle_status","assessment_first_cycle_payment_status","assessment_second_cycle_due_date","assessment_second_cycle_status","assessment_second_cycle_payment_status","assessment_third_cycle_due_date","assessment_third_cycle_status","assessment_third_cycle_payment_status"
"3410","1945 Milvia St","1945 MILVIA ST","1945 MILVIA ST","Multifamily (5+ Units)","15639","2024 - Complied",,"19.3","32.4","1926.84","31779.5","2023 - Complied",,"25.7","43","2585.13","41983.9","2022 - Complied",,"23.8","40.3","2357.94","40070.8","2021 - Complied",,"18","29","1917.92","26400.3","Time of Sale",,,,,,,,,
"3430","MB Apartments","1912 MILVIA ST","1945 BERKELEY WAY; 1943 BERKELEY WAY; 1937 BERKELEY WAY; 1929 BERKELEY WAY; 1931 BERKELEY WAY; 1941 BERKELEY WAY; 1933 BERKELEY WAY; 1912 MILVIA ST","Multifamily (5+ Units)","57572","2024 - Complied","100","22.9","36.1","9201.92","116535.7","2023 - Complied","100","25.8","40.3","10505.51","127153.6","2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Large Building","7/1/2018","Deferred","Deferred","7/1/2025","Complied","Paid","7/1/2030","Upcoming","Upcoming"
"3440","North Berkeley Senior Center","1901 HEARST AVE",,"Commercial","20880","2024 - Complied",,"23.5","65.7",,"143584.8","2023 - Complied",,"26","72.7",,"158970.3","2022 - Complied",,"24.3","67.9",,"148429.4","2021 - Exempt",,,,,,"Time of Sale",,,,,,,,,
"3441","Senior Center - South Berkeley","2939 Ellis St",,,"17160","2024 - Complied",,"32.5","58.5","3186.71","70025.2","2023 - Complied",,"32.7","58.9","3205.3","70506.3","2022 - Complied",,"33.7","58.1","3566.22","65083","2021 - Complied",,"28.6","51.2","2840.77","60709.3","Large Building",,,,,,,,,
"3450","New Californian","1885 UNIVERSITY AVE","1988 M L KING JR WAY; 1888 BERKELEY WAY; 1942 M L KING JR WAY; 1950 M L KING JR WAY; 1930 M L KING JR WAY; 1885 UNIVERSITY AVE; 1944 M L KING JR WAY","Multifamily (5+ Units)","140900","2024 - Complied","89","47.1","100.4","25432.28","1200801.7","2023 - Complied","87","48.5","106.2","23930.48","1303139","2022 - Complied","84","50.6","109.7","25684.4","1335011","2021 - Exempt",,,,,,"Large Building","7/1/2018","Deferred","Deferred","7/1/2023","Complied","Paid","7/1/2028","Upcoming","Upcoming"
"3460","University Neighborhood Apartments","1721 UNIVERSITY AVE","1719 UNIVERSITY AVE; 1725 UNIVERSITY AVE","Mixed Use","30420","2024 - Complied","100","12","32.8","107.51","103414.1","2023 - Complied","100","12.2","33.5","115.29","105497.9","2022 - Complied","100","12.4","34.2","109.1","107562.3","2021 - Complied","100","12.2","33.6","106.55","105946.8","Large Building","7/1/2019","Complied","Paid","7/1/2024","Did Not Comply","Due",,,
"3470","1812 Delaware St","1812 DELAWARE ST","1812 DELAWARE ST","Multifamily (5+ Units)","23774","2024 - Did Not Report",,,,,,"2023 - Did Not Report",,,,,,"2022 - Did Not Report",,,,,,"2021 - Did Not Report",,,,,,"Time of Sale",,,,,,,,,
"3480","Renaissance Villas","1631 UNIVERSITY AVE","1627 UNIVERSITY AVE; 1631 UNIVERSITY AVE; 1625 UNIVERSITY AVE; 1629 UNIVERSITY AVE","Multifamily (5+ Units)","26755","2024 - Complied","94","33.3","63.6","4520.71","128523.4","2023 - Complied","93","35.3","67.4","4805.95","135897.2","2022 - Complied","93","34.9","67.2","4677.46","136797.7","2021 - Complied","97","29.9","57.6","3985.56","117607","Large Building","7/1/2019","Deferred","Deferred","7/1/2024","Did Not Comply","Due",,,
"3490","Helios Corner","1535 UNIVERSITY AVE","1521 UNIVERSITY AVE; 1531 UNIVERSITY AVE; 1535 UNIVERSITY AVE","Mixed Use (Comm/MF)","68594","2024 - Complied","97","15.1","41.8","194.7","297890.6","2023 - Complied","98","29.5","42.7","15689.36","134011","2022 - Complied","98","27.1","41.5","13422.2","150759.8","2021 - Complied","96","28.5","42.7","14497.32","147571.7","Large Building","7/1/2018","Complied","Paid","7/1/2023","Pending","Due",,,
"3510","1175 University Ave (Holiday Inn Express)","1175 UNIVERSITY AVE","1175 UNIVERSITY AVE","Commercial","33000","2024 - Complied","86","48.9","87.8","9277.88","201263.9","2023 - Complied","80","52.6","95.5","9771.91","222564.4","2022 - Complied","78","53.8","97.9","9928.84","229133.8","2021 - Complied","75","55","99.5","10284.47","230787.1","Large Building","7/1/2018","Complied","Paid","7/1/2023","Complied","Paid","7/1/2028","Upcoming","Upcoming"
