key,lat,lon,type,units,source,addr,status
057-2067-017-00,37.87241152,-122.2819302,ADU,1,v4,,
052-1559-019-00,37.85363801,-122.25808959,ADU,1,v4,,
053-1627-018-00,37.85179686,-122.2853938,ADU,1,v4,,
060-2433-018-00,37.87993376,-122.28081657,ADU,1,v4,,
060-2469-018-00,37.88639641,-122.25617962,ADU,1,v4,,
052-1526-010-00,37.84727075,-122.27037766,ADU,1,v4,,
052-1545-029-00,37.85161709,-122.27517477,ADU,1,v4,,
060-2429-018-00,37.88282837,-122.2823625,ADU,1,v4,,
059-2280-007-00,37.87961249,-122.27999933,ADU,1,v4,,
058-2245-009-03,37.88075789,-122.25910422,ADU,1,v4,,
063-3150-059-00,37.89168832,-122.25323126,ADU,1,v4,,
058-2144-009-00,37.8757993,-122.2854227,ADU,1,v4,,
060-2436-007-00,37.88389873,-122.27972473,ADU,1,v4,,
058-2187-019-00,37.87781671,-122.26392169,ADU,1,v4,,
063-3140-010-01,37.89423218,-122.25339467,ADU,1,v4,,
055-1909-026-00,37.86509144,-122.27762545,ADU,1,v4,,
054-1792-029-00,37.85883234,-122.28373003,ADU,1,v4,,
055-1912-031-00,37.86491864,-122.27873349,ADU,1,v4,,
058-2159-031-00,37.8743584,-122.27672733,ADU,1,v4,,
060-2462-018-00,37.88356186,-122.26593075,ADU,1,v4,,
056-1984-016-00,37.8652489,-122.2889757,ADU,1,v4,,
059-2270-006-00,37.88081263,-122.27433845,ADU,1,v4,,
060-2433-007-00,37.88062072,-122.28059687,ADU,1,v4,,
054-1791-010-00,37.85945611,-122.2837256,ADU,1,v4,,
058-2177-003-00,37.87657672,-122.26800199,ADU,1,v4,,
054-1702-095-02,37.85913324,-122.24630586,ADU,1,v4,,
055-1816-023-00,37.86220553,-122.27128298,ADU,1,v4,,
060-2400-008-00,37.88061978,-122.29158068,ADU,1,v4,,
054-1717-010-00,37.8592537,-122.26314768,ADU,1,v4,,
055-1865-007-00,37.86700829,-122.25002615,ADU,1,v4,,
