GEOID20,pop,housing_units,ALAND20
060014240022004,82,30,11985
060014229021007,316,192,21088
060014217001009,0,0,1364
060014231001008,51,22,11984
060014230001003,59,49,4782
060014234003010,82,41,14097
060014218002000,23,12,2436
060014222003015,0,0,3098
060014222002000,78,28,13085
060014231004001,104,50,17288
060014216001006,27,10,11052
060014222001019,81,38,15137
060014215001027,16,6,3987
060014216003014,48,20,14355
060014225001007,34,11,4959
060014236011004,50,22,7430
060014220001060,0,0,1929
060014213002014,18,2,28591
060014222003010,56,37,6881
060014211001001,49,21,18013
060014212003011,70,29,19388
060014213001006,25,14,6077
060014219002011,4,0,10560
060014238003014,114,51,24772
060014224003007,250,149,19408
060014240014004,0,0,1462
060014239012001,148,73,22426
060014231001005,336,182,21992
060014236011001,127,78,22340
060014215001021,85,36,33094
060014216002004,30,11,14519
060014222003000,78,36,12951
060014217001017,76,30,18557
060014228001002,154,111,13019
060014224003000,133,78,20663
060014237003004,130,69,17058
060014231002004,79,42,18930
060014239012008,140,60,19375
060014212001010,33,13,10582
060014225001006,161,73,11471
060014223002014,30,6,10307
060014218002004,20,5,6259
060014234002008,93,43,15634
060014220002014,0,0,9139
060014232001000,0,0,6132
060014220001047,30,24,4765
060014230003015,69,30,9058
060014225002001,50,21,14242
060014215003012,22,13,22480
060014216002009,84,28,42034
060014215003007,62,27,17147
060014228002003,382,110,5801
060014232002010,134,69,19959
060014215001020,73,30,26243
060014212002014,9,4,5481
060014239011000,22,5,2772
060014231001002,228,138,17377
060014232002002,173,75,19648
060014240012002,107,35,9264
060014240022001,128,48,17863
060014223003002,92,51,18505
060014231001010,34,18,14456
060014228002002,1443,80,13485
060014220001011,100,1,324932
060014211002012,20,11,6580
060014215003008,15,7,5873
060014223002012,34,9,3200
060014240013005,0,0,1191
060014240013008,164,66,20613
060014235001013,0,0,20386
060014235003005,0,0,1532
060014235003001,13,1,12159
060014239012006,100,51,15216
060014234003009,126,48,15300
060014220001048,23,12,6589
060014220001061,0,0,8759
060014233003001,0,0,56352
060014234004006,147,53,15752
060014240022000,115,38,16169
060014238003004,32,10,10162
060014238002014,114,53,38421
060014229022006,15,0,8685
060014235001011,268,170,21654
060014223003012,0,0,2396
060014224002013,0,0,2068
060014230002013,124,72,20532
060014229023000,142,98,21233
060014230003006,0,0,3180
060014217001006,131,59,23480
060014224003003,0,0,1172
060014217002000,143,71,19995
060014231004004,127,65,21769
060014223003013,0,0,1073
060014237001009,59,19,18471
060014239012002,167,77,22833
060014239021004,144,75,22167
060014222001001,75,26,20327
060014218002007,54,25,14747
060014223001012,0,0,1300
060014240022011,42,12,1054
060014234003002,134,50,19941
060014220002027,0,0,14107
060014219001004,88,35,18037
060014234004007,192,94,23051
060014234004001,81,24,21722
060014240011007,236,100,22951
060014238001010,24,13,33682
060014221002032,0,0,1275
060014240011002,8,0,18729
060014240014009,99,33,14434
060014235002006,113,43,13594
060014235003007,121,74,21544
060014235003008,0,0,5125
060014239011012,0,0,1519
