id,address_display,apn,owner,net_units,new_units,old_units,year,permits,description,status,num_permits,project_size_category,slug,address_norm,latitude,longitude,unit_category,tenure,sb35_flag,sb330_flag,ab2011_flag,density_bonus,density_bonus_pct,vli_units_extracted,height_stories,height_feet,app_filed_date,app_complete_date,entitled_date,total_processing_days,accela_status,accela_status_date,bp_issued_date,co_date,construction_start_date,estimated_completion_date,construction_status,app_packet_size_mb
31,2712 TELEGRAPH Ave,054 171400501,,57.0,57.0,0.0,2025.0,ZP2025-0105,"Modification of Use Permit ZP2022-0179 for the demolition of two existing two-story commercial structures & construction, with the state of California density bonus, of a new 6-story residential building, with 50 residential units, 6 ADUs, 1 live-work unit, a ground level lobby, and 1 parking space.",Corrections Pending Applicant,1.0,Very Large (51-100),2712-telegraph-ave,2712 TELEGRAPH AVE,37.86100751672245,-122.25934930814802,ADU,Renter,False,False,False,True,,0.0,6.0,,2025-11-26,2026-01-15,,,Stage: Application Processing [COMPLETE]: Corrections - Pending Applicant,2026-02-14,,,,,,29.61
32,1740 SAN PABLO Ave,058 212701403,,54.0,54.0,0.0,2023.0,PLN2023-0065,"SB 35 Preliminary Development Application (Modification): Demolition of existing 1 story commercial structure.  Construction of a 6-story, 54 units, Mixed-Use Residential building with 100% affordable housing, processing under SB-35 and State Density Bonus for additional height of 33"" and no density limit.",Under Review,1.0,Very Large (51-100),1740-san-pablo-ave,1740 SAN PABLO AVE,37.87189306747787,-122.29344912366952,5+,Renter,True,False,False,True,,0.0,,,,,,,,,,,,,,26.7
33,130 BERKELEY Sq,57-2032-17,,50.0,50.0,0.0,2021.0,ZP2021-0158,50 unit multi-family mixed-use project,In Review,1.0,Large (21-50),130-berkeley-sq,130 BERKELEY SQ,37.870858,-122.267959,5+,Renter,False,False,False,False,,0.0,,,2021-11-19,2021-11-19,,,ness Review [COMPLETE]: Application Complete,2021-11-19,,,,,,0.84
34,2680 BANCROFT Way,055 187100103,,37.0,37.0,0.0,2023.0,"ZP2023-0096, ZP2024-0029","Conversion of the Bancroft Hotel (17,466 SF) into a residential building, with 15 dwelling units and 22 Group Living Accommodation rooms for a total of 37 units.  This project will retain & rehabilitate the original facades of the historic building.",Approved,2.0,Large (21-50),2680-bancroft-way,2680 BANCROFT WAY,37.86897721110546,-122.25493601002294,5+,Renter,False,False,False,False,,0.0,,,2024-03-19,2024-04-30,2025-06-13,451.0,Case Closed: Approved,2025-06-13,,,,,,0.0
35,2190 SHATTUCK Ave,057 202600405,LMP Shattuck Property Owner LL,452.0,452.0,0.0,2025.0,"ZP2016-0117, ZP2025-0101","SB-330: 34-story mixed-use tower with 452 units. Originally approved as 25-story (ZP2016-0117), modified 2025 to increase density bonus to 34 stories (ZP2025-0101).",Under Review,1.0,Mega (100+),2190-shattuck-ave,2190 SHATTUCK AVE,37.86948860426455,-122.26864608441446,5+,Renter,False,True,False,True,,0.0,34.0,,2025-11-21,,,,Completeness Review: Incomplete Pending Applicant,2025-11-21,,,,,,0.0
36,2733 SAN PABLO Ave,054 174203200,,32.0,32.0,0.0,2023.0,ZP2023-0090,Demolition of existing non-landmarked structures. Construction of a new 8-story mixed-use residential development with ground level lobbies and commercial spaces with a State of California Density.,In Review,1.0,Large (21-50),2733-san-pablo-ave,2733 SAN PABLO AVE,37.85634825542909,-122.28761614513743,5+,Renter,False,False,False,False,,0.0,8.0,,2023-09-18,2024-05-09,,,"Due 05/10/2024, assigned to Niloufar Karimzadegan  Marked as Resubmittal Pending Staff on 04/10/2024 by Niloufar Karimzadegan: Application Complete",2024-05-09,,,,,,0.0
37,2614 TELEGRAPH Ave,055 183600800,,31.0,32.0,1.0,2024.0,ZP2024-0027,"SB-330 Mixed-Use Housing Development Project. Use Permit to merge two parcels, demolish a single-family dwelling (2614 Telegraph) and a commercial office (2417 Carleton), and construct a 38,000 square-foot, 5-story (57-foot) mixed-use building with 32 dwelling units (3 Very Low-Income, 2 Low-Income), and 605 sq. ft. of commercial space, using a State Density Bonus.",Corrections Pending Applicant,1.0,Large (21-50),2614-telegraph-ave,2614 TELEGRAPH AVE,37.86268272962413,-122.25913983449848,5+,Renter,False,False,False,True,,3.0,5.0,57.0,,2025-04-30,,,,,,,,,,0.0
38,2449 DWIGHT Way,055 188100400,,39.0,63.0,24.0,2022.0,ZP2022-0021,"Renovation of existing 4-story 27,456 square foot, mixed-use building, and add 4 additional stories of residential dwelling units, resulting in an 8-story, 56,217 square foot, mixed-use building, containing 51 residential dwelling units (24 replacement units, plus 27 new dwelling units including 2 Very Low Income units), a 3,600 square-foot ground-floor commercial space. [Updated: project now shows 63 total units per ZAB review 2025]",ZAB Review,1.0,Large (21-50),2449-dwight-way,2449 DWIGHT WAY,37.86530920217209,-122.25876941598769,5+,Renter,False,False,False,False,,2.0,4.0,,,,,,,,,,,,,0.0
39,1790 UNIVERSITY Ave,056 201102800,,17.0,17.0,0.0,2023.0,ZP2023-0070,"Demolish two nonresidential structures and one single-family residence, and construct a 5-story (56 feet) mixed-use building with 17 dwelling units (two VLI) and 950 square feet of ground-floor retail, utilizing State Density Bonus",Under Review,1.0,Medium (6-20),1790-university-ave,1790 UNIVERSITY AVE,37.870939186310096,-122.27560444807996,5+,Renter,False,False,False,True,,0.0,5.0,56.0,,,,,,,,,,,,0.0
40,1710 UNIVERSITY Ave,056 201102000,,16.0,16.0,0.0,2021.0,ZP2021-0127,"Demolish existing commercial building. Construct 4-story, mixed-use building for non-profit religious education and living spaces",Incomplete Pending Applicant,1.0,Medium (6-20),1710-university-ave,1710 UNIVERSITY AVE,37.87074957709555,-122.27712191190231,5+,Renter,False,False,False,False,,0.0,4.0,,,,,,,,,,,,,0.0
41,2147 SAN PABLO Ave,056 198304201,,15.0,141.0,128.0,2024.0,ZP2024-0096,"Use Permit Modification to modify approved Use Permit #ZP2022-0113, to increase the number of Group Living Accommodation (GLA) units from 128 to 141, increase the height from 70 feet to 75 feet, reduce the ground-level commercial space from 1,873 square feet to 1,804 square feet, remove the 14 parking spaces, and increase the number of Very Low Income (VLI) units from 12 to 15, utilizing a State Density Bonus.",Pending Final Action,1.0,Medium (6-20),2147-san-pablo-ave,2147 SAN PABLO AVE,37.867047132190656,-122.29108188862271,5+,Renter,False,False,False,True,,0.0,,70.0,2024-07-17,2024-08-28,2025-09-09,419.0,Stage: CEQA Determination: Categorically Exempt,2025-09-09,,,,,,0.0
42,1740 UNIVERSITY Ave,056 201102200,,12.0,12.0,0.0,2025.0,ZP2025-0079,"Use Permit with Public Hearing to convert an existing 12,503 SF, 31 feet in maximum height two story commercial building into a mixed-use building with 12 residential apartments and 3 ground floor retail tenant spaces with a proposed total gross area of 9,666 square feet",Approved,1.0,Medium (6-20),1740-university-ave,1740 UNIVERSITY AVE,37.87075586989641,-122.2766144338354,5+,Renter,False,False,False,False,,0.0,,,,2025-09-15,,,,,,,,,,0.0
43,1015 UNIVERSITY Ave,057 208801200,,9.0,9.0,0.0,2022.0,ZP2022-0120,Legalize nine residential dwelling units and ground floor commercial space.,Incomplete Pending Applicant,1.0,Medium (6-20),1015-university-ave,1015 UNIVERSITY AVE,37.86918327203636,-122.29313416355114,5+,Renter,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
44,2428 MILVIA St,055 189800100,,8.0,14.0,6.0,2024.0,PLN2024-0025,"SB-330 pre-application, the project proposes to demolish the existing buildings with six units, and to relocate landmarked ""Broad Buildings"" (from 2030-32 Bancroft) to this site, preserve exteriors and create eight new units.",Under Review,1.0,Medium (6-20),2428-milvia-st,2428 MILVIA ST,37.864352295468784,-122.27008426562476,5+,Renter,False,False,False,False,,0.0,,,,,,,,,,,,,,0.0
45,2200 FIFTH St,056 195800301,,8.0,8.0,0.0,2025.0,ZP2025-0085,"Use Permit with Public Hearing to construct a total of eight three story townhouses 34 feet tall with a gross floor area of 19,064 square feet and 45 feet tall two-unit Research & Development, 3 story building with a gross floor area of 4,956 square feet with 10 proposed off-street shared parking spaces on a split zoned MUR and MU-LI site that is an existing parking lot.",Withdrawn,1.0,Medium (6-20),2200-fifth-st,2200 FIFTH ST,37.86468278837405,-122.29819481731433,5+,Renter,False,False,False,False,,0.0,3.0,,,2025-11-24,,,,,,,,,,0.0
