JURIS_NAME,CNTY_NAME,YEAR,PRIOR_APN,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,UNIT_CAT,TENURE,ACUTELY_LOW_INCOME_DR,ACUTELY_LOW_INCOME_NDR,EXTREMELY_LOW_INCOME_DR,EXTREMELY_INCOME_NDR,VLOW_INCOME_DR,VLOW_INCOME_NDR,LOW_INCOME_DR,LOW_INCOME_NDR,MOD_INCOME_DR,MOD_INCOME_NDR,ABOVE_MOD_INCOME,ENT_APPROVE_DT1,NO_ENTITLEMENTS,BP_ACUTELY_LOW_INCOME_DR,BP_ACUTELY_LOW_INCOME_NDR,BP_EXTREMELY_LOW_INCOME_DR,BP_EXTREMELY_INCOME_NDR,BP_VLOW_INCOME_DR,BP_VLOW_INCOME_NDR,BP_LOW_INCOME_DR,BP_LOW_INCOME_NDR,BP_MOD_INCOME_DR,BP_MOD_INCOME_NDR,BP_ABOVE_MOD_INCOME,BP_ISSUE_DT1,NO_BUILDING_PERMITS,CO_ACUTELY_LOW_INCOME_DR,CO_ACUTELY_LOW_INCOME_NDR,CO_EXTREMELY_LOW_INCOME_DR,CO_EXTREMELY_INCOME_NDR,CO_VLOW_INCOME_DR,CO_VLOW_INCOME_NDR,CO_LOW_INCOME_DR,CO_LOW_INCOME_NDR,CO_MOD_INCOME_DR,CO_MOD_INCOME_NDR,CO_ABOVE_MOD_INCOME,CO_ISSUE_DT1,NO_OTHER_FORMS_OF_READINESS,EXTR_LOW_INCOME_UNITS,APPROVE_SB35,HISTORIC_SITES,INFILL_UNITS,FIN_ASSIST_NAME,DR_TYPE,NO_FA_DR,TERM_AFF_DR,DEM_DES_UNITS,DEM_OR_DES_UNITS,DEM_DES_UNITS_OWN_RENT,DENSITY_BONUS_TOTAL,DENSITY_BONUS_NUMBER_OTHER_INCENTIVES,DENSITY_BONUS_INCENTIVES,DENSITY_BONUS_RECEIVE_REDUCTION,NOTES,LATITUDE,LONGITUDE,STD_ADDRESS,SCORE
Berkeley,Alameda,2025,,056-1928-001-00,2403 SAN PABLO Ave,,proj159,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,36,2025-06-03,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86272977,-122.28972121,2403 SAN PABLO AVE,
Berkeley,Alameda,2025,,055-1847-020-00,2555 COLLEGE Ave,,proj161,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0,11,2025-07-25,0,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.86412303,-122.25354342,2555 COLLEGE AVE,
Berkeley,Alameda,2025,,055-1829-011-00,0 PARKER St,,proj163,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-07-14,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,37.86,-122.267,0 PARKER ST,
Berkeley,Alameda,2025,,055-1835-009-01,2650 TELEGRAPH Ave,,proj172,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,45,2025-06-16,0,0,N,,,,,,,,,,,,,,,37.86157782,-122.25930237,2650 TELEGRAPH AVE,
Berkeley,Alameda,2025,055 182201800,055-1822-019-02,2000 DWIGHT Way,,proj173,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,113,2025-06-17,0,0,N,,,,,,,,,,,,,,,37.86348027,-122.26960299,2000 DWIGHT WAY,
Berkeley,Alameda,2025,,058-2181-027-00,1773 OXFORD St,,proj174,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,2,0,0,0,0,22,2025-05-21,0,0,N,,,,,,,,,,,,,,VLOW:NDR-default(no restriction detail),37.87556762,-122.26621783,1773 OXFORD ST,
Berkeley,Alameda,2025,,056-2004-001-00,1698 UNIVERSITY Ave,,proj175,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,36,2025-05-22,0,0,N,,,,,,,,,,,,,,,37.87066365,-122.27776006,1698 UNIVERSITY AVE,
Berkeley,Alameda,2025,,055-1896-005-00,2440 SHATTUCK Ave,,proj176,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,40,2025-03-05,0,0,N,,,,,,,,,,,,,,,37.86501913,-122.2679603,2440 SHATTUCK AVE,
Berkeley,Alameda,2025,,,2330 BLAKE St,2330 BLAKE St,proj184,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,2025-07-30,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,N,,,,,,,,,,,,,,,,,,
Berkeley,Alameda,2025,,062-2945-028-00,469 Kentucky Ave,469 Kentucky Ave,proj208,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-11,0,0,N,,,,,,,,,,,,,,,37.90220832,-122.27179886,469|KENTUCKY,
Berkeley,Alameda,2025,,053-1667-003-00,2804 ACTON St,2804 ACTON St,proj280,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-04-23,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.85542715,-122.28238305,2804|ACTON,
Berkeley,Alameda,2025,,059-2282-037-00,1408 EDITH St,1408 EDITH St,proj281,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-06-27,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.88027988,-122.27768109,1408|EDITH,
Berkeley,Alameda,2025,,052-1582-002-00,2144 RUSSELL St,2144 RUSSELL St,proj282,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-05-28,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.85679228,-122.264472,2144|RUSSELL,
Berkeley,Alameda,2025,,053-1602-021-00,3037 ELLIS St,3037 ELLIS St,proj283,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-08-01,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.8526235,-122.27275911,3037|ELLIS,
Berkeley,Alameda,2025,,058-2134-018-00,1215 DELAWARE St,1215 DELAWARE St,proj284,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,1,2025-02-07,0,0,N,,,,,,,,,,,,,,ABOVE_MOD+1(uncategorized total_units),37.87247543,-122.2891938,1215|DELAWARE,
