placemark_index,name_raw,name_address,name_qualifier,matched_project_id,action,skip_reason,style_source,geometry_type_id,geometry_type_code,structure_id,structure_label,project_geometries_id,vertex_count,height_meters,confidence_code
27,3030 Telegraph Ave · 144 units · Under Construction,3030 Telegraph Ave,,150,import,,parcel,1,apn_parcel,,,207,10,35.0,medium
28,2420 Shattuck Ave · 132 units · In Review,2420 Shattuck Ave,,13,import,,parcel,1,apn_parcel,,,208,5,59.5,medium
29,2847 Shattuck Ave · 132 units · Application Submitted,2847 Shattuck Ave,,14,import,,parcel,1,apn_parcel,,,209,5,41.5,medium
30,2109 Virginia St · 131 units · Entitled,2109 Virginia St,,15,import,,parcel,1,apn_parcel,,,210,6,39.9,medium
31,2136 San Pablo Ave · 125 units · Entitled,2136 San Pablo Ave,,140,import,,parcel,1,apn_parcel,,,211,5,21.0,medium
32,2425 Durant Ave · 117 units · Decision Pending,2425 Durant Ave,,5,import,,parcel,1,apn_parcel,,,212,6,61.0,medium
33,2720 San Pablo Ave · 113 units · In Review,2720 San Pablo Ave,,16,import,,parcel,1,apn_parcel,,,213,5,35.7,medium
34,2000 Dwight Way · 113 units · Completed,2000 Dwight Way,,173,import,,parcel,1,apn_parcel,,,214,6,21.0,medium
35,2530 Bancroft Way · 110 units · Entitled,2530 Bancroft Way,,122,import,,parcel,1,apn_parcel,,,215,5,42.0,medium
36,1717 SAN PABLO Ave,1717 SAN PABLO Ave,,153,import,,parcel,1,apn_parcel,,,216,5,35.0,medium
37,2109 Milvia St · 105 units · In Review,2109 Milvia St,,17,import,,parcel,1,apn_parcel,,,217,5,49.00000000000001,medium
38,2198 San Pablo Ave · 100 units · Entitled,2198 San Pablo Ave,,149,import,,parcel,1,apn_parcel,,,218,5,24.5,medium
39,2655 Shattuck Ave · 97 units · Decision Pending,2655 Shattuck Ave,,18,import,,parcel,1,apn_parcel,,,219,5,25.9,medium
40,2450 Shattuck Ave · 94 units · In Review,2450 Shattuck Ave,,19,import,,parcel,1,apn_parcel,,,220,5,24.5,medium
41,2001 Ashby Ave · 87 units · Completed,2001 Ashby Ave,,154,import,,parcel,1,apn_parcel,,,221,22,3.5,medium
42,2036 Bancroft Way · 85 units · In Review,2036 Bancroft Way,,20,import,,parcel,1,apn_parcel,,,222,5,25.9,medium
43,1700 Sacramento St · 85 units · In Review,1700 Sacramento St,,155,import,,parcel,1,apn_parcel,,,223,5,24.5,medium
44,2538 Durant Ave · 83 units · Under Construction,2538 Durant Ave,,139,import,,parcel,1,apn_parcel,,,224,5,28.0,medium
45,2000 University Ave · 82 units · Completed,2000 University Ave,,137,import,,parcel,1,apn_parcel,,,225,5,10.5,medium
