apn,address,name_year,assessor_year,designated,lm_type,matched
060-2404-027-03,1317 San Pablo Avenue,1914.0,1925.0,9/8/1992,LM,True
,1531 San Pablo Avenue,1907.0,,7/15/1985,LM,False
,2900 San Pablo Avenue,1927.0,,11/17/1986,LM,False
,2154 San Pablo Avenue,1923.0,,10/1/2020,LM,False
,2512 San Pablo Avenue,1912.0,,5/20/2025,LM,False
,550 Santa Rosa Avenue,,,5/21/1990,LM,False
058-2190-015-00,1820 Scenic Avenue,1900.0,0.0,1/13/1986,LM,True
,1120 Second Street,1913.0,,7/15/1985,LM,False
061-2586-028-00,920 Shattuck Avenue,1909.0,1910.0,6/6/1994,LM,True
060-2455-038-04,1317 Shattuck Avenue,1870.0,1935.0,12/20/1982,LM,True
060-2455-050-00,1335 Shattuck Avenue,1894.0,1894.0,12/1/2016,LM,True
,1500 Shattuck Avenue,1891.0,,9/3/2009,LM,False
057-2046-011-01,1987 Shattuck Avenue,1925.0,,9/15/1986,LM,True
057-2025-022-00,2014 Shattuck Avenue      He,1917.0,1932.0,4/12/1993,LM,True
057-2025-006-00,2036 Shattuck Avenue      Kr,1933.0,1928.0,4/20/1981,LM,True
,2045 Shattuck Avenue      St,1905.0,,5/15/1978,LM,False
,2100 Shattuck    Fr Avenue      Bu,1901.0,,2/6/1995,LM,False
,2101 Shattuck    Ma Avenue      Co,1928.0,,1/21/1985,LM,False
057-2023-004-00,2140 Shattuck    Am Avenue      Bu,1925.0,1926.0,12/17/1984,LM,True
057-2031-009-00,2161 Shattuck Avenue      Th,1906.0,1915.0,9/8/2003,LM,True
057-2030-010-00,2231 Shattuck    Br Avenue      Bl,1906.0,0.0,4/7/2003,LM,True
057-2029-012-00,2271 Shattuck    Tu Avenue      Bu,1925.0,1929.0,3/19/1984,LM,True
057-2028-003-00,2274 Shattuck Avenue      UA,1932.0,0.0,2/1/2024,LM,True
057-2028-004-00,2276 Shattuck Avenue      Mo,1906.0,0.0,6/18/1979,LM,True
057-2029-011-00,2277 Shattuck    Th Avenue      St,1925.0,1924.0,3/6/2008,LM,True
,2295 Shattuck Avenue      Ma,1905.0,,1/20/1982,LM,False
055-1894-017-04,2300 Shattuck Avenue      Co,1921.0,1928.0,10/19/1981,LM,True
055-1893-015-01,2323 Shattuck    Fi Avenue      Bu,1925.0,2016.0,10/17/1983,LM,True
055-1892-014-00,2375 Shattuck    Wa Avenue      Bu,1894.0,1908.0,7/11/2005,LM,True
055-1891-012-00,2429 Shattuck Avenue      Mo,1911.0,1911.0,5/21/1984,LM,True
055-1897-002-00,2484 Shattuck Avenue      Ba,1905.0,1910.0,1/16/1978,LM,True
,40 Shattuck Avenue      Sh,1909.0,,11/9/1987,LM,False
055-1822-006-00,2530 Shattuck Avenue      Un,1897.0,1905.0,9/28/2017,LM,True
,48 Shattuck Square      Sh,1926.0,,2/27/1984,LM,False
,64 Shattuck Square,1926.0,,10/20/1980,LM,False
,82 Shattuck Square,1926.0,,2/27/1984,LM,False
,1614 Sixth Street,1888.0,,11/21/1983,LM,False
,1812 Sixth Street,1880.0,,6/15/1992,LM,False
,1814 Sixth Street,1876.0,,6/15/1992,LM,False
,2031 Sixth Street,1927.0,,2/22/1977,LM,False
061-2602-040-01,1861 Solano Avenue,1925.0,1925.0,2/2/2006,LM,True
,1418 Southhampt on Avenue between San Diego Road and Somerset Place Spruce Street,1885.0,,12/9/2002,LM,False
058-2181-005-00,1730 Spruce Street,1914.0,1910.0,10/16/1989,LM,True
,1781 Spruce Street,1928.0,,12/19/1983,LM,False
058-2182-031-00,1785 Spruce Street,1928.0,0.0,12/19/1983,LM,True
,1793 Spruce Street,1928.0,,12/19/1983,LM,False
058-2182-028-01,1815 Spruce Street,1928.0,1950.0,12/19/1983,LM,True
,1831 Spruce Street,1928.0,,12/19/1983,LM,False
058-2182-065-00,1835 Spruce Street,1928.0,1928.0,12/19/1983,LM,True
,2509 Telegraph Avenue,1888.0,,4/12/2004,LM,False
,2525 Telegraph Avenue,1907.0,,11/5/2009,LM,False
,2599 Telegraph Avenue,1880.0,,12/4/2000,LM,False
054-1716-002-00,2740 Telegraph Avenue,1905.0,0.0,9/18/1989,LM,True
054-1716-003-00,2744 Telegraph Avenue,1901.0,1906.0,9/18/1989,LM,True
,2910 Telegraph Avenue,1933.0,,7/7/2016,LM,False
052-1575-033-00,3075 Telegraph Avenue,1932.0,0.0,9/8/2003,LM,True
,1819 Tenth Street,1908.0,,7/16/1979,LM,False
061-2605-035-00,1170 The Alameda,1936.0,0.0,10/1/2001,LM,True
063-2984-056-00,70 Twain Avenue,1938.0,1942.0,4/3/1995,LM,True
,700 U.C. Berkeley     H Campus       B U.C. Berkeley Campus       H U.C. Berkeley Campus       S U.C. Berkeley Campus       S U.C. Berkeley Campus       U U.C. Berkeley Campus       W U.C. Berkeley Campus       W U.C. Berkeley     R Campus       H U.C. Berkeley Campus       F U.C. Berkeley     S Campus       B U.C. Berkeley Campus       E U.C. Berkeley     H Campus       P U.C. Berkeley Campus       L U.C. Berkeley Campus       P University   S Avenue       R,1913.0,,3/5/2001,LM,False
057-2093-017-02,921 University   S Avenue       P,1875.0,1962.0,11/18/1985,LM,True
,1007 University Avenue,1949.0,,3/4/2010,LM,False
056-1981-015-01,1310 University Avenue,1904.0,2003.0,9/10/2001,LM,True
,1472 University Avenue,1928.0,,11/20/1978,LM,False
056-2004-029-00,1670 University Avenue,,0.0,12/7/1998,LM,True
,1940 University Avenue,1905.0,,1/15/1979,LM,False
057-2024-021-01,1952 University Avenue,1922.0,1910.0,10/8/2003,LM,True
,1960 University Avenue,1923.0,,10/8/2003,LM,False
057-2025-017-03,2054 University Avenue,1924.0,1924.0,9/3/2009,LM,True
,2131 University Avenue,1908.0,,1/17/1983,LM,False
,2136 University Avenue,1915.0,,7/12/2004,LM,False
,2145 University Avenue,1915.0,,6/7/2004,LM,False
057-2034-012-00,2154 University Avenue,1911.0,0.0,6/7/2004,LM,True
,36 University Avenue,1916.0,,5/6/2002,LM,False
059-2261-005-00,2113 Vine Street,1930.0,1930.0,10/4/1999,LM,True
059-2261-001-01,1414 Walnut Avenue,1915.0,1917.0,5/20/1980,LM,True
,2601 Warring Street,1914.0,,9/21/1981,LM,False
061-2576-006-00,1962 Yosemite Road,1920.0,1923.0,6/3/2002,LM,True
,1029 ss        Stre Addison 9      Street,1893.0,,3/15/1982,SOM,False
057-2024-011-00,1915 Addison 5      Street,1893.0,1954.0,1/5/2012,SOM,True
,2110 Addison 0      Street,1905.0,,11/1/1993,SOM,False
,2988 Adeline 8      Street,1905.0,,7/6/2006,SOM,False
,1835 5      Allston,1926.0,,11/21/1988,SOM,False
,2112 2      Allston,1910.0,,6/1/1998,SOM,False
,2532 Benvenu 2      Avenue,1900.0,,6/18/1990,SOM,False
,2418 Califor 8      Street,1895.0,,6/5/2000,SOM,False
,2515 Channin 5      Way,1921.0,,9/13/1999,SOM,False
,2530 Durant 0      Avenue,1921.0,,9/13/1999,SOM,False
055-1872-014-00,2600 Durant 0      Avenue,1929.0,1943.0,2/1/1993,SOM,True
,2437 7      Dwight,1869.0,,12/21/1981,SOM,False
,2506 6      Dwight,1891.0,,9/13/1999,SOM,False
052-1565-049-00,2944 Elmwood 4      Court,1920.0,1922.0,7/1/2002,SOM,True
,1629 9      Fifth S,1888.0,,12/19/1977,SOM,False
,2215 5      Fifth S,1907.0,,11/19/1990,SOM,False
,2411 1      Fifth S,1892.0,,8/3/2006,SOM,False
057-2030-008-00,2117 Kittredge Street,1894.0,0.0,10/1/2001,SOM,True
058-2205-001-00,1755 Le Roy Avenue,1896.0,0.0,8/20/1990,SOM,True
061-2584-003-00,2119 Marin Avenue,1910.0,1910.0,9/1/2022,SOM,True
055-1853-015-00,60 Panoramic Way,1913.0,1906.0,7/6/2023,SOM,True
,700 Parker Street,1914.0,,11/20/1989,SOM,False
055-1829-007-00,2227 Parker Street,1877.0,1891.0,7/8/2024,SOM,True
055-1851-022-00,2523 Piedmont Avenue,1901.0,1904.0,2/3/2022,SOM,True
