project_id,address,units,status,height_stories,has_tabulation,has_plan_set,is_uc,harvest_priority
13,2420 SHATTUCK Ave,132,In Review,17.0,1,0,0,done
14,2847 SHATTUCK Ave,132,In Review,9.0,0,0,0,high
140,2136 SAN PABLO Ave,125,Entitled,6.0,0,1,0,high
5,2425 DURANT Ave,117,Entitled,20.0,1,1,0,done
16,2720 SAN PABLO Ave,113,In Review,10.0,0,0,0,high
173,2000 DWIGHT Way,113,Completed,6.0,0,0,0,high
15,2109 VIRGINIA St,110,Entitled,8.0,1,1,0,done
122,2530 BANCROFT Way,110,Entitled,12.0,0,1,0,high
17,2109 MILVIA St,105,In Review,14.0,0,1,0,high
149,2198 SAN PABLO Ave,100,Entitled,7.0,1,1,0,done
18,2655 SHATTUCK Ave,97,Entitled,8.0,0,0,0,high
19,2450 SHATTUCK Ave,94,In Review,7.0,0,0,0,high
154,2001 ASHBY Ave,87,Completed,1.0,0,0,0,high
20,2036 BANCROFT Way,85,In Review,8.0,0,1,0,high
155,1700 SACRAMENTO St,85,In Review,7.0,0,0,0,high
139,2538 DURANT Ave,83,Under Construction,8.0,0,1,0,high
137,2000 University Ave,82,Completed,8.0,0,0,0,high
145,1708 HARMON St,80,Permitted,5.0,0,0,0,high
34,2680 BANCROFT Way,79,Entitled,8.0,0,1,0,high
21,2660 BANCROFT Way,78,In Review,8.0,0,0,0,high
126,2427 San Pablo,78,Completed,7.0,0,1,0,high
168,3000 SAN PABLO Ave,78,Completed,5.0,0,0,0,high
22,2955 SHATTUCK Ave,74,In Review,2.0,0,1,0,high
123,2037 DURANT Ave,74,Entitled,1.0,0,0,0,high
113,2138 KITTREDGE St,73,Permitted,8.0,0,0,0,high
96,2099 M L KING JR Way,72,Completed,7.0,0,0,0,high
156,2550 SHATTUCK Ave,72,Entitled,7.0,0,0,0,high
164,1752 SHATTUCK Ave,72,Completed,7.0,0,0,0,high
23,2326 DURANT Ave,70,In Review,7.0,0,0,0,high
147,2300 ELLSWORTH St,69,Under Construction,7.0,0,0,0,high
24,2330 DURANT Ave,68,In Review,6.0,0,0,0,high
25,2455 TELEGRAPH Ave,68,In Review,8.0,0,0,0,high
116,2462 BANCROFT Way,66,Entitled,8.0,0,1,0,high
182,2072 Addison St,66,Completed,6.0,0,0,0,high
26,2298 DURANT Ave,65,In Review,8.0,0,1,0,high
27,2441 LE CONTE Ave,65,Completed,7.0,0,1,0,high
166,3031 ADELINE St,64,In Review,7.0,0,0,0,high
28,2372 ELLSWORTH St,63,Entitled,7.0,0,0,0,high
30,2001 CENTER St,58,In Review,7.0,0,0,0,high
144,2127 DWIGHT Way,58,Withdrawn,6.0,1,1,0,done
31,2712 TELEGRAPH Ave,57,In Review,6.0,0,0,0,high
32,1740 SAN PABLO Ave,54,Permitted,6.0,0,0,0,high
143,2902 ADELINE St,54,Withdrawn,6.0,0,1,0,high
157,2587 TELEGRAPH Ave,52,Withdrawn,8.0,1,0,0,done
33,130 BERKELEY Sq,50,In Review,7.0,0,0,0,high
141,2016 ASHBY Ave,50,Withdrawn,7.0,0,0,0,high
142,2350 TELEGRAPH Ave,48,In Review,8.0,0,0,0,high
91,2009 ADDISON St,45,Completed,7.0,0,0,0,high
