GEOID20,corridor,acres,parcels,units_per_block,headroom_mh_byright,headroom_mh_bonus,headroom_corridor_est,headroom_hillside,headroom_total
060014215003010,,3.918844244687775,26,32,0,0,0,0,0
060014215003009,,4.211664121726366,22,22,0,0,0,0,0
060014215003013,,9.352197372387806,36,30,0,0,0,0,0
060014215002020,,4.440483704964961,19,19,0,0,0,0,0
060014215002005,,5.999965767404241,18,13,0,0,0,0,0
060014215002021,,2.6714562790415246,13,13,0,0,0,0,0
060014212002003,,7.137144732916136,35,33,0,0,0,0,0
060014215001002,,3.7147351995958964,15,11,0,0,0,0,0
060014216001010,,3.7384573162167443,17,16,0,0,0,0,0
060014220002002,,6.308106178093797,8,0,0,0,461,0,461
060014215003022,,6.716324268277554,23,29,0,0,0,0,0
060014216002006,,7.485069110021905,39,32,0,0,0,0,0
060019821001004,,1.9449664575280583,12,13,0,0,0,0,0
060014238002015,,0.526087357143595,4,4,0,0,0,0,0
060014240014015,,0.9194791244393222,5,11,34,54,0,0,34
060014240022003,,1.6224939347134075,13,14,68,108,0,0,68
060014008001024,,0.09093478037991684,0,0,0,0,0,0,0
060014227001004,,1.5238988875080086,18,10,0,0,0,0,0
060014212004001,,10.105127469718258,56,54,0,0,0,0,0
060014212001009,,4.412066586096237,29,29,0,0,0,0,0
060014211002023,,2.719641828427622,18,18,0,0,0,0,0
060014219004003,,4.326815229490065,37,42,253,401,0,0,253
060014223001006,,3.743893634609022,26,32,181,285,0,0,181
060014219002010,,3.782936284880834,22,19,153,241,0,0,153
060014224004002,,4.680917241132513,27,36,7,11,434,0,441
060014223003007,University,4.346089449244504,18,143,0,0,390,0,390
060014235002012,,6.124012668900758,40,88,215,343,164,0,379
060014221001013,,3.1631959881611835,22,23,152,240,0,0,152
060014220002052,,4.806940985680767,5,0,0,0,281,0,281
060014237001008,,4.34559523848157,2,168,0,0,0,0,0
060014223002008,,4.757272804005867,28,42,182,294,0,0,182
060014220002037,,3.494564304708652,4,2,0,0,240,0,240
060014222003008,,0.4121717762872318,0,0,0,0,0,0,0
060014216002012,,10.562519530813983,59,56,0,0,0,0,0
060014212003005,,7.4321885583879315,37,37,0,0,0,0,0
060014222003007,,9.367023695275837,66,103,296,468,370,0,666
060014237001001,,23.441404907501173,0,56,0,0,0,0,0
060014236011011,Telegraph,4.8225086247131985,31,69,136,216,142,0,278
060014225002000,,5.973525491587255,25,27,0,0,0,0,0
060014218002008,,4.649040646923249,28,34,191,303,0,0,191
060014220002016,,4.829674680775747,2,0,0,0,363,0,363
060014220002010,,0.38943808119225254,0,0,0,0,0,0,0
060014228001006,,3.482209035635294,1,24,0,0,363,0,363
060014237002017,,2.2264194870191596,10,15,0,0,94,0,94
060014239012000,,0.3862257112331794,0,0,0,0,0,0,0
060014219001010,,6.739799279516935,52,60,360,568,0,0,360
060014219002014,,1.9872214777589436,17,18,118,186,0,0,118
060014229022007,,4.275417310144895,11,129,0,0,616,0,616
060014220001072,,4.965582640582688,29,14,194,306,0,0,194
060014220002036,,3.9022881841294748,5,0,0,0,0,0,0
060014220002059,University,3.596124616491657,5,0,7,11,225,0,232
060014221001017,,3.1125393849604146,26,129,181,285,0,0,181
060014220001017,University,3.4725719257580745,12,120,39,63,146,0,185
060019821001008,,0.2952909308532626,0,0,0,0,0,0,0
060019821001003,,18.903067471475214,4,1,0,0,0,0,0
060014235001015,,0.3027040922972775,0,0,0,0,0,0,0
060014219002013,,1.9338467153620358,16,19,106,170,0,0,106
060014219002005,,3.9057476594700153,30,33,206,326,0,0,206
060014215001025,,2.975643003627605,13,11,0,0,0,0,0
060014216002003,,3.586981717377372,19,16,0,0,0,0,0
060014216002011,,7.326427455119985,36,43,0,0,0,0,0
060014233003012,,2.818978191777422,22,23,152,240,0,0,152
060014216004010,,2.2521184466917448,8,14,0,0,0,0,0
060014225001011,,3.2318912842090555,43,89,0,0,388,0,388
060014225003000,,3.8657165876723343,23,112,0,0,265,0,265
060014216001001,,12.66612764324396,72,72,0,0,0,0,0
060014225002003,,1.0526689250501242,4,8,0,0,0,4,4
060014228004003,,5.088641120553335,22,257,0,0,449,0,449
060014236021002,,4.991775811018207,22,154,138,222,16,0,154
060014227003001,College–Southside,5.3948046881911536,14,138,0,0,297,0,297
060014236022004,,1.0185683824076555,6,15,0,0,54,0,54
060014236011002,,13.61451809731494,13,61,82,130,325,0,407
060014220001016,,3.3336987013735273,5,152,0,0,225,0,225
060014220002067,,0.2621788097366624,0,0,0,0,0,0,0
060014220002058,,3.7031212466669396,3,0,0,0,239,0,239
060014239011029,,2.4700653931457848,14,15,52,84,70,0,122
060019821001016,,0.4695002247876141,0,0,0,0,0,0,0
060014240014013,,0.7677564202184827,0,0,0,0,0,0,0
060014239011028,,3.9030295002738766,29,49,133,213,133,0,266
060014239011026,,3.670750441694741,27,58,0,0,332,0,332
060014225002002,,2.8239202994067654,30,35,0,0,0,28,28
060014213002005,,2.9284458757673764,23,25,160,252,0,0,160
060014213002016,Solano,5.1867419569958,43,46,161,253,109,0,270
060014213001010,,1.5772736499049163,10,10,0,0,0,0,0
060014213001013,,3.1258830755596416,20,20,0,0,0,0,0
060014220001049,,2.5923825569720313,31,30,215,339,0,0,215
060014233002006,,3.6238004192159794,29,31,202,318,0,0,202
060014233002007,,8.616317546378587,70,78,482,762,0,0,482
060014233002010,,1.9686885741489062,12,13,7,11,136,0,143
060014240021003,,4.693766720968806,36,45,244,388,0,0,244
060014240011004,,4.43010527894334,29,41,122,194,155,0,277
060014237002011,,4.890462604616669,26,29,178,282,0,0,178
060014238003013,,5.625848219862953,33,38,217,345,0,0,217
060014238002006,,5.447191029062193,28,26,194,306,0,0,194
060014238002003,,2.176009989199858,13,12,0,0,0,0,0
060014224001005,University,3.3964634682661874,5,46,0,0,365,0,365
060014235001004,,5.130401930021287,1,0,0,0,365,0,365
060014235001002,,0.30319830306021184,0,0,0,0,0,0,0
060014223002015,,5.196379066873019,21,37,142,226,0,0,142
060014223002013,,2.437200377410652,24,50,166,262,0,0,166
060014230002002,,5.00289555318423,23,68,153,245,0,0,153
060014230002006,,4.932964730229021,36,72,240,384,0,0,240
060014234001009,,4.4948468888877375,30,45,170,270,53,0,223
060014224001006,,1.7969503340292263,1,8,0,0,0,0,0
060014217002010,,0.28219434563550283,0,2,0,0,0,0,0
060014217003008,,0.26193170435519525,0,0,0,0,0,0,0
060014223002011,,4.00211875824221,26,120,170,274,0,0,170
060014216003005,,1.0662597210308185,7,8,0,0,0,0,0
060014224001001,,7.574274152731552,2,0,0,0,612,0,612
060014213003016,,0.5782265926331669,5,5,14,22,16,0,30
060014212001003,,1.96226383423076,13,16,0,0,0,0,0
060014220001058,,13.850256631234616,5,54,0,0,1301,0,1301
060014220001009,,0.4447896866408976,0,0,0,0,0,0,0
060014220002047,,3.8405118387626835,2,0,0,0,0,0,0
060014220002017,,0.40031071797680784,0,0,0,0,0,0,0
060014215002010,,2.167361300848507,16,18,0,0,0,0,0
060014212004002,,20.4151053006728,72,77,14,22,0,0,14
060014212001012,,13.131921287309567,46,37,0,0,0,0,0
060014212002002,,4.996965024029017,19,19,0,0,0,0,0
060014212002024,,0.7482350950825766,0,0,0,0,0,0,0
060014211002018,,3.6475225358368273,21,19,0,0,0,0,0
060014213001019,,3.0947477974947786,19,19,21,33,0,0,21
060014213001020,,5.964876803235904,31,31,0,0,0,0,0
060014213002000,,4.843018371374973,34,37,237,373,0,0,237
060014213002010,,1.3996048806300245,10,20,55,87,11,0,66
060014213001011,,1.981785159366666,11,10,0,0,0,0,0
060014240014003,,4.14766382792637,21,80,87,139,144,0,231
060014233001002,,3.9885279622615157,31,36,214,338,0,0,214
060014230003005,,0.6998024403150123,0,0,0,0,0,0,0
060014216001008,,7.6595255093377235,36,32,0,0,0,0,0
060014227001003,,26.136830408545013,84,149,0,0,0,9,9
060014236011006,,4.809659144876906,37,53,251,399,0,0,251
060014236012009,,5.106432708018971,5,5,33,53,0,0,33
060014236012013,Telegraph,3.621329365401308,15,21,42,66,189,0,231
060014239022003,,0.27058039270654605,0,0,0,0,0,0,0
060014236012012,,0.2582251236331878,0,0,0,0,0,0,0
060014237002005,College–Elmwood,4.623835898013597,33,73,224,356,0,0,224
060014232001001,University,1.9276690808253567,10,30,6,10,92,0,98
060014219001013,,2.113492327688665,14,25,55,87,36,0,91
060014218001002,,28.660023458706238,53,92,361,573,0,0,361
060014222001010,,3.6771751816128875,1,0,0,0,455,0,455
060014218002021,,1.4897983448655399,11,13,75,119,0,0,75
060014222002004,,4.10145512159201,29,69,197,313,0,0,197
060014231001003,University,2.963534839935714,12,15,6,10,299,0,305
060014231003004,,4.57046113561669,34,58,224,360,0,0,224
060014222001004,,3.3994287328437935,28,34,188,300,0,0,188
060014215001023,,5.209969862853714,17,16,0,0,0,0,0
060014216003007,,1.941506982187518,8,11,0,0,0,0,0
060014216004003,,4.7046393577533605,26,32,0,0,0,0,0
060014225003007,,3.0512572503565574,16,40,0,0,164,0,164
060014216002010,,10.876096259895816,37,35,0,0,0,0,0
060014225002005,,2.437200377410652,50,83,0,0,0,48,48
060014236021003,,5.0135210845873175,26,135,131,211,0,0,131
060014236021005,,1.9079006503079836,15,30,97,157,0,0,97
060014213001004,,3.597113038017526,30,31,210,330,0,0,210
060014231001014,,3.6314606860414615,22,41,146,234,0,0,146
060014231003002,,7.53523150245974,64,76,441,697,0,0,441
060014216003011,,7.84732559925277,53,74,0,0,0,0,0
060014216002007,,6.956757804445106,33,28,0,0,0,0,0
060014238001013,,25.220316548683297,61,62,0,0,0,0,0
060014212001008,,1.9479317221056642,11,15,0,0,0,0,0
060014211001000,,10.44761552843175,34,33,0,0,0,0,0
060014212002007,,13.4296832719775,59,61,0,0,0,0,0
060014212002016,,4.469889245359553,26,26,0,0,0,0,0
060014232002003,,0.3484185878687031,0,0,0,0,0,0,0
060014236023000,College–Southside,5.615716899222799,54,111,372,588,0,0,372
060014229012003,,5.448920766732463,34,254,0,0,823,0,823
060014236023008,,2.950438254717954,20,38,120,192,0,0,120
060014221002001,,2.93338798339672,18,28,7,11,169,0,176
060014218001009,,2.938082985644596,25,33,169,269,0,0,169
060014220001030,,1.4658291228632248,7,12,0,0,90,0,90
060014233003014,,5.095065860471482,36,88,245,389,0,0,245
