"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 213501300","1255",,"DELAWARE ST",,,"1464","5984"
"058 213501400","1251",,"DELAWARE ST",,,"1432","4770"
"058 213501500","1743",,"CHESTNUT ST",,,"1306","4770"
"058 213501600","1737",,"CHESTNUT ST",,,"1927","4770"
"058 213501700","1735",,"CHESTNUT ST",,,"2101","4770"
"058 213501800","1731",,"CHESTNUT ST",,,"1931","4770"
"058 213501900","0",,"WEST ST",,,"0","5564"
"058 213600100","1703",,"CHESTNUT ST",,,"2097","4220"
"058 213600200","1304",,"VIRGINIA ST",,,"1069","3600"
"058 213600300","1306",,"VIRGINIA ST",,,"1202","4104"
"058 213600400","1310",,"VIRGINIA ST",,,"2007","4881"
"058 213600500","1312",,"VIRGINIA ST",,,"974","4896"
"058 213600601","1316",,"VIRGINIA ST",,,"1436","4800"
"058 213600602","1320",,"VIRGINIA ST",,,"2725","4882"
"058 213600700","1322",,"VIRGINIA ST",,,"1451","4704"
"058 213600800","1326",,"VIRGINIA ST",,,"1920","3000"
"058 213600900","1330",,"VIRGINIA ST",,,"2644","4220"
"058 213601000","1322",,"VIRGINIA ST","VACNT",,"0","3560"
"058 213601200","1295",,"FRANCISCO ST",,,"962","3800"
"058 213601300","1287",,"FRANCISCO ST",,,"1122","3800"
"058 213601400","1257",,"FRANCISCO ST",,,"5689","7660"
"058 213601500","1255",,"FRANCISCO ST",,,"1679","4800"
"058 213601600","1253",,"FRANCISCO ST",,,"1355","4896"
"058 213601700","1249",,"FRANCISCO ST",,,"1192","4896"
"058 213601800","1247",,"FRANCISCO ST",,,"1371","4800"
"058 213601901","1245",,"FRANCISCO ST",,,"2574","5455"
"058 213602100","1719",,"CHESTNUT ST",,,"944","3250"
"058 213602200","1715",,"CHESTNUT ST",,,"1010","3250"
"058 213602301","1711",,"CHESTNUT ST",,,"1109","3600"
"058 213602302","1709",,"CHESTNUT ST",,,"2099","3580"
"058 213602400","0",,"WEST ST",,,"0","5566"
"058 213700100","1625",,"CHESTNUT ST",,,"2957","4876"
"058 213700200","1314",,"LINCOLN ST",,,"870","3496"
"058 213700300","1320",,"LINCOLN ST",,,"2614","3496"
"058 213700400","1326",,"LINCOLN ST",,,"2907","10400"
