Date	Permit Number	Status	Address	Occupancy Class
10/24/2024	ESR-2024-03421	Closed Expired	1945 BERKELEY Way, BERKELEY CA 94704	R-2
10/24/2024	ESR-2024-03420	Closed Expired	2239 CHANNING Way, BERKELEY CA 94704	R-2
10/24/2024	ESR-2024-03403	Closed Expired	1433 SPRUCE St, BERKELEY CA 94709	R-2
10/22/2024	ESR-2024-03380	Closed Expired	2925 COLLEGE Ave, BERKELEY CA 94705	R-2
10/22/2024	ESR-2024-03365	Closed Expired	1205 BONITA Ave, BERKELEY CA 94709	R-2
10/21/2024	ESR-2024-03344	Closed Expired	1535 VIRGINIA St, BERKELEY CA 94703	R-2
10/17/2024	ESR-2024-03322	Closed Expired	952 BANCROFT Way, BERKELEY CA 94710	R-2
10/17/2024	ESR-2024-03323	Closed Expired	956 BANCROFT Way, BERKELEY CA 94710	R-2
10/11/2024	ESR-2024-03217	Closed Expired	1501 BLAKE St, BERKELEY CA 94702	R-2
10/11/2024	ESR-2024-03213	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703	R-2
10/03/2024	24TMP-028312		1461 UNIVERSITY Ave, BERKELEY CA 94702	R-2
10/02/2024	ESR-2024-03099	Closed Expired	2705 RIDGE Rd, BERKELEY CA 94709	R-2
10/01/2024	ESR-2024-03077	Closed Expired	2715 CHANNING Way, BERKELEY CA 94704	R-2
09/30/2024	24TMP-028086		2138 KITTREDGE St, BERKELEY CA 94704	R-2
09/27/2024	ESR-2024-03052	Closed Expired	2705 RIDGE Rd, BERKELEY CA 94709	R-2
09/26/2024	ESR-2024-03027	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703	R-2
09/25/2024	24TMP-027914		United States	R-2
09/19/2024	ESR-2024-02926	Closed Expired	2326 GRANT St, BERKELEY CA 94703	R-2
09/16/2024	24TMP-027301		1622 BUENA Ave, BERKELEY CA 94703	R-2
09/16/2024	ESR-2024-02889	Closed Expired	2690 SACRAMENTO St, BERKELEY CA 94702	R-2
09/13/2024	ESR-2024-02860	Closed Expired	2431 COLLEGE Ave, BERKELEY CA 94704	R-2
09/09/2024	ESR-2024-02790	Closed Expired	2336 PIEDMONT Ave, BERKELEY CA 94704	R-2
09/09/2024	ESR-2024-02788	Closed Expired	1184 SPRUCE St, BERKELEY CA 94707	R-2
09/09/2024	ESR-2024-02782	Closed Expired	2537 ELLSWORTH St, BERKELEY CA 94704	R-2
08/29/2024	ESR-2024-02695	Closed Expired	1406 SAN PABLO Ave, D, BERKELEY CA 94702	R-2
08/29/2024	ESR-2024-02686	Closed Expired	2917 OTIS St, A, BERKELEY CA 94703	R-2
08/28/2024	ESR-2024-02674	Closed Expired	3017 STANTON St, BERKELEY CA 94702	R-2
08/27/2024	24TMP-026327		2428 EIGHTH St, BERKELEY CA 94710	R-2
08/27/2024	24TMP-026279		1236 GILMAN St, B, BERKELEY CA 94706	R-2
08/26/2024	ESR-2024-02650	Closed Expired	2911 REGENT St, BERKELEY CA 94705	R-2
08/23/2024	ESR-2024-02639	Closed Expired	1147 CAMELIA St, BERKELEY CA 94702	R-2
08/21/2024	ESR-2024-02607	Closed Expired	1936 BERRYMAN St, BERKELEY CA 94709	R-2
08/21/2024	ESR-2024-02615	Closed Expired	1348 FRANCISCO St, BERKELEY CA 94702	R-2
08/20/2024	ESR-2024-02594	Closed Expired	1200 NEILSON St, BERKELEY CA 94706	R-2
08/19/2024	24TMP-025886		1321 ADDISON St, BERKELEY CA 94702	R-2
08/19/2024	ESR-2024-02589	Closed Expired	1232 PERALTA Ave, BERKELEY CA 94706	R-2
08/16/2024	ESR-2024-02577	Closed Expired	1437 M L KING JR Way, BERKELEY CA 94709	R-2
08/14/2024	ESR-2024-02549	Closed Expired	2238 ROOSEVELT Ave, C, BERKELEY CA 94703	R-2
08/13/2024	ESR-2024-02539	Closed Expired	1719 CARLETON St, BERKELEY CA 94703	R-2
08/12/2024	ESR-2024-02520	Closed Expired	2638 RUSSELL St, COM, BERKELEY CA 94705	R-2
08/12/2024	ESR-2024-02516	Closed Expired	1321 ADDISON St, BERKELEY CA 94702	R-2
08/08/2024	ESR-2024-02475	Closed Expired	2310 ROOSEVELT Ave, BERKELEY CA 94703	R-2
08/07/2024	ESR-2024-02467	Closed Expired	2425 CALIFORNIA St, 1, BERKELEY CA 94703	R-2
07/31/2024	24TMP-024889		1529 ADA St, BERKELEY CA 94703	R-2
07/30/2024	24TMP-024752		1603 MCGEE Ave, BERKELEY CA 94703	R-2
07/29/2024	ESR-2024-02363	Closed Expired	1455 SPRUCE St, BERKELEY CA 94709	R-2
07/25/2024	ESR-2024-02343	Closed Expired	1524 UNIVERSITY Ave, BERKELEY CA 94703	R-2
07/25/2024	ESR-2024-02337	Closed Expired	1221 OREGON St, BERKELEY CA 94702	R-2
07/25/2024	ESR-2024-02336	Closed Expired	1642 RUSSELL St, A, BERKELEY CA 94703	R-2
07/25/2024	ESR-2024-02335	Closed Expired	1638 RUSSELL St, BERKELEY CA 94703	R-2
07/25/2024	ESR-2024-02329	Closed Expired	3329 CALIFORNIA St, BERKELEY CA 94703	R-2
07/24/2024	ESR-2024-02319	Closed Expired	2600 PIEDMONT Ave, BERKELEY CA 94704	R-2
07/24/2024	24TMP-024468		1251 CORNELL Ave, BERKELEY CA 94706	R-2
07/22/2024	ESR-2024-02287	Closed Expired	1339 FRANCISCO St, BERKELEY CA 94702	R-2
07/22/2024	ESR-2024-02279	Closed Expired	2431 COLLEGE Ave, 1, BERKELEY CA 94704	R-2
07/22/2024	ESR-2024-02272	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702	R-2
07/22/2024	24TMP-024350		2910 HILLEGASS Ave, 3, BERKELEY CA 94705	R-2
07/20/2024	ESR-2024-02268	Closed Expired	1742 M L KING JR Way, A, BERKELEY CA 94709	R-2
07/17/2024	ESR-2024-02234	Closed Expired	1514 OREGON St, F, BERKELEY CA 94703	R-2
07/17/2024	ESR-2024-02233	Closed Expired	1514 OREGON St, E, BERKELEY CA 94703	R-2
07/17/2024	ESR-2024-02232	Closed Expired	1514 OREGON St, D, BERKELEY CA 94703	R-2
07/17/2024	ESR-2024-02230	Closed Expired	1514 OREGON St, B, BERKELEY CA 94703	R-2
07/16/2024	ESR-2024-02214	Closed Expired	1119 HARRISON St, BERKELEY CA 94706	R-2
07/11/2024	24TMP-023759		1509 HEARST Ave, BERKELEY CA 94703	R-2
07/11/2024	ESR-2024-02169	Closed Expired	2409 TENTH St, BERKELEY CA 94710	R-2
07/11/2024	ESR-2024-02155	Closed Expired	2555 COLLEGE Ave, BERKELEY CA 94704	R-2
07/08/2024	ESR-2024-02120	Closed Expired	1514 OREGON St, A, BERKELEY CA 94703	R-2
07/05/2024	24TMP-023464		2210 MCKINLEY Ave, BERKELEY CA 94703	R-2
07/02/2024	ESR-2024-02082	Closed Expired	2210 MCKINLEY Ave, BERKELEY CA 94703	R-2
07/02/2024	ESR-2024-02081	Closed Expired	2455 BONAR St, BERKELEY CA 94702	R-2
07/01/2024	ESR-2024-02065	Closed Expired	3114 M L KING JR Way, BERKELEY CA 94703	R-2
06/30/2024	ESR-2024-02053	Closed Expired	3114 M L KING JR Way, BERKELEY CA 94703	R-2
06/28/2024	ESR-2024-02042	Closed Expired	1735 M L KING JR Way, BERKELEY CA 94709	R-2
06/28/2024	ESR-2024-02035	Closed Expired	1642 RUSSELL St, A, BERKELEY CA 94703	R-2
06/28/2024	ESR-2024-02034	Closed Expired	1638 RUSSELL St, BERKELEY CA 94703	R-2
06/24/2024	ESR-2024-01965	Closed Expired	2208 ROOSEVELT Ave, BERKELEY CA 94703	R-2
06/24/2024	ESR-2024-01963	Closed Expired	1916 STUART St, A, BERKELEY CA 94703	R-2
06/24/2024	24TMP-022870		2416 FULTON St, BERKELEY CA 94704	R-2
06/24/2024	24TMP-022808		2414 SACRAMENTO St, BERKELEY CA 94702	R-2
