Date	Permit Number	Status	Address
02/26/2025	undefined	Closed Expired	1649 JULIA St, BERKELEY CA 94703
02/24/2025	undefined	Closed Expired	2325 CHANNING Way, BERKELEY CA 94704
02/21/2025	undefined	Closed Expired	2009 VINE St, BERKELEY CA 94709
02/21/2025	undefined	Closed Expired	2021 VINE St, BERKELEY CA 94709
02/13/2025	undefined	Closed Expired	1922 GRANT St, BERKELEY CA 94703
02/11/2025	undefined	Closed Expired	2323 SEVENTH St, BERKELEY CA 94710
02/10/2025	undefined	Closed Expired	2440 HILLSIDE Ave, BERKELEY CA 94704
02/10/2025	undefined	Closed Expired	1498 ADDISON St, BERKELEY CA 94702
02/06/2025	undefined	Closed Expired	1609 DERBY St, B, BERKELEY CA 94703
02/06/2025	undefined	Closed Expired	1609 DERBY St, A, BERKELEY CA 94703
02/04/2025	undefined	Closed Expired	2327 SEVENTH St, BERKELEY CA 94710
01/31/2025	undefined	Closed Expired	2629 PIEDMONT Ave, D, BERKELEY CA 94704
01/31/2025	undefined	Closed Expired	2267 HEARST Ave, BERKELEY CA 94709
01/31/2025	undefined	Closed Expired	1313 HASKELL St, BERKELEY CA 94702
01/27/2025	undefined	Closed Expired	2441 BONAR St, BERKELEY CA 94702
01/27/2025	undefined	Closed Expired	2304 GRANT St, BERKELEY CA 94703
01/22/2025	undefined	Closed Expired	2600 BENVENUE Ave, BERKELEY CA 94704
01/22/2025	undefined	Closed Expired	2601 ETNA St, BERKELEY CA 94704
01/21/2025	undefined		2505 VIRGINIA St, BERKELEY CA 94709
01/15/2025	undefined	Closed Expired	2925 ELLIS St, BERKELEY CA 94703
01/15/2025	undefined	Closed Expired	2511 PRINCE St, BERKELEY CA 94705
01/15/2025	undefined	Closed Expired	2745 STUART St, BERKELEY CA 94705
01/13/2025	undefined	Closed Expired	3202 CALIFORNIA St, B, BERKELEY CA 94703
01/10/2025	undefined	Closed Expired	1534 PARKER St, BERKELEY CA 94703
01/10/2025	undefined	Closed Expired	1468 HOPKINS St, BERKELEY CA 94702
01/09/2025	undefined	Closed Expired	1116 DWIGHT Way, 3, BERKELEY CA 94702
01/08/2025	undefined	Closed Expired	2122 MCGEE Ave, BERKELEY CA 94703
01/07/2025	undefined	Closed Expired	2122 MCGEE Ave, BERKELEY CA 94703
01/06/2025	undefined	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703
01/04/2025	undefined	Closed Expired	1313 HASKELL St, BERKELEY CA 94702
01/03/2025	undefined	Closed Expired	1308 BURNETT St, BERKELEY CA 94702
12/30/2024	undefined	Closed Expired	1439 DWIGHT Way, BERKELEY CA 94702
12/20/2024	undefined	Closed Expired	1416 DERBY St, BERKELEY CA 94702
12/19/2024	undefined		2921 SACRAMENTO St, BERKELEY CA 94702
12/18/2024	undefined	Closed Expired	2918 FLORENCE St, BERKELEY CA 94705
12/17/2024	undefined	Closed Expired	1522 OXFORD St, BERKELEY CA 94709
12/14/2024	undefined	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702
12/13/2024	undefined	Closed Expired	1600 TYLER St, BERKELEY CA 94703
12/12/2024	undefined	Closed Expired	2421 SAN PABLO Ave, BERKELEY CA 94702
12/11/2024	undefined	Closed Expired	3113 SHATTUCK Ave, 2, BERKELEY CA 94704
12/10/2024	undefined	Closed Expired	100 PARNASSUS Rd, BERKELEY CA 94708
12/09/2024	undefined	Closed Expired	1116 DWIGHT Way, 3, BERKELEY CA 94702
12/09/2024	undefined	Closed Expired	2431 GRANT St, 6, BERKELEY CA 94703
12/09/2024	undefined	Closed Expired	2431 GRANT St, BERKELEY CA 94703
12/09/2024	undefined	Closed Expired	2431 GRANT St, BERKELEY CA 94703
12/09/2024	undefined	Closed Expired	2431 GRANT St, BERKELEY CA 94703
12/06/2024	undefined	Closed Expired	1429 M L KING JR Way, BERKELEY CA 94709
12/05/2024	undefined	Closed Expired	1612 BONITA Ave, BERKELEY CA 94709
12/03/2024	undefined	Closed Expired	1607 HOPKINS St, BERKELEY CA 94707
12/03/2024	undefined	Closed Expired	1903 TENTH St, BERKELEY CA 94710
11/27/2024	undefined	Closed Expired	2455 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2453 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2451 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2449 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2447 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2445 BONAR St, BERKELEY CA 94702
11/27/2024	undefined	Closed Expired	2443 BONAR St, BERKELEY CA 94702
11/26/2024	undefined	Closed Expired	2441 BONAR St, BERKELEY CA 94702
11/22/2024	undefined	Closed Expired	1700 ADDISON St, BERKELEY CA 94703
11/20/2024	undefined	Closed Expired	2220 SACRAMENTO St, COM, BERKELEY CA 94702
11/15/2024	undefined	Closed Expired	2530 HILLEGASS Ave, 405, BERKELEY CA 94704
11/14/2024	undefined	Closed Expired	2619 ETNA St, C, BERKELEY CA 94704
11/14/2024	undefined	Closed Expired	2909 KING St, BERKELEY CA 94703
11/12/2024	undefined	Closed Expired	2239 CHANNING Way, BERKELEY CA 94704
11/10/2024	undefined	Closed Expired	2425 GRANT St, BERKELEY CA 94703
11/07/2024	undefined	Closed Expired	1904 UNIVERSITY Ave, 4, BERKELEY CA 94704
11/07/2024	undefined	Closed Expired	1728 SEVENTH St, BERKELEY CA 94710
11/07/2024	undefined	Closed Expired	1423 ACROFT Ct, BERKELEY CA 94702
11/04/2024	undefined	Closed Expired	2646 HILLEGASS Ave, BERKELEY CA 94704
11/01/2024	undefined		2016 DELAWARE St, A, BERKELEY CA 94709
10/30/2024	undefined	Closed Expired	1671 ADDISON St, BERKELEY CA 94703
10/28/2024	undefined	Closed Expired	1710 BANCROFT Way, BERKELEY CA 94703
10/25/2024	undefined	Closed Expired	2235 HEARST Ave, BERKELEY CA 94709
10/24/2024	undefined	Closed Expired	1945 BERKELEY Way, BERKELEY CA 94704
10/24/2024	undefined	Closed Expired	2239 CHANNING Way, BERKELEY CA 94704
10/24/2024	undefined	Closed Expired	1433 SPRUCE St, BERKELEY CA 94709
10/22/2024	undefined	Closed Expired	2925 COLLEGE Ave, BERKELEY CA 94705
10/22/2024	undefined	Closed Expired	1205 BONITA Ave, BERKELEY CA 94709
10/21/2024	undefined	Closed Expired	1535 VIRGINIA St, BERKELEY CA 94703
10/17/2024	undefined	Closed Expired	952 BANCROFT Way, BERKELEY CA 94710
10/17/2024	undefined	Closed Expired	956 BANCROFT Way, BERKELEY CA 94710
10/11/2024	undefined	Closed Expired	1501 BLAKE St, BERKELEY CA 94702
10/11/2024	undefined	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703
10/03/2024	undefined		1461 UNIVERSITY Ave, BERKELEY CA 94702
10/02/2024	undefined	Closed Expired	2705 RIDGE Rd, BERKELEY CA 94709
10/01/2024	undefined	Closed Expired	2715 CHANNING Way, BERKELEY CA 94704
09/30/2024	undefined		2138 KITTREDGE St, BERKELEY CA 94704
09/27/2024	undefined	Closed Expired	2705 RIDGE Rd, BERKELEY CA 94709
09/26/2024	undefined	Closed Expired	2227 ROOSEVELT Ave, BERKELEY CA 94703
09/25/2024	undefined		United States
09/19/2024	undefined	Closed Expired	2326 GRANT St, BERKELEY CA 94703
09/16/2024	undefined		1622 BUENA Ave, BERKELEY CA 94703
09/16/2024	undefined	Closed Expired	2690 SACRAMENTO St, BERKELEY CA 94702
09/13/2024	undefined	Closed Expired	2431 COLLEGE Ave, BERKELEY CA 94704
09/09/2024	undefined	Closed Expired	2336 PIEDMONT Ave, BERKELEY CA 94704
09/09/2024	undefined	Closed Expired	1184 SPRUCE St, BERKELEY CA 94707
09/09/2024	undefined	Closed Expired	2537 ELLSWORTH St, BERKELEY CA 94704
08/29/2024	undefined	Closed Expired	1406 SAN PABLO Ave, D, BERKELEY CA 94702
08/29/2024	undefined	Closed Expired	2917 OTIS St, A, BERKELEY CA 94703
08/28/2024	undefined	Closed Expired	3017 STANTON St, BERKELEY CA 94702
08/27/2024	undefined		2428 EIGHTH St, BERKELEY CA 94710
08/27/2024	undefined		1236 GILMAN St, B, BERKELEY CA 94706
08/26/2024	undefined	Closed Expired	2911 REGENT St, BERKELEY CA 94705
08/23/2024	undefined	Closed Expired	1147 CAMELIA St, BERKELEY CA 94702
